Region,Location,Date,Time first note,Duration (h),Time last note,Num. INIs,
SW Portugal,SW Portugal,03/02/2008,23:14:36,0.6,0:38:14,23,
SW Portugal,SW Portugal,19/02/2008,10:02:13,1.9,1:56:21,161,
SW Portugal,SW Portugal,22/02/2008,17:37:06,2.3,2:16:38,34,
SW Portugal,SW Portugal,29/02/2008,3:21:06,1.8,1:47:07,121,
SW Portugal,SW Portugal,08/10/2015,2:31:42,0.4,0:02:00,38,
SW Portugal,SW Portugal,12/10/2015,19:45:13,0.1,0:02:00,14,
SW Portugal,SW Portugal,24/10/2015,3:30:17,0.4,0:02:00,41,
SW Portugal,SW Portugal,31/10/2015,3:30:14,0.2,0:02:00,16,
SW Portugal,SW Portugal,06/11/2015,5:42:17,1.2,0:02:00,124,
SW Portugal,SW Portugal,06/12/2015,0:00:08,0.6,0:02:00,86,
SW Portugal,SW Portugal,10/12/2015,16:45:06,0.8,0:02:00,116,
SW Portugal,SW Portugal,12/12/2015,13:15:06,0.3,0:02:00,38,
SW Portugal,SW Portugal,15/12/2015,0:15:18,0.9,0:02:00,58,
SW Portugal,SW Portugal,18/12/2015,4:15:17,0.3,0:02:00,48,
SW Portugal,SW Portugal,20/12/2015,21:30:04,0.1,0:02:00,21,
SW Portugal,SW Portugal,28/12/2015,23:17:05,0.1,0:02:00,14,
SW Portugal,SW Portugal,04/01/2016,11:00:07,0.3,0:02:00,43,
SW Portugal,SW Portugal,06/01/2016,1:45:12,0.3,0:02:00,19,
SW Portugal,SW Portugal,08/01/2016,16:45:13,0.1,0:02:00,24,
SW Portugal,SW Portugal,10/01/2016,5:45:06,0.1,0:02:00,22,
SW Portugal,SW Portugal,12/01/2016,19:30:37,0.3,0:02:00,63,
SW Portugal,SW Portugal,15/01/2016,17:15:16,0.3,0:02:00,51,
SW Portugal,SW Portugal,17/01/2016,10:01:07,0.3,0:02:00,28,
SW Portugal,SW Portugal,19/01/2016,16:30:11,0.1,0:02:00,29,
SW Portugal,SW Portugal,21/01/2016,7:30:09,0.2,0:02:00,31,
SW Portugal,SW Portugal,24/01/2016,21:45:06,0.2,0:02:00,39,
SW Portugal,SW Portugal,01/02/2016,17:00:10,0.2,0:02:00,29,
SW Portugal,SW Portugal,03/02/2016,19:30:09,0.3,0:02:00,31,
SW Portugal,SW Portugal,17/02/2016,4:16:21,0.3,0:02:00,50,
SW Portugal,SW Portugal,25/02/2016,10:45:15,0.2,0:02:00,18,
SW Portugal,SW Portugal,27/02/2016,21:45:08,0.1,0:02:00,20,
SW Portugal,SW Portugal,06/03/2016,11:30:11,0.6,0:02:00,84,
SE Iceland,SE Iceland,15/02/2007,13:11:58,0.4,20:02:44,48,
SE Iceland,SE Iceland,17/02/2007,20:19:07,1.7,0:09:04,136,
SE Iceland,SE Iceland,11/03/2007,18:01:36,1.4,20:36:14,107,
ONA,Azores,12/10/2008,4:40:54,0.2,0:02:00,11,
ONA,Azores,17/10/2008,17:32:06,0.2,0:02:00,26,
ONA,Azores,23/10/2008,14:59:19,0.8,0:02:00,18,
ONA,Azores,03/11/2008,1:45:54,0.3,0:02:00,22,
ONA,Azores,25/11/2008,7:12:08,0.3,0:02:00,56,
ONA,Azores,29/11/2008,18:22:50,0.2,0:02:00,25,
ONA,Azores,06/12/2008,13:21:15,0.5,0:02:00,15,
ONA,Azores,09/12/2008,8:54:31,1.2,0:02:00,22,
ONA,Azores,16/12/2008,16:05:47,0.3,0:02:00,32,
ONA,Azores,04/10/2009,5:52:38,0.8,0:02:00,65,
ONA,Azores,20/10/2009,1:54:15,0.2,0:02:00,21,
ONA,Azores,29/10/2009,22:42:16,0.2,0:02:00,37,
ONA,Azores,27/10/2010,4:19:45,0.2,0:02:00,22,
ONA,Azores,04/11/2010,22:16:48,0.2,0:02:00,23,
ONA,Azores,06/11/2010,5:52:48,0.3,0:02:00,29,
ONA,Azores,21/11/2010,19:14:15,0.5,0:02:00,20,
ONA,Azores,24/11/2010,17:04:55,0.1,0:02:00,16,
ONA,Azores,28/11/2010,21:00:30,0.4,0:02:00,36,
ONA,Azores,03/12/2010,12:15:09,0.4,0:02:00,15,
ONA,Azores,14/12/2010,22:24:11,0.1,0:02:00,12,
ONA,Azores,17/12/2010,4:30:38,0.3,0:02:00,19,
ONA,Azores,23/12/2010,16:34:51,0.2,0:02:00,19,
ONA,Azores,29/12/2010,13:49:33,1.3,0:02:00,29,
ONA,Azores,30/12/2010,11:06:53,0.2,0:02:00,17,
ONA,Azores,03/01/2011,8:19:34,0.2,0:02:00,20,
ONA,Azores,07/01/2011,9:21:17,0.6,0:02:00,22,
ONA,Azores,09/01/2011,19:07:59,0.4,0:02:00,16,
ONA,Azores,11/01/2011,9:30:26,0.4,0:02:00,37,
ONA,Azores,30/01/2011,6:08:00,0.1,0:02:00,25,
ONA,Azores,11/02/2011,9:58:04,0.2,0:02:00,18,
ONA,Azores,27/10/2011,20:42:15,0.6,21:16:36,32,
ONA,Azores,08/11/2011,18:15:44,0.5,18:25:34,44,
ONA,Azores,20/11/2011,3:36:13,0.1,3:43:42,12,
ONA,Azores,01/12/2011,20:30:27,0.7,20:53:41,119,
ONA,Azores,06/12/2011,15:14:22,1,16:09:43,54,
ONA,Azores,12/12/2011,16:23:40,0.7,16:47:17,89,
ONA,Azores,19/12/2011,7:16:35,0.5,7:19:32,28,
ONA,Azores,03/01/2012,15:13:48,0.2,14:57:54,21,
ONA,Azores,06/01/2012,21:10:23,0.6,21:35:39,78,
ONA,Azores,12/01/2012,19:37:45,0.5,20:06:53,59,
ONA,Azores,17/01/2012,17:01:48,0.7,17:33:55,52,
ONA,Azores,20/01/2012,20:48:17,1,21:47:48,160,
ONA,Azores,04/02/2012,19:52:09,0.4,17:43:59,53,
ONA,Azores,11/02/2012,2:54:03,0.7,22:29:20,30,
ONA,Azores,14/02/2012,11:34:35,0.3,5:17:49,20,
ONA,Azores,25/02/2012,10:16:12,0.8,4:02:56,82,
ONA,Azores,02/03/2012,6:27:43,0.9,7:19:01,65,
ONA,Azores,04/03/2012,8:28:53,0.1,6:47:53,19,
ONA,Azores,07/10/2012,10:08:27,0.1,9:08:41,12,
ONA,Azores,24/02/2017,8:00:23,6,13:59:33,82,
ONA,Azores,27/02/2017,8:03:40,0.2,8:14:50,35,
ONA,Azores,02/03/2017,8:47:51,3.6,11:33:09,181,
ONA,Azores,06/03/2017,11:18:20,0.9,8:52:47,140,
ONA,Azores,09/03/2017,11:10:15,2.6,10:34:17,89,
ONA,Azores,12/03/2017,9:51:46,3.7,11:43:14,51,
ONA,Azores,16/03/2017,12:56:36,0.3,8:16:58,18,
ONA,Azores,18/03/2017,8:48:34,5.2,13:11:24,106,
ONA,Azores,26/03/2017,10:54:16,0.7,8:44:32,55,
ONA,Azores,18/12/2017,11:12:58,3.2,12:11:11,345,
ONA,Azores,08/01/2018,12:12:58,0.4,9:22:18,64,
ONA,Azores,11/01/2018,9:02:18,1.2,10:10:28,113,
ONA,Azores,13/01/2018,9:32:04,0.1,9:08:06,22,
ONA,Azores,20/03/2019,11:56:40,0.3,8:16:59,48,
ONA,Azores,22/12/2019,17:29:55,1.6,15:33:16,43,
ONA,Azores,01/01/2020,15:07:35,0.4,14:23:37,52,
ONA,Azores,24/01/2020,14:00:12,1.7,15:42:37,81,
