Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:41:30.158	66998.158478934	67004.671300480	133.9	2570.1	6.513	2436.3	79.5	Bd1111	
2	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:41:38.119	67006.118594157	67012.769253195	85.7	2580.8	6.651	2495.2	82.3	Bd1111	
3	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:41:48.181	67015.181409323	67022.038824601	112.4	2495.2	6.857	2382.7	81.7	Df11	
4	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:41:57.485	67024.485440102	67032.686770937	262.4	2570.1	8.201	2307.8	77.3	Df11	
5	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:42:07.480	67034.479924027	67042.715714235	96.4	2564.8	8.236	2468.4	82.3	Df11	
6	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:42:17.645	67044.645439138	67054.018388663	96.4	2591.5	9.373	2495.2	82.6	Df11	
7	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:42:27.816	67054.816116060	67064.671496812	85.7	2580.8	9.855	2495.2	82.5	Df11	
8	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:42:39.222	67066.222168608	67072.390396421	144.6	2543.3	6.168	2398.8	78.7	Df12	
9	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:42:47.878	67074.878311140	67077.256007895	139.2	2580.8	2.378	2441.6	78.8	Ee11	
10	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:42:50.601	67077.600601627	67080.943160833	123.2	2607.6	3.343	2484.4	79.8	Ee11	
11	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:42:55.287	67082.287076390	67087.421523005	144.6	2554.1	5.134	2409.5	77.7	Ee11	
12	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:43:00.456	67087.455982378	67091.453269676	117.8	2602.2	3.997	2484.4	80.2	Ee11	
13	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:43:04.022	67092.022128576	67096.019415874	171.3	2591.5	3.997	2420.2	76.9	Ee11	
14	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:43:09.053	67097.053197072	67100.051162545	192.8	2586.2	2.998	2393.4	75.7	Ee11	
15	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:43:15.429	67102.428859299	67113.869371221	128.5	2602.2	11.441	2473.7	79.6	Df11	
16	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:43:27.110	67115.109908658	67123.207861373	182.1	2586.2	8.098	2404.1	76.2	Df11	
19	Spectrogram 1	1	20170518-193440_AWI231-12_SV1026.wav	19:43:37.655	67124.655155050	67131.822704687	155.3	2511.2	7.168	2355.9	78.4	Df11	
