Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:03:56.050	68431.049516337	68434.915137483	39.7	942.8	3.866	903	95.2	Aa11	
2	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:01.227	68436.226687515	68442.335749504	45	971.9	6.109	926.9	93.8	Aa11	
3	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:17.413	68451.413056301	68455.037076125	0	664.7	3.624	664.7	101.1	Aa11	
4	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:21.073	68456.072510361	68459.972645981	45	701.8	3.9	656.7	96.7	Aa11	
5	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:27.102	68462.101705202	68466.174413195	37.1	799.7	4.073	762.7	96.3	Aa11	
6	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:33.590	68467.58950665	68471.144497525	50.3	831.5	3.555	781.2	95.6	Aa11	
7	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:37.869	68471.86930149	68476.942929244	21.2	852.7	5.074	831.5	97.8	Aa12	
8	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:43.047	68478.047392428	68483.6387373	45	852.7	5.591	807.7	95.2	Aa12	
9	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:50.675	68484.674715269	68488.160677195	42.4	1440.6	3.486	1398.2	91.6	Aa11	
10	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:04:56.577	68490.576690411	68496.789295824	63.6	1130.8	6.213	1067.2	94.3	Aa13	
11	Spectrogram	1	20110517-190330_AWI230-07_SV1001.wav	19:05:03.618	68497.617643212	68501.862923577	55.6	987.8	4.245	932.2	92.9	Aa11	
