Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:47:27.469	66995.469041671	67005.979150514	49.2	1684.8	10.510	1635.6	72.7	Aa12	
2	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:47:41.356	67009.356169093	67020.176412296	71.9	1658.3	10.820	1586.4	71.6	Aa12	
3	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:47:54.863	67021.863366933	67036.405222447	11.4	1768.1	14.542	1756.8	79.1	Ai12	
4	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:48:10.000	67038.000066018	67049.509496686	34.1	1779.5	11.509	1745.4	75.2	Ai12	
5	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:48:22.474	67050.474359137	67064.533783426	18.9	1798.4	14.059	1779.5	78.3	Aj114	
6	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:48:38.912	67065.912158356	67073.217545486	102.2	1783.3	7.305	1681.0	71.9	Ai11	
7	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:48:50.923	67077.922603618	67093.188105970	83.3	1828.7	15.266	1745.4	70.7	Ac18	
8	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:49:05.774	67093.773915315	67104.973211624	75.7	1828.7	11.199	1753.0	71.9	Ac15	
9	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:49:17.708	67105.708308412	67137.768950779	71.9	1824.9	32.061	1753.0	71.9	Aj153	
10	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:49:56.519	67144.519037361	67156.993330480	83.3	1809.8	12.474	1726.5	71.5	Ai12	
11	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:50:10.026	67158.026215564	67168.984296259	98.4	1802.2	10.958	1703.8	69.9	Ac13	
12	Spectrogram 1	1	20130403-184035_AWI230-08_SV1009.wav	18:50:22.880	67169.880239964	67182.905883055	98.4	1809.8	13.026	1711.3	69.9	Ac13	
13	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:50:37.695	67184.694716002	67195.652796698	41.6	1813.6	10.958	1771.9	73.6	Aa12	
14	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:50:51.656	67198.656157712	67210.372344619	7.6	1802.2	11.716	1794.6	79.5	Aa13	
15	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:51:04.682	67211.681727534	67222.915483215	15.1	1779.5	11.234	1764.3	78.5	Aa11	
16	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:51:23.326	67230.326169074	67240.526143558	37.9	1817.3	10.200	1779.5	73.3	Ai11	
17	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:51:34.905	67240.905196664	67248.486258780	83.3	1817.3	7.581	1734.1	71.1	Ai11	
18	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:56:31.449	67538.448789896	67552.094701706	60.6	1620.5	13.646	1559.9	74.1	Aa13	
19	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:56:47.541	67554.541317207	67565.464938529	0.0	1673.5	10.924	1673.5	83.6	Aa12	
20	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:57:01.712	67567.711693470	67580.944092800	83.3	1707.6	13.232	1624.3	72.1	Ai12	
21	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:57:15.476	67582.476309445	67595.329655669	45.4	1783.3	12.853	1737.8	73.5	Aj112	
22	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:57:29.639	67596.639111853	67610.147186169	102.2	1806.0	13.508	1703.8	70.5	Ac13	
23	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:57:45.974	67611.973715848	67627.342596320	87.1	1790.8	15.369	1703.8	71.6	Ac15	
24	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:58:02.827	67628.826928353	67641.645815204	18.9	1764.3	12.819	1745.4	77.7	Aa15	
25	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:58:16.955	67642.955271388	67654.326864563	64.4	1726.5	11.372	1662.1	73.0	Aa12	
26	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:58:29.406	67656.406297543	67667.536675105	49.2	1681.0	11.130	1631.8	72.9	Aa12	
27	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:58:42.329	67669.328562514	67679.700833865	94.7	1696.2	10.372	1601.5	70.1	Aa12	
28	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:58:54.725	67680.724847817	67695.197784585	87.1	1718.9	14.473	1631.8	71.6	Aa13	
29	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:59:10.686	67697.686413348	67708.747872163	68.2	1764.3	11.061	1696.2	72.0	Aa12	
30	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:59:23.203	67710.202719894	67725.433762873	71.9	1813.6	15.231	1741.6	71.4	Ai12	
31	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	18:59:39.157	67726.157409712	67745.455500005	83.3	1802.2	19.298	1718.9	71.6	Aj122	
32	Spectrogram 1	1	20130403-185036_AWI230-08_SV1009.wav	19:00:00.717	67746.716833674	67758.674236194	53.0	1817.3	11.957	1764.3	72.4	Ad121	
