Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:35:33.484	63148.484075637	63162.151807545	63.6	897.7	13.668	834.1	77.2	Aa13	
2	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:35:49.706	63164.705878659	63174.749590743	63.6	858.0	10.044	794.4	77.2	Aa12	
3	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:36:02.786	63176.785944739	63187.174801568	47.7	858.0	10.389	810.3	77.9	Aa12	
4	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:36:14.493	63189.493253406	63204.679622193	60.9	1059.3	15.186	998.4	77.0	Ai12	
5	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:36:32.096	63207.095635409	63223.628068701	74.1	1080.5	16.532	1006.4	76.1	Ai12	
6	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:36:50.442	63225.442244142	63239.972837913	92.7	1085.8	14.531	993.1	75.6	Ai12	
7	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:37:07.251	63242.250793231	63253.433482974	90.0	1096.3	11.183	1006.3	75.2	Ai12	
8	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:39:56.786	63410.785657883	63424.625962164	103.3	1194.3	13.840	1091.0	75.2	Aa13	
9	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:40:11.248	63426.248142466	63441.538054677	84.7	1202.3	15.290	1117.6	75.5	Aa13	
10	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:40:29.056	63444.056096261	63457.654799220	47.7	1199.6	13.599	1151.9	76.1	Aa13	
11	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:40:44.519	63459.518580844	63475.636840443	74.1	1218.2	16.118	1144.1	75.8	Ac13	
12	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:41:02.127	63477.127313919	63491.934023486	105.9	1215.5	14.807	1109.6	75.2	Ac13	
13	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:41:19.082	63494.082466874	63509.890096202	119.2	1228.8	15.808	1109.6	75.7	Ac13	
14	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:41:37.857	63511.857421249	63527.630536103	53.0	1308.2	15.773	1255.2	75.6	Ac13	
15	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:41:53.515	63528.514879519	63541.733923259	60.9	1305.6	13.219	1244.7	75.4	Aa12	
16	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:42:07.735	63542.734843020	63555.884857810	68.9	1292.3	13.150	1223.4	75.4	Aa12	
17	Spectrogram 1	1	20130613-173249_AWI227-12_SV1025.wav	17:42:22.298	63557.298190059	63570.448204849	37.1	1281.7	13.150	1244.6	75.8	Aa12	
18	Spectrogram 1	1	20130613-181250_AWI227-12_SV1025.wav	18:20:24.157	64038.157000736	64053.274340574	29.1	1734.6	15.117	1705.5	78.2	Aa13	
19	Spectrogram 1	1	20130613-181250_AWI227-12_SV1025.wav	18:20:41.793	64054.792977453	64069.254542274	58.3	1729.3	14.462	1671.0	79.5	Aa13	
20	Spectrogram 1	1	20130613-181250_AWI227-12_SV1025.wav	18:20:57.118	64071.118323898	64082.887759708	55.6	1724.0	11.769	1668.4	77.3	Aa12	
21	Spectrogram 1	1	20130613-181250_AWI227-12_SV1025.wav	18:21:11.804	64084.803950284	64097.539791380	66.2	1750.4	12.736	1684.2	76.6	Aa12	
22	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:23:18.237	64211.236898878	64224.041768923	71.5	1498.9	12.805	1427.4	75.7	Aa12	
23	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:23:33.423	64226.423267665	64238.710420592	82.1	1498.9	12.287	1416.8	74.8	Aa12	
24	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:23:48.221	64241.221469688	64253.715709462	87.4	1581.0	12.494	1493.6	76.1	Aa12	
25	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:24:03.718	64255.717548984	64268.625962453	74.1	1639.2	12.908	1565.1	75.7	Ai12	
26	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:24:23.175	64276.174979149	64289.014363669	111.2	1641.9	12.839	1530.7	74.4	Ac13	
27	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:24:39.466	64292.465811120	64311.276199731	29.1	1700.1	18.810	1671.0	76.8	Ca17	
28	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:25:00.204	64313.203746699	64324.386436442	66.2	1750.4	11.183	1684.2	76.8	Aa12	
29	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:25:13.423	64326.422790439	64342.989738206	66.2	1776.9	16.567	1710.7	75.6	Aa13	
30	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:25:31.405	64344.404831661	64361.834641292	63.6	1782.2	17.430	1718.6	74.4	Aa13	
31	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:27:03.003	64436.003010061	64454.295681554	63.6	1779.6	18.293	1716.0	75.3	Aq1331	
32	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:27:24.470	64456.470093449	64466.306718685	53.0	1565.1	9.837	1512.1	76.4	Aa12	
33	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:27:35.067	64468.066956886	64481.493087472	58.3	1705.4	13.426	1647.1	76.0	Aa12	
34	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:27:51.845	64483.844500130	64497.132572819	55.6	1739.9	13.288	1684.3	76.0	Aa12	
35	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:28:06.513	64498.513151800	64513.354375841	50.3	1745.1	14.841	1694.8	75.8	Aa12	
36	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:28:23.773	64515.772991579	64529.682324809	68.9	1779.6	13.909	1710.7	75.2	Aa12	
37	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:28:38.270	64531.269990636	64544.661606748	47.7	1819.3	13.392	1771.6	75.6	Aa12	
38	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:28:53.286	64546.285748504	64561.299544918	66.2	1816.6	15.014	1750.4	75.0	Ai12	
39	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:29:10.605	64562.604782302	64580.828424847	45.0	1806.1	18.224	1761.1	74.8	Aj112	
40	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:29:29.781	64581.780748344	64599.003471127	66.2	1808.7	17.223	1742.5	74.9	Aq14212	
41	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:29:48.472	64600.472093848	64619.627627204	58.3	1803.4	19.156	1745.1	75.8	Aq1321	
42	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:30:09.774	64621.773875870	64635.993839371	60.9	1763.7	14.220	1702.8	77.8	Aa13	
43	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:30:25.678	64637.677849279	64651.000436442	90.0	1761.0	13.323	1671.0	74.2	Aa12	
44	Spectrogram 1	1	20130613-182251_AWI227-12_SV1025.wav	18:30:40.106	64653.105819387	64666.842580244	66.2	1718.7	13.737	1652.5	74.2	Aa12	
45	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:33:04.407	64795.407055520	64806.624259738	74.1	1776.9	11.217	1702.8	76.5	Aa12	
46	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:33:16.281	64808.280954514	64821.016795611	58.3	1819.3	12.736	1761.0	75.7	Aa12	
47	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:33:31.463	64822.463470590	64837.132122259	84.7	1832.5	14.669	1747.8	75.5	Ai12	
48	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:33:46.995	64837.994984122	64855.804452972	58.3	1832.5	17.809	1774.2	75.4	Aq113121	
49	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:34:06.933	64857.932735192	64871.289836829	45.0	1731.9	13.357	1686.9	76.2	Aa13	
50	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:34:21.050	64873.050075030	64887.062951683	47.7	1763.7	14.013	1716.0	75.4	Aa13	
51	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:34:37.795	64888.795026480	64901.772468898	53.0	1769.0	12.977	1716.0	75.7	Aa13	
52	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:34:52.847	64903.846742607	64920.137574579	74.1	1784.9	16.291	1710.8	75.0	Aa13	
53	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:35:10.691	64921.690725932	64935.462001263	74.1	1798.1	13.771	1724.0	76.3	Aa13	
54	Spectrogram 1	1	20130613-183252_AWI227-12_SV1025.wav	18:35:26.688	64937.688155676	64950.976228365	108.6	1803.4	13.288	1694.8	75.2	Ai12	
