Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	20130315-074303_AWI230-08_SV1009.wav	7:51:33.303	28103.303105761	28120.842926749	86.8	1782.9	17.540	1696.2	72.7	Ac13	
2	Spectrogram 1	1	20130315-074303_AWI230-08_SV1009.wav	7:51:52.993	28121.993273565	28136.018238480	114.4	1759.3	14.025	1644.9	72.8	Ac12	
3	Spectrogram 1	1	20130315-074303_AWI230-08_SV1009.wav	7:52:07.741	28137.741207143	28151.524956445	122.3	1775.1	13.784	1652.8	72.3	Ac12	
4	Spectrogram 1	1	20130315-074303_AWI230-08_SV1009.wav	7:52:22.683	28152.683095219	28164.261444633	63.1	1806.6	11.578	1743.5	74.3	Ac12	
5	Spectrogram 1	1	20130315-074303_AWI230-08_SV1009.wav	7:52:35.399	28165.398603950	28182.145859353	55.2	1798.7	16.747	1743.5	73.6	Ac13	
6	Spectrogram 1	1	20130315-074303_AWI230-08_SV1009.wav	7:52:54.231	28184.230925943	28199.117375189	122.3	1790.8	14.886	1668.5	72.2	Ac110	
7	Spectrogram 1	1	20130315-075304_AWI230-08_SV1009.wav	7:53:11.703	28200.702506359	28212.315315147	149.9	1830.3	11.613	1680.4	72.5	Ac14	
8	Spectrogram 1	1	20130315-075304_AWI230-08_SV1009.wav	7:53:24.550	28213.550402035	28228.988201253	86.8	1794.8	15.438	1708.0	72.3	An118	
10	Spectrogram 1	1	20130315-075304_AWI230-08_SV1009.wav	7:53:41.188	28230.188499575	28244.075626997	63.1	1818.4	13.887	1755.3	72.4	Ak116	
11	Spectrogram 1	1	20130315-075304_AWI230-08_SV1009.wav	7:53:56.351	28245.350623808	28258.410726272	134.1	1822.4	13.060	1688.3	69.7	Ak125	
12	Spectrogram 1	1	20130315-075304_AWI230-08_SV1009.wav	7:54:11.926	28259.926042417	28273.503035480	145.9	1763.2	13.577	1617.3	71.1	Ak121	
15	Spectrogram 1	1	20130315-075304_AWI230-08_SV1009.wav	7:54:26.933	28274.933099470	28283.823617770	47.3	1767.2	8.891	1719.8	74.2	Ac11	
16	Spectrogram 1	1	20130315-080305_AWI230-08_SV1009.wav	8:12:23.704	29350.703798351	29364.659844520	51.3	1810.6	13.956	1759.3	73.4	An1117	
17	Spectrogram 1	1	20130315-080305_AWI230-08_SV1009.wav	8:12:39.676	29366.676229938	29382.906594742	122.3	1802.7	16.230	1680.4	72.0	Ac13	
18	Spectrogram 1	1	20130315-080305_AWI230-08_SV1009.wav	8:12:57.974	29384.974157137	29399.240337665	122.3	1794.8	14.266	1672.5	71.1	Ac13	
19	Spectrogram 1	1	20130315-081306_AWI230-08_SV1009.wav	8:13:14.762	29400.762366594	29413.822469058	138.1	1842.1	13.060	1704.1	69.2	Ac12	
20	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:37:53.153	30877.152818078	30889.248058091	126.2	1826.3	12.095	1700.1	73.4	Ac12	
21	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:38:06.074	30891.074404874	30903.893291725	106.5	1822.4	12.819	1715.9	74.5	Ac12	
22	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:38:20.569	30904.569419744	30920.248434575	98.6	1826.3	15.679	1727.7	74.3	Ac13	
23	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:38:37.558	30921.557890759	30939.304467986	39.4	1834.2	17.747	1794.8	77.5	Ac13	
24	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:38:55.898	30939.897593810	30955.163096162	118.3	1826.3	15.266	1708.0	72.5	Ac13	
25	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:39:12.957	30956.956904016	30971.429840784	51.3	1838.2	14.473	1786.9	72.8	Ac13	
26	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:39:28.912	30972.911593834	30985.282508833	94.7	1830.3	12.371	1735.6	70.7	Ac12	
27	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:39:43.503	30987.503254403	31001.907272424	82.8	1794.8	14.404	1711.9	70.9	Aa13	
28	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:39:59.665	31003.664700460	31019.205877799	110.4	1794.8	15.541	1684.3	71.5	Aa13	
29	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:40:17.330	31021.329958033	31040.627207057	90.7	1798.7	19.297	1708.0	71.3	Aa14	
30	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:40:37.311	31041.310943973	31054.750099542	74.9	1806.6	13.439	1731.7	71.9	Aa13	
31	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:40:51.960	31055.959835599	31071.983444163	71.0	1775.1	16.024	1704.1	73.8	Ai12	
32	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:41:08.983	31072.982765988	31090.591505722	86.8	1786.9	17.609	1700.1	75.4	Ai12	
33	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:41:28.137	31092.137147604	31105.714140667	78.9	1794.8	13.577	1715.9	73.8	Ai12	
34	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:41:43.494	31107.493609236	31120.932764806	86.8	1759.3	13.439	1672.5	73.3	Ai12	
35	Spectrogram 1	1	20130315-083308_AWI230-08_SV1009.wav	8:41:58.249	31122.249116669	31135.205841014	78.9	1767.2	12.957	1688.3	76.0	Ai12	
