Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:35:46.585	73610.584609487	73623.458508481	29.1	1824.6	12.874	1795.5	78.4	Aa13	
2	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:36:00.908	73624.908413469	73641.578904660	29.1	1821.9	16.670	1792.8	79.8	Ap111121	
3	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:36:20.651	73644.650692892	73655.798868160	18.5	1808.7	11.148	1790.2	82.0	Ap1121	
4	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:36:33.482	73657.482347043	73671.460709222	68.9	1806.1	13.978	1737.2	79.0	Ai12	
5	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:36:48.841	73672.841288203	73685.577129299	63.6	1800.8	12.736	1737.2	77.7	Ai12	
6	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:37:03.286	73687.285566419	73704.577318152	31.8	1827.2	17.292	1795.5	79.6	Ai13	
7	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:37:22.545	73706.544643199	73724.423140998	98.0	1853.7	17.878	1755.7	79.4	Ai13	
8	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:37:42.543	73726.543149116	73743.972958747	39.7	1821.9	17.430	1782.2	80.6	Aq111111	
9	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:38:01.733	73745.733196947	73762.058543393	50.3	1827.2	16.325	1776.9	80.2	Aq1122	
10	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:38:19.504	73763.503528611	73774.237530185	39.7	1832.5	10.734	1792.8	76.5	Ap111	
11	Spectrogram 1	1	20130427-202837_AWI229-10_SV1010.wav	20:38:32.343	73776.342913131	73792.944375373	45.0	1821.9	16.601	1776.9	77.7	Aa13	
12	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:38:51.171	73795.171170679	73806.215802524	63.6	1835.2	11.045	1771.6	78.9	Aa12	
13	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:39:04.405	73808.404567899	73821.382010317	60.9	1808.7	12.977	1747.8	75.4	Aa12	
14	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:39:20.351	73824.350526992	73835.981904904	79.4	1800.8	11.631	1721.3	75.0	Aa12	
15	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:39:34.018	73838.018258900	73850.305411828	55.6	1806.1	12.287	1750.4	76.3	Aa12	
16	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:39:48.779	73852.778838792	73864.168615382	60.9	1742.5	11.390	1681.6	75.7	Aa12	
17	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:40:05.057	73869.056503132	73883.380010056	68.9	1490.9	14.324	1422.1	75.8	Aa13	
18	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:40:21.727	73885.726994323	73905.193157950	95.3	1734.6	19.466	1639.2	77.0	Ac13	
19	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:40:44.983	73908.983229597	73923.582852317	55.6	1832.5	14.600	1776.9	80.2	Ac13	
20	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:41:03.414	73927.413958988	73945.396000210	50.3	1641.9	17.982	1591.6	79.3	Ac14	
21	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:44:25.051	74129.051190006	74142.132175847	29.1	1798.1	13.081	1769.0	77.8	Aa13	
22	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:44:40.962	74144.962362757	74156.352139348	47.7	1787.5	11.390	1739.9	77.0	Aa12	
23	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:44:55.044	74159.044268360	74176.853737210	79.4	1821.9	17.809	1742.5	78.8	Ao112	
24	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:45:14.749	74178.748717749	74195.384694466	60.9	1755.7	16.636	1694.8	78.2	An127	
25	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:45:32.731	74196.730758972	74209.190484272	98.0	1776.9	12.460	1678.9	77.7	An1110	
26	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:45:46.708	74210.707742029	74221.993975196	150.9	1811.4	11.286	1660.4	77.5	Ak116	
27	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:45:59.582	74223.581641023	74235.730736053	145.6	1821.9	12.149	1676.3	76.7	Ak19	
28	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:46:13.905	74237.905147947	74249.916185079	74.1	1798.1	12.011	1724.0	76.6	Aa12	
29	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:46:29.506	74253.505690428	74264.757409120	103.3	1790.2	11.252	1686.9	76.8	Aa12	
30	Spectrogram 1	1	20130427-203837_AWI229-10_SV1010.wav	20:46:43.056	74267.056341032	74279.412522909	92.7	1790.2	12.356	1697.5	77.4	Ai12	
