Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:51:27.269	56666.268676838	56671.342304592	26.5	971.9	5.074	945.4	96.9	Cb12	
2	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:51:33.549	56671.549391439	56676.277874448	26.5	937.5	4.728	911	99	Cb11	
3	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:51:39.624	56677.623938954	56690.73943927	13.2	786.5	13.116	773.3	99	Cc12	
4	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:51:52.188	56691.188127438	56695.32986438	23.8	760	4.142	736.2	98.5	Cb11	
5	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:51:58.647	56696.647013848	56701.030352111	31.8	746.8	4.383	715	98.7	Cb11	
6	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:03.066	56702.065786347	56709.935086536	29.1	823.6	7.869	794.5	96.2	Cc11	
7	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:11.108	56710.107658909	56716.078663	42.4	820.9	5.971	778.6	98.8	Cc11	
8	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:18.527	56716.527351169	56721.186805228	10.6	810.3	4.659	799.7	100.8	Cb11	
9	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:23.670	56721.670007872	56728.124214606	21.2	770.6	6.454	749.4	99.9	Cb12	
10	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:30.656	56728.656323978	56735.386646508	34.4	775.9	6.73	741.5	96.6	Cc11	
11	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:37.835	56735.835334677	56740.805419007	0	775.9	4.97	775.9	122	Cc11	
12	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:42.461	56741.461194023	56745.430358592	34.4	683.2	3.969	648.8	97.7	Cb11	
13	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:49.915	56747.915400757	56752.333253495	26.5	667.3	4.418	640.9	98.2	Cb11	
14	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:52:55.059	56754.058977221	56762.342451105	21.2	646.2	8.283	625	98.6	Cc11	
15	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:53:04.964	56762.963711646	56768.658599941	13.2	659.4	5.695	646.2	98.5	Cb11	
16	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:53:11.005	56770.004664447	56775.388922472	7.9	672.6	5.384	664.7	99.8	Cb11	
17	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:53:18.754	56776.753904783	56785.209951039	47.7	701.8	8.456	654.1	97.3	Cc11	
18	Spectrogram	1	20110413-154705_AWI230-07_SV1001.wav	15:53:27.728	56785.727668157	56794.666917057	10.6	675.3	8.939	664.7	100.5	Cc12	
19	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	15:59:04.127	57123.126978559	57128.200606313	42.4	670	5.074	627.6	97.8	Cb12	
20	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	15:59:09.546	57128.545751058	57133.205205118	31.8	664.7	4.659	632.9	97.3	Cb11	
21	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	15:59:15.068	57134.068066981	57142.972801406	58.3	778.6	8.905	720.3	97.6	Cc14	
22	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	15:59:25.558	57144.557534283	57150.459509426	105.9	850.1	5.902	744.1	98.2	Cc12	
23	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	15:59:32.426	57151.425914712	57156.741143787	34.4	733.5	5.315	699.1	99.1	Cb12	
24	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	15:59:38.328	57157.327889854	57163.091807098	23.8	651.5	5.764	627.6	98.6	Cb12	
25	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	15:59:45.093	57164.092726859	57173.618721825	29.1	831.5	9.526	802.4	97.1	Cc13	
26	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	15:59:55.344	57174.34352579	57180.349044356	53	752.1	6.006	699.1	96.1	Cc12	
27	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:00:02.970	57180.970304897	57185.250099737	21.2	630.3	4.28	609.1	100.3	Cb12	
28	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:00:07.493	57186.49262082	57191.255618303	10.6	638.2	4.763	627.6	100.9	Cb11	
29	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:00:15.725	57193.724791932	57198.83293416	58.3	667.3	5.108	609.1	97.4	Cc11	
30	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:00:21.075	57200.075455243	57204.355250083	47.7	715	4.28	667.3	98	Cc11	
31	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:05:17.120	57496.120099121	57504.955804597	68.9	1125.5	8.836	1056.6	94.2	Ba15	
32	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:05:27.612	57505.611579612	57509.442686284	39.7	693.8	3.831	654.1	98.7	Cb11	
33	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:05:32.651	57510.650692892	57514.619857461	50.3	733.5	3.969	683.2	96.4	Cb11	
34	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:05:37.415	57516.414610136	57522.558186599	76.8	783.9	6.144	707.1	94.6	Cc11	
35	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:05:44.318	57523.317505039	57528.080502522	23.8	768	4.763	744.1	96.4	Cc11	
36	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:05:50.805	57528.805306487	57533.085101327	50.3	775.9	4.28	725.6	95.3	Cc11	
37	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:05:58.225	57537.225459147	57547.476258078	23.8	1549.2	10.251	1525.3	94	Ba13	
38	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:06:10.753	57548.753293635	57560.48821497	82.1	1665.7	11.735	1583.6	92.6	Ba23	
39	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:06:22.455	57561.454620257	57570.842557325	68.9	1594.2	9.388	1525.3	93.4	Ba14	
40	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:06:32.473	57571.472635526	57580.101254155	129.8	1075.2	8.629	945.4	94.1	Cc11	
41	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:06:42.171	57581.171202865	57586.969634584	29.1	1061.9	5.798	1032.8	96.1	Cb12	
42	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:06:48.487	57587.487351701	57592.630008404	26.5	1059.3	5.143	1032.8	96	Cb12	
43	Spectrogram	1	20110413-155705_AWI230-07_SV1001.wav	16:06:55.665	57593.66544264	57605.538421873	45	1112.2	11.873	1067.2	96.3	Cc12	
44	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:07:08.850	57606.849971905	57614.132526027	50.3	1138.7	7.283	1088.4	95.4	Ba14	
45	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:07:16.961	57614.960873416	57621.725710421	34.4	1133.4	6.765	1099	96.5	Ba14	
46	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:07:24.738	57622.737642913	57627.707727243	34.4	1125.5	4.97	1091	96.2	Cb12	
47	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:07:29.156	57628.156415411	57633.230043165	23.8	1109.6	5.074	1085.8	96.4	Cb13	
48	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:07:35.748	57633.747760283	57641.237401253	108.6	1138.7	7.49	1030.1	94.9	Cc12	
49	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:07:43.159	57642.158589974	57648.060565116	68.9	1154.6	5.902	1085.8	95.6	Cc11	
50	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:07:49.509	57648.509253285	57653.686424462	74.1	1154.6	5.177	1080.5	96.2	Cc11	
51	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:07:55.480	57654.480257376	57659.622914079	29.1	707.1	5.143	677.9	97.8	Cb11	
52	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:08:01.106	57660.106116722	57665.697461593	39.7	717.7	5.591	677.9	97.8	Cb11	
53	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:08:07.491	57666.491294507	57671.737494633	55.6	791.8	5.246	736.2	97.5	Cc11	
54	Spectrogram	1	20110413-160705_AWI230-07_SV1001.wav	16:08:13.221	57672.220697277	57678.088157944	87.4	818.3	5.867	730.9	95.3	Cc11	
55	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:05.926	58443.925538397	58452.588671501	2.6	1003.7	8.663	1001	114.1	Cc11	
56	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:14.899	58452.899301771	58458.732247965	53	1038.1	5.833	985.1	94.4	Cc11	
57	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:20.526	58459.526080878	58463.840390193	82.1	1019.5	4.314	937.5	93.8	Cc11	
58	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:25.496	58464.496165209	58468.844988998	34.4	1009	4.349	974.5	94.9	Cb11	
59	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:31.191	58470.191053504	58475.161137834	23.8	1019.5	4.97	995.7	96.5	Cb11	
60	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:37.300	58476.300115493	58483.272039345	31.8	1024.8	6.972	993.1	95.2	Cc11	
61	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:45.928	58483.927814361	58489.691731605	60.9	1019.5	5.764	958.6	96.4	Cc11	
62	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:51.031	58490.031340005	58497.141321756	42.4	1006.3	7.11	963.9	95.5	Ce111	
63	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:21:59.384	58498.383842838	58504.769020623	34.4	1027.5	6.385	993.1	95.4	Cb11	
64	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:22:07.735	58505.73542591	58513.363124778	37.1	1038.1	7.628	1001	97.9	Cc11	
65	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:22:15.053	58514.053414268	58520.093447308	47.7	1517.4	6.04	1469.7	95.9	Cc11	
66	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:22:21.404	58520.404077579	58524.580328995	31.8	1260.5	4.176	1228.8	96.3	Cb11	
67	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:22:26.478	58525.477705333	58537.219754741	29.1	1260.5	11.742	1231.4	95.9	Cd111	
68	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:22:39.491	58538.491118719	58543.806347794	23.8	1257.9	5.315	1234	97.4	Cc11	
69	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:22:46.014	58545.014354402	58548.879975548	26.5	802.4	3.866	775.9	98.6	Cb11	
70	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:22:52.813	58550.812786121	58561.650466877	23.8	847.4	10.838	823.6	99.4	Cb11	
71	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:23:04.006	58563.005854353	58568.286568953	26.5	916.3	5.281	889.8	97.1	Cc11	
72	Spectrogram	1	20110413-161705_AWI230-07_SV1001.wav	16:23:10.633	58569.63263346	58578.951541579	0	982.5	9.319	982.5	121	Cc13	
