Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:04:59.024	43344.023546233	43346.439559449	10.6	993.1	2.416	982.5	93.7	Ea12	
2	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:02.888	43346.888247618	43350.201637171	0	971.9	3.313	971.9	109.9	Ea23	
3	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:06.754	43350.753868764	43353.100853031	13.2	963.9	2.347	950.7	95.8	Ea13	
4	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:09.964	43353.963714893	43357.242589972	50.3	953.3	3.279	903	89.7	Ea24	
5	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:13.898	43357.898364988	43361.34981244	58.3	982.5	3.451	924.2	89.9	Ea24	
6	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:18.425	43363.424565219	43369.326540361	29.1	619.7	5.902	590.5	94.1	Cb12	
7	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:24.396	43369.395569311	43375.021428657	71.5	1295	5.626	1223.5	88.1	Ca12	
8	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:30.404	43375.404492765	43381.340982382	84.7	1382.3	5.936	1297.6	87.7	Cc12	
9	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:37.824	43381.824185025	43386.759754881	37.1	1347.9	4.936	1310.8	90.9	Cb11	
10	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:42.208	43387.20844305	43393.55910636	45	1228.8	6.351	1183.7	89.7	Cc11	
11	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:49.249	43394.249395851	43399.461081503	31.8	971.9	5.212	940.1	91	Ca11	
12	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:05:56.850	43400.850478318	43410.790646978	95.3	1199.6	9.94	1104.3	87.9	Ca14	
13	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:06:06.584	43411.584479892	43419.074120862	60.9	1811.4	7.49	1750.4	87.2	Ba15	
14	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:06:15.868	43419.867720508	43434.398314279	74.1	1782.2	14.531	1708.1	87.1	Ba35	
15	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:06:30.158	43435.157632718	43442.88887501	161.5	1761	7.731	1599.5	85	Ba15	
16	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:06:40.148	43445.147581919	43449.496405708	92.7	1678.9	4.349	1586.3	86.2	?	
17	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:06:46.842	43450.842470214	43459.747204639	23.8	1565.1	8.905	1541.2	91.2	Cb12	
18	Spectrogram	1	20110425-120238_AWI230-07_SV1001.wav	12:06:55.541	43460.541037553	43465.614665307	31.8	929.5	5.074	897.7	92.1	Cb11	
19	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:16:07.486	44011.486283023	44018.320148977	116.5	791.8	6.834	675.3	88.5	Cc11	
20	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:16:14.665	44018.665293722	44024.291153068	29.1	778.6	5.626	749.4	93.3	Cb11	
21	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:16:21.740	44024.739841237	44029.1231795	29.1	762.7	4.383	733.5	94.5	Cb11	
22	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:16:26.228	44030.227642685	44037.337624435	60.9	765.3	7.11	704.4	93.1	Cc11	
23	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:16:34.511	44038.511116569	44043.550229848	31.8	757.4	5.039	725.6	94.6	Cc11	
24	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:16:40.170	44044.169703468	44049.968135186	103.3	738.8	5.798	635.6	94	Cc12	
25	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:16:47.245	44051.245170743	44058.389666968	60.9	715	7.144	654.1	93.3	Cc11	
26	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:16:56.392	44060.39150649	44067.087314546	108.6	1530.6	6.696	1422.1	87.6	Ba13	
27	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:17:04.162	44068.16233254	44082.416810515	143	1700.1	14.254	1557.1	86.9	Ba34	
28	Spectrogram	1	20110425-121239_AWI230-07_SV1001.wav	12:17:19.176	44083.176128955	44091.114458093	140.4	1665.7	7.938	1525.3	86.3	Ba15	
