Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:28:15.358	69883.358275255	69891.365633343	55.6	1790.2	8.007	1734.6	74.3	Aa13	
2	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:28:25.781	69892.780726798	69901.340316478	34.4	1784.9	8.56	1750.5	77.3	Aa13	
3	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:28:35.514	69902.513808611	69913.006208864	50.3	1779.6	10.492	1729.3	76.7	Aa13	
4	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:28:46.822	69913.821795198	69923.209732267	39.7	1784.9	9.388	1745.2	76.8	Aa13	
5	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:28:56.038	69924.038079655	69933.356987774	50.3	1787.5	9.319	1737.2	76.4	Aa13	
6	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:29:06.185	69934.185335163	69941.088230066	71.5	1694.8	6.903	1623.3	77.7	Aa13	
7	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:29:14.813	69941.813034031	69949.164617102	55.6	1692.2	7.352	1636.6	77.7	Aa13	
8	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:29:22.924	69949.923935542	69958.103866002	53	1684.2	8.18	1631.2	78.8	Aa13	
9	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:29:31.659	69958.65910809	69967.253212245	45	1676.3	8.594	1631.3	79.2	Aa13	
10	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:29:41.496	69968.495733327	69982.439581032	42.4	1644.5	13.944	1602.1	76.1	Ac21	
11	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:29:55.186	69983.186371685	69993.54071404	21.2	1279.1	10.354	1257.9	79	Da12	
12	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:30:08.888	69995.887698307	70008.554510454	29.1	1276.4	12.667	1247.3	76.6	Da12	
13	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:30:22.728	70009.728002587	70019.461084401	7.9	1281.7	9.733	1273.8	80.7	Da12	
14	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:30:33.248	70021.247970774	70030.46333547	34.4	1271.1	9.215	1236.7	78.1	Da11	
15	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:30:47.380	70034.380058241	70048.254876996	121.8	1567.7	13.875	1445.9	74.1	Db13	
16	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:31:02.394	70049.393854655	70108.385604147	84.7	1859	58.992	1774.3	72.2	?	
17	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:32:02.952	70109.951962778	70118.822182729	129.8	1835.2	8.87	1705.4	78.3	Ba13	
18	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:32:12.547	70119.546986694	70126.967598714	58.3	1329.4	7.421	1271.1	79.4	Aa13	
19	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:32:20.003	70128.00303295	70135.872333139	13.2	1207.6	7.869	1194.4	81	Aa12	
20	Spectrogram	1	20110518-192322_AWI227-11_SV0002.wav	19:32:29.322	70137.321941069	70144.984154412	39.7	1173.1	7.662	1133.4	79.1	Aa12	
