Sound	PeakF	HighF	LowF	Range	StartF	EndF	Trend	Inflec	PRR	Dur	BW
GR(S)	150.7	203.7	82.1	2.481120585	143	143	1	0	0	0.32	121.6
NS(S)	172.3	1331.9	131.8	10.10546282	161	774	0.208010336	1	0	0.437	1200
BE.TI(A)	667.5	4657.3	241.7	19.26892842	297	1339	0.221807319	2	30	4.3	4415.6
AS(S).DW	1205.9	4945.4	585.6	8.445013661	679	2789	0.243456436	2	0	2.199	4359.8
AS(S).NW	1184.3	4462.1	780.9	5.714047893	930	4313	0.215627174	4	0	0.74	3681.2
AS(S).AW	1141.3	4545.7	715.8	6.350516904	930	4509	0.206254158	1	0	0.502	3829.9
BE.TI(A)	753.7	8781.8	213.8	41.0748363	316	1487	0.212508406	0	17	4.818	8568
UC(S).AC(H)	2519.4	2798.1	650.7	4.300138313	679	2770	0.245126354	0	0	1.826	2147.4
UC(S).AC(H)	2261	2891	594.9	4.859640276	641	2826	0.226822364	0	0	0.909	2296.1
AC(H)	1270.5	1357.2	1124.8	1.206614509	1199	3339	0.359089548	2	0	1.147	232.4
GW(L)	129.2	4350.5	78.9	55.13941698	210	138	1.52173913	0	0	5.01	4271.6
AGR(L)	150.7	6879	92	74.77173913	125	122	1.024590164	0	0	4.012	6787
BP	796.7	1032	663.9	1.554450972	835	835	1	1	0	0.182	368.1
AGR(L)	150.7	6730.3	65.7	102.4398782	217	145	1.496551724	0	0	2.803	6664.5
BP	602.9	841.4	532.4	1.580390684	677	677	1	1	0	0.24	308.9
AGR	150.7	295.8	92	3.215217391	145	250	0.58	3	0	1.574	203.8
P	236.9	1327.8	111.7	11.88719785	217	243	0.893004115	0	23	0.394	1216
AGR	279.9	390.4	218.5	1.786727689	246	367	0.670299728	2	0	1.92	172
QK	279.9	3420.9	167.3	20.44769874	191	330	0.578787879	1	0	0.461	3253.6
BP	818.3	966.8	632.1	1.529504825	809	809	1	0	0	0.24	334.7
AGR	150.7	315.5	115	2.743478261	141	289	0.487889273	2	0	1.713	200.5
BP	753.7	999.1	552.2	1.809308222	762	762	1	0	0	0.23	447
BP	775.2	887.4	565.3	1.569785954	736	736	1	0	0	0.226	322.1
AGR	150.7	466.7	78.9	5.915082383	145	247	0.587044534	1	0	0.957	387.8
P	150.7	1433	111.7	12.82900627	158	151	1.046357616	0	20	0.557	1321.2
AGR	150.7	381.2	105.2	3.623574144	131	355	0.369014085	1	0	1.31	276.1
QK	193.8	5863.3	138	42.48768116	874	427	2.046838407	1	0	0.283	5725.3
BP(A)	839.8	907.1	604.7	1.500082686	743	743	1	0	0	0.302	302.4
BP(A)	1378.1	1610.4	1130.6	1.424376437	1361	1361	1	0	0	0.202	479.8
AGR	323	433.8	85.5	5.073684211	118	381	0.309711286	2	0	1.699	348.4
BP(A)	796.7	920.3	611.3	1.505480124	769	769	1	0	0	0.278	308.9
AGR(H)	344.5	460.1	138	3.334057971	230	414	0.555555556	0	0	1.2	322.1
AGR(H)	323	493	157.8	3.124207858	191	460	0.415217391	2	0	1.449	335.2
P	215.3	1301.5	151.2	8.607804233	809	802	1.00872818	0	30	0.456	1150.3
MODGR	279.9	453.6	157.8	2.874524715	243	362	0.671270718	4	0	1.707	295.8
BP(A)	646	874.2	545.6	1.602272727	618	822	0.751824818	1	0	0.25	328.7
BP	796.7	933.4	512.7	1.820557831	723	723	1	0	0	0.187	420.7
AGR(H)	344.5	493	98.6	5	145	454	0.31938326	1	0	1.147	394.4
BP(A)	710.6	1025.4	545.6	1.879398827	611	1012	0.603754941	1	0	0.24	479.8
AGR(H)	366.1	660	93	7.096774194	102	632	0.161392405	0	0	0.882	567.1
AGR(H)	387.6	543.8	74.4	7.309139785	88	488	0.180327869	1	0	0.808	469.4
SQ	2002.6	2133.4	1942.9	1.098049308	2045	2045	1	0	0	0.091	190.6
BP	796.7	1013.3	585.6	1.730362022	786	786	1	0	0	0.062	427.6
ASQ	969	1078	841.3	1.281350291	976	976	1	0	0	0.067	236.7
BP	710.6	813.4	613.5	1.325835371	711	711	1	0	0	0.072	199.9
ASQ	2110.3	2254.6	1906.2	1.182772007	2077	2077	1	0	0	0.071	348.4
BP	732.1	1064.9	578.4	1.841113416	828	828	1	0	0	0.072	486.4
ASQ	1894.9	1991.7	1748.5	1.139090649	1873	1873	1	0	0	0.096	243.2
BP	732.1	1202.9	539	2.231725417	868	868	1	0	0	0.082	663.9
AGR(H)	409.1	473.3	105.2	4.49904943	118	440	0.268181818	0	0	0.849	368.1
BP	882.9	1051.7	775.6	1.355982465	901	901	1	0	0	0.192	276.1
AGR(H)	323	473.3	111.7	4.237242614	158	401	0.394014963	2	0	0.677	361.5
BP	732.1	1281.8	644.2	1.989754735	677	1269	0.533490938	0	0	0.182	637.6
AC(H)	775.2	1385.1	529.9	2.613889413	632	1320	0.478787879	4	0	1.724	855.2
AC(H)	667.5	1134.1	539.2	2.103301187	586	1069	0.548175865	3	0	1.717	594.9
UC(S)	710.6	1431.6	650.7	2.200092208	697	1394	0.5	2	0	0.489	780.9
AS(S)	1141.3	3318.7	1078.3	3.077714922	1497	3254	0.46004917	2	0	0.475	2240.3
AS(S).AW	1055.1	2984	650.7	4.585830644	793	2919	0.27166838	2	0	0.55	2333.3
AS(S).AW	1119.7	5066.3	749.3	6.761377285	828	4996	0.165732586	4	0	0.808	4316.9
BE.TI(A)	646	9184.4	148.7	61.76462677	205	1255	0.163346614	2	33	4.228	9035.7
AS(S)	732.1	3114.1	613.5	5.07595762	651	3077	0.211569711	2	0	0.777	2500.6
AS(S).MODW	2153.3	4071.6	613.5	6.636674817	753	3783	0.199048374	5	0	0.706	3458.1
AS(S).AW	2174.9	3383.7	687.9	4.918883559	762	3328	0.228966346	2	0	0.76	2695.8
SC	839.8	10280.5	650.7	15.79913939	790	865	0.913294798	0	0	2.28	9629.8
LWP	387.6	539.2	130.1	4.144504228	139	502	0.27689243	0	0	0.21	409
P.LWP	323	1608.2	0	1608.2	46	1543	0.029812054	0	23	1.466	1608.2
P.LWP	258.4	1394.4	37.2	37.48387097	112	1320	0.084848485	0	30	1.222	1357.2
DGR(S)	86.1	158	13.9	11.36690647	116	42	2.761904762	0	0	0.346	144.1
P.LWP	301.5	1357.2	41.8	32.46889952	74	1297	0.057054742	0	27	1.496	1315.4
SC(L)	969	10806.4	624.5	17.30408327	690	920	0.75	0	0	2.601	10181.9
AS(S).DW	1507.3	4573.6	594.9	7.688014792	744	3309	0.224841342	4	0	2.158	3978.7
AS(S).NW	1248.9	3802	669.3	5.680561781	790	2975	0.265546218	2	0	0.998	3132.7
BE.TI(A)	689.1	7697	223.5	34.43847875	473	1880	0.251595745	2	33	4.905	7473.6
UC(S).AC(H)	1227.4	1544.7	677	2.2816839	776	1512	0.513227513	2	0	2.063	867.7
AC(H)	1464.3	1531.6	1314.6	1.165069223	1420	1413	1.004953999	3	0	1.262	216.9
UC(S).AC(H)	839.8	1492.1	782.2	1.907568397	848	1459	0.581220014	0	0	0.916	709.9
C(H)	1356.6	1472.4	1255.5	1.172759857	1308	1380	0.947826087	3	0	1.602	216.9
GW(L)	129.2	8422.1	65.7	128.1902588	907	118	7.686440678	0	0	5.768	8356.4
AS(S).NW	1248.9	5429.5	736.2	7.375033958	868	4075	0.213006135	5	0	1.622	4693.3
NC(H)	1313.5	1905.7	1208.5	1.576913529	1236	1552	0.796391753	2	0	1.862	697.2
GR(L)	129.2	9018.5	74.4	121.2163978	130	149	0.872483221	0	0	3.954	8944.1
BE	279.9	5837	204.5	28.54278729	325	279	1.164874552	0	30	2.841	5632.5
TI(A)	710.6	6581.5	460.1	14.30449902	605	1472	0.411005435	2	20	1.699	6121.4
GR.QK	129.2	3104.8	102.3	30.34995112	121	316	0.382911392	0	0	1.516	3002.6
AGR(H)(S)	215.3	464.8	139.4	3.334289813	163	428	0.380841121	0	0	0.71	325.4
P.GR	129.2	6389.2	98.6	64.79918864	164	263	0.623574144	0	0	2.633	6290.6
P.AGR	129.2	447	92	4.858695652	167	386	0.432642487	3	0	1.846	355
