Sound	PeakF	HighF	LowF	Range	StartF	EndF	Trend	Inflec	PRR	Dur	BW
MODGR	182.6	336.9	130.6	2.579632466	324	181	1.790055249	2	0	2.523	206.3
DGR	279.3	307.5	147.5	2.084745763	291	156	1.865384615	1	0	1.127	160
NGR(S)	247.1	503.2	108.4	4.642066421	130	473	0.274841438	2	0	0.62	394.8
NGR(S)	128.9	520.6	78.1	6.66581306	100	473	0.21141649	3	0	0.58	442.5
NGR(S)	107.4	477.2	73.7	6.474898236	91	442	0.205882353	3	0	0.596	403.5
NGR(S)	107.4	455.5	60.7	7.504118616	87	416	0.209134615	2	0	0.596	394.8
DGR	182.6	329.7	156.2	2.110755442	286	174	1.643678161	1	0	2.049	173.5
NGR(S)	150.4	412.1	65.1	6.330261137	108	395	0.273417722	2	0	0.637	347
NGR(S)	96.7	472.8	65.1	7.262672811	87	447	0.194630872	1	0	0.629	407.7
NGR(S)	128.9	507.5	60.7	8.360790774	82	482	0.170124481	2	0	0.604	446.8
NGR(S)	150.4	429.5	60.7	7.075782537	91	395	0.230379747	1	0	0.563	368.8
MODGR	290.1	347	138.8	2.5	321	169	1.899408284	4	0	3.135	208.2
DGR	290.1	347	160.5	2.161993769	334	200	1.67	3	0	1.502	186.5
GT.DGR(S)	236.3	477.2	26	18.35384615	39	460	0.084782609	0	0	0.571	451.2
GT.DGR(S)	290.1	520.6	30.4	17.125	30	508	0.059055118	0	0	0.555	490.2
NGR.GT	150.4	351.4	52.1	6.744721689	61	278	0.21942446	3	0	0.489	299.3
NGR.GT	118.2	331.3	52.1	6.358925144	95	248	0.383064516	3	0	0.473	279.2
NGR.GT	96.7	457	33.7	13.56083086	104	294	0.353741497	3	0	0.555	423.3
DGR	279.3	328.2	168.7	1.945465323	322	178	1.808988764	2	0	1.322	159.5
NGR.GT	279.3	536.8	58.3	9.20754717	95	227	0.418502203	3	0	0.506	478.5
NGR.GT	279.3	536.8	42.9	12.51282051	49	549	0.089253188	2	0	0.539	493.9
NGR.GT	279.3	730	39.9	18.29573935	77	718	0.10724234	2	0	0.49	690.1
NGR.GT	107.4	539.9	46	11.73695652	61	245	0.248979592	3	0	0.539	493.9
NGR.GT	236.3	496.9	24.5	20.28163265	31	239	0.129707113	2	0	0.555	472.4
MODGR(L)	311.6	346.6	85.9	4.034924331	304	166	1.831325301	4	0	3.494	260.7
DGR	290.1	322.1	141.1	2.282778172	291	172	1.691860465	2	0	1.627	181
GT.DGR(S)	247.1	533.7	101.2	5.273715415	150	491	0.305498982	2	0	0.67	432.5
NGR.GT	236.3	542.9	24.5	22.15918367	107	515	0.20776699	3	0	0.543	518.4
NGR.GT	333	552.1	46	12.00217391	55	525	0.104761905	3	0	0.496	506.1
NGR(S)	236.3	429.4	39.9	10.76190476	67	408	0.164215686	2	0	0.565	389.5
DGR	300.8	371.2	165.6	2.241545894	301	172	1.75	1	0	1.27	205.6
NGR.GT	214.9	429.4	55.2	7.778985507	77	405	0.190123457	2	0	0.601	374.2
NGR.GT	236.3	340.5	27.6	12.33695652	86	212	0.405660377	3	0	0.555	312.9
NGR.GT	236.3	518.4	82.8	6.260869565	104	503	0.206759443	2	0	0.578	435.6
NGR.GT	214.9	674.8	27.6	24.44927536	28	647	0.043276662	3	0	0.623	647.2
AM(L)	623.1	741.8	251.6	2.948330684	256	720	0.355555556	8	0	4.133	490.2
NGR.GT	139.7	711.4	4.3	165.4418605	95	677	0.140324963	3	0	0.612	707.1
GR(S).AW	1031.3	1914	171.8	11.14086147	190	1902	0.099894848	2	0	1.431	1742.2
GR.WOP	171.9	347	30.4	11.41447368	204	156	1.307692308	3	0	1.178	316.6
GR.WOP	171.9	329.7	26	12.68076923	143	39	3.666666667	1	0	1.27	303.7
GR(S).AW	1364.4	1978.1	177.9	11.11916807	200	1948	0.102669405	2	0	1.235	1800.2
GR.WOP	150.4	260.3	17.4	14.95977011	139	121	1.148760331	1	0	1.467	242.9
GR.WOP	161.1	264.6	17.4	15.20689655	152	26	5.846153846	1	0	1.698	247.2
GR(S).AW	1192.5	2012.8	164.8	12.21359223	213	2000	0.1065	3	0	1.213	1848
AM(L)	322.3	789.5	273.3	2.888766923	304	724	0.419889503	14	0	4.18	516.2
MODC(H)	1235.5	1735.2	1019.4	1.702177752	1067	1713	0.62288383	3	0	4.214	715.8
MODGR(L)	150.4	217.8	12.3	17.70731707	12	135	0.088888889	3	0	2.921	205.5
AGR(L)	161.1	219.1	49.9	4.390781563	59	108	0.546296296	2	0	4.641	169.2
AC(H)(L)	1074.3	1509.2	834.3	1.808941628	847	1497	0.565798263	3	0	4.653	674.9
AC(H)	1214	1834.3	1036.8	1.769193673	1074	1822	0.58946213	0	0	1.512	797.5
MODC(H)(L)	1106.5	1331.2	1012.2	1.315155108	1031	1331	0.77460556	12	0	4.78	319
WOP(L)	64.5	337.9	33.1	10.20845921	60	53	1.132075472	1	0	0.45	304.8
WOP(L)	64.5	288.2	29.8	9.67114094	60	63	0.952380952	0	0	0.387	258.4
AC(S)	1342.9	1377.5	848	1.624410377	871	1363	0.639031548	2	0	0.816	529.4
AC(L)	504.9	623.1	201.5	3.092307692	309	600	0.515	3	0	6.025	421.7
AC	408.2	674.7	281.1	2.400213447	300	656	0.457317073	2	0	2.204	393.6
C(H)	1214	1288.4	1172.9	1.098473868	1191	1294	0.920401855	2	0	2.459	115.5
AC(H)	1278.4	1610.5	1172.9	1.373092335	1301	1580	0.823417722	1	0	1.512	437.6
AGR	107.4	170.2	60.8	2.799342105	67	155	0.432258065	0	0	1.016	109.4
MODC(H)(L)	1235.5	1572.8	1095.8	1.435298412	1229	1556	0.789845758	6	0	5.75	477
C(H)(L)	1235.5	1482.8	1112.1	1.333333333	1173	1495	0.784615385	4	0	5.565	370.7
AGR(L)	64.5	139.8	60.8	2.299342105	64	122	0.524590164	0	0	4.124	79
AGR.EE	419	3008.1	73.1	41.1504788	103	120	0.858333333	1	0	6.073	2935
AGR	1289.2	3437.8	296.5	11.59460371	309	331	0.933534743	0	0	1.306	3141.3
EE	96.7	2947.9	94.5	31.19470899	198	103	1.922330097	0	20	5.894	2853.4
MODC(H)	1009.9	1306.4	859.5	1.519953461	885	1255	0.705179283	5	0	1.69	446.9
AGR	429.7	3119.8	151.9	20.53851218	170	219	0.776255708	0	0	1.159	2967.9
AC(H)	1074.3	1233.7	784	1.573596939	808	1173	0.688832055	2	0	1.045	449.7
MODGR	333	391.1	150.4	2.600398936	339	172	1.970930233	3	0	2.727	240.6
DGR	311.6	365.3	193.4	1.888831437	348	189	1.841269841	0	0	1.012	171.9
GT	182.6	782.1	90.2	8.670731707	421	421	1	0	0	0.172	691.9
BP	719.8	1156	605.9	1.907905595	885	885	1	0	0	0.231	550
GT	204.1	601.6	133.2	4.516516517	370	370	1	0	0	0.15	468.4
BP	1009.9	1119.4	739.1	1.514544717	954	954	1	0	0	0.162	380.3
GT	333	575.8	163.3	3.52602572	370	370	1	0	0	0.173	412.5
BP	891.7	1078.6	704.8	1.530363224	877	877	1	0	0	0.127	373.9
GT	333	498.5	180.5	2.761772853	344	344	1	0	0	0.196	318
BP	773.5	1078.6	653.2	1.651255358	872	870	1.002298851	0	0	0.15	425.4
GT	236.3	584.4	137.5	4.250181818	357	357	1	0	0	0.162	446.9
BP	859.5	936.8	644.6	1.453304375	795	795	1	0	0	0.104	292.2
GT	225.6	562.9	146.1	3.85284052	365	365	1	0	0	0.15	416.8
BP	795	945.4	747.7	1.26441086	847	847	1	0	0	0.115	197.7
DGR	311.6	369.6	171.9	2.15008726	344	176	1.954545455	0	0	1.143	197.7
GT	279.3	567.2	223.5	2.537807606	382	382	1	0	0	0.162	343.8
BP	795	1022.7	666.1	1.535355052	855	855	1	0	0	0.162	356.7
GT	279.3	562.9	111.7	5.039391226	339	339	1	0	0	0.277	451.2
BP	709	945.4	648.9	1.456927107	791	791	1	0	0	0.15	296.5
MODGR(L)	322.3	382.5	141.8	2.697461213	318	189	1.682539683	3	0	3.187	240.6
SQ	397.5	494.2	322.3	1.533354018	417	417	1	0	0	0.139	171.9
AM(L)	429.7	734.8	262.1	2.803510111	284	683	0.415812592	0	0	3.221	472.7
GR.AW	1439.6	3334.7	137.5	24.25236364	140	3294	0.042501518	2	0	1.074	3197.2
GR(S)	193.4	249.2	169.1	1.473684211	209	231	0.904761905	0	0	0.496	80.1
MODC(L)	397.5	578.5	356	1.625	360	561	0.64171123	8	0	5.149	222.5
NGR	376	400.5	209.2	1.914435946	307	196	1.566326531	3	0	1.709	191.4
UW	1536.3	2173.1	1208.3	1.798477199	1551	2101	0.738219895	1	0	0.981	964.8
GR(L)	150.4	200.8	108.4	1.852398524	118	185	0.637837838	0	0	3.695	92.5
AGR	204.1	232.7	86.1	2.702671312	92	153	0.60130719	1	0	1.559	146.7
AW(L)	1267.7	1849.1	1007.4	1.835517173	1071	1804	0.59368071	8	0	4.457	841.6
AW	1418.1	1956.7	1217.3	1.607409841	1298	1934	0.67114788	1	0	1.293	739.4
UC(H)	1052.8	1379.6	991.9	1.390866015	1127	1317	0.855732726	2	0	1.489	387.7
GW(L)	193.4	347.2	78.9	4.400506971	185	194	0.953608247	0	0	6.466	268.3
AGR.BE	171.9	1244.4	67.6	18.40828402	162	135	1.2	1	0	5.784	1176.7
P	193.4	1325.5	45.1	29.3902439	166	153	1.08496732	0	0	1.674	1280.4
AC(L)	472.7	752.4	376.2	2	402	733	0.548431105	1	0	5.415	376.2
AC	408.2	739.6	344.3	2.148126634	370	695	0.532374101	0	0	1.316	395.3
GR.UW	171.9	2703.5	133.9	20.19044063	147	2665	0.055159475	2	0	1.663	2569.6
WOP(L)	118.2	477.9	18	26.55	162	41	3.951219512	1	0	1.87	459.9
GR(S).UW	182.6	1857.5	135.3	13.72875092	189	1722	0.109756098	2	0	1.305	1722.3
WOP(L)	53.7	450.9	9	50.1	90	428	0.210280374	1	0	1.293	441.8
DGR(S)	43	90.2	9	10.02222222	68	32	2.125	0	0	0.635	81.2
UC(H)	1117.3	1843.4	1046.6	1.761322377	1121	1756	0.638382688	4	0	2.466	796.8
MODC(L)	343.8	844.1	337.6	2.500296209	358	810	0.441975309	5	0	5.78	506.4
C	419	547	351.1	1.557960695	520	506	1.027667984	1	0	1.78	195.8
BA(P)(L)	64.5	280.2	43.9	6.382687927	74	267	0.277153558	1	0	0.825	236.3
BA(P)(L)	64.5	334.2	43.9	7.612756264	64	307	0.208469055	0	0	0.963	290.4
GR	139.7	173.1	88.4	1.958144796	158	151	1.046357616	0	0	0.931	84.7
AM(L)	644.6	712.4	263.1	2.707715697	334	687	0.486171761	1	0	4.849	449.3
GR.NW	182.6	3004.4	118	25.46101695	182	2678	0.067961165	2	0	1.404	2886.4
GR.AW(L)	171.9	1514.7	115.5	13.11428571	173	1502	0.11517976	12	0	4.36	1399.2
GR.MODW(L)	204.1	1441.8	169.3	8.516243355	200	1432	0.139664804	5	0	4.457	1272.5
C(L)	386.8	549	338.7	1.620903454	400	518	0.772200772	4	0	4.526	210.4
GR.AS	182.6	1452.1	123.1	11.79610073	190	1429	0.132960112	2	0	1.178	1328.9
GR.DS	204.1	1457.2	153.9	9.46848603	185	1308	0.141437309	4	0	1.813	1303.3
GR.AS	193.4	1565	148.8	10.51747312	216	1467	0.147239264	3	0	1.247	1416.2
GR.NS	204.1	1477.7	164.2	8.999390987	74	1396	0.053008596	4	0	1.57	1313.6
GR.UW	182.6	1447	138.5	10.44765343	195	1421	0.137227305	2	0	1.201	1308.4
AGW	139.7	3519.9	112.9	31.17714792	139.7	139.7	1	0	0	1.316	3407
MODGR(S)	182.6	257.5	72.6	3.546831956	132	66	2	4	0	1.385	184.9
MODGR(S)	161.1	264.1	99.1	2.664984864	112	251	0.446215139	2	0	1.547	165.1
GR.UW	182.6	4388.2	145.3	30.20096352	178	4329	0.041118041	2	0	1.097	4242.9
MM(L)	376	770.4	121.4	6.345963756	187	677	0.276218612	10	0	4.122	649
MODGR(S).WOP	193.4	368.9	9.3	39.66666667	79	33	2.393939394	4	0	1.628	359.5
MODGR(S).WOP	193.4	270.8	14	19.34285714	79	42	1.880952381	4	0	1.72	256.8
GR.MODW	182.6	3866.2	121.4	31.84678748	187	3810	0.049081365	3	0	1.478	3744.8
GR.W	204.1	5560.1	132.1	42.09008327	172	5534	0.031080593	1	0	0.831	5428
P.AGR(L)	85.9	2121.7	53.5	39.65794393	76	89	0.853932584	0	0	3.461	2068.3
P.AGR(L)	85.9	1769.6	62.4	28.35897436	88	154	0.571428571	0	0	3.187	1707.2
GR.AC	182.6	1562.3	142	11.00211268	159	1541	0.103179753	2	0	1.224	1420.3
BE	161.1	522.6	44.3	11.79683973	124	63	1.968253968	0	0	4.866	478.3
M	430.7	483.1	285.3	1.693305293	442	3223	0.137139311	3	0	2.224	197.9
AGR(S).MODS	1248.9	1431	124.2	11.52173913	152	502	0.302788845	5	0	1.424	1306.8
WOP	64.6	524.6	32.2	16.29192547	106	502	0.211155378	1	0	0.453	492.4
WOP	86.1	566	36.8	15.38043478	46	543	0.084714549	1	0	0.469	529.2
AGR(S).MODS	1162.8	1311.4	133.4	9.830584708	147	538	0.273234201	3	0	1.238	1178
WOP	86.1	589	50.6	11.64031621	97	571	0.169877408	2	0	0.461	538.4
WOP	323	589	41.4	14.22705314	133	557	0.238779174	2	0	0.421	547.6
AGR(S).S	1292	1380.4	105.8	13.04725898	133	469	0.28358209	2	0	1.464	1274.6
WOP	150.7	579.8	46	12.60434783	106	566	0.187279152	2	0	0.485	533.8
WOP	323	579.8	87.4	6.633867277	101	522	0.19348659	2	0	0.493	492.4
AGR(S).MODS	818.3	1380.4	87.4	15.79405034	97	552	0.175724638	5	0	2.103	1293
M	452.2	524.6	377.3	1.390405513	405	423	0.957446809	5	0	1.909	147.2
AM	516.8	832.9	276.1	3.01666063	276	713	0.387096774	1	0	1.173	556.8
AM	452.2	828.3	165.7	4.998792999	189	768	0.24609375	3	0	1.278	662.6
AM(S)	495.3	722.4	317.5	2.275275591	345	699	0.493562232	1	0	0.534	404.9
AM	516.8	727	381.9	1.903639696	405	672	0.602678571	2	0	0.882	345.1
MM	581.4	920.3	441.7	2.083540865	534	686	0.778425656	6	0	1.343	478.5
AM	495.3	662.6	271.5	2.440515654	294	607	0.484349259	3	0	0.914	391.1
AM(P)	495.3	943.3	115	8.202608696	124	934	0.132762313	2	0	0.631	828.3
AM(P)	473.7	855.9	207.1	4.132786094	235	837	0.280764636	2	0	0.922	648.8
TI(A)	473.7	589	271.5	2.169429098	308	548	0.562043796	0	0	0.829	317.5
M	452.2	533.6	357.9	1.490919251	508	358	1.418994413	0	0	1.614	175.7
TI(A)	366.1	533.6	253.8	2.102442868	312	502	0.621513944	2	0	0.801	279.8
TI(A)	452.2	572.7	136.7	4.189465984	182	587	0.310051107	0	27	1.039	436
TI(A)	452.2	605.2	156.2	3.874519846	195	576	0.338541667	2	23	0.735	449
TI(A)	430.7	593.6	202.5	2.931358025	327	571	0.57267951	2	20	0.875	391.1
TI(A)	452.2	593.6	248.5	2.388732394	285	577	0.493934142	4	0	0.894	345.1
TI(A)	344.5	575.2	188.7	3.048224695	198	566	0.349823322	0	0	0.683	386.5
TI(A)	430.7	1472.5	174.9	8.419096627	184	497	0.370221328	0	30	1.238	1297.6
M	430.7	483.1	335.9	1.438225662	400	364	1.098901099	7	0	1.601	147.2
P(A)	344.5	1334.4	82.8	16.11594203	147	469	0.313432836	0	37	1.064	1251.6
P(A)	129.2	1249.4	55.2	22.63405797	110	433	0.25404157	0	30	1.004	1194.2
P(A)	129.2	1177.8	59.8	19.69565217	120	667	0.179910045	0	27	0.635	1118
P(A)	236.9	1034.7	59.8	17.30267559	110	497	0.221327968	0	30	0.878	974.9
P(A)	301.5	1255.9	69	18.20144928	92	446	0.206278027	0	30	0.669	1186.9
P(A)	107.7	1113.5	50.6	22.00592885	106	405	0.261728395	0	27	0.595	1062.9
M	409.1	487.8	354.3	1.376799323	437	477	0.916142558	0	4	1.836	133.4
AGR(S).DW	1571.9	1624.3	101.2	16.05039526	124	690	0.179710145	1	0	0.768	1523.1
BA	236.9	911.1	46	19.80652174	488	488	1	0	0	0.178	865.1
BA	344.5	575.2	55.2	10.42028986	322	322	1	0	0	0.138	520
BA	215.3	635	41.4	15.33816425	341	341	1	0	0	0.178	593.6
AGR(S).DW	1292	1490.9	78.2	19.06521739	110	755	0.145695364	1	0	0.849	1412.6
BA	236.9	575.2	41.4	13.89371981	299	299	1	0	0	0.194	533.8
BA	107.7	1173.4	69	17.0057971	626	626	1	0	0	0.178	1104.3
BA	86.1	625.8	46	13.60434783	341	341	1	0	0	0.226	579.8
AGR(D).DW	1335.1	1389.6	96.6	14.38509317	101	1362	0.074155653	3	0	1.003	1293
BA(H)	258.4	713.2	50.6	14.09486166	373	373	1	0	0	0.154	662.6
BA(H)	129.2	648.8	82.8	7.835748792	364	364	1	0	0	0.291	566
BA(H)	344.5	819.1	92	8.90326087	442	442	1	0	0	0.186	727
AGR(S).MODW	1636.5	1739.3	128.8	13.50388199	147	787	0.18678526	3	0	1.278	1610.5
AGR(S).MODW	1442.7	1503.2	97.6	15.40163934	117	781	0.149807939	3	0	1.43	1405.6
BA(H)	495.3	1509.7	169.2	8.922576832	852	852	1	0	0	0.16	1340.5
C(H)	1227.4	1353.5	1138.8	1.188531788	1236	1288	0.959627329	2	0	0.629	214.7
AGR(S).W	1399.7	1451.1	130.1	11.1537279	169	1243	0.135961384	4	0	0.979	1321
C(H)	1292	1360	1203.9	1.129661932	1275	1314	0.970319635	0	0	1.1	156.2
MM	473.7	543	403.5	1.345724907	492	474	1.037974684	0	0	2.539	139.5
AM	581.4	786.8	510.8	1.540328896	548	640	0.85625	4	0	2.524	276.1
AM	646	777.6	377.3	2.060959449	410	704	0.582386364	2	0	1.828	400.3
MM(L)	602.9	694.8	312.9	2.220517737	345	667	0.517241379	4	0	4.886	381.9
MM(L)	516.8	579.8	441.7	1.312655649	488	534	0.913857678	8	0	3.106	138
E	344.5	460.1	303.7	1.51498189	391	391	1	1	0	0.138	156.4
E	430.7	510.8	395.7	1.290876927	446	446	1	1	0	0.186	115
E	301.5	370.9	182.2	2.035675082	283	283	1	0	0	0.085	188.7
E	236.9	364.4	195.2	1.866803279	351	351	1	1	0	0.15	169.2
E	258.4	403.5	214.7	1.879366558	407	312	1.304487179	1	0	0.133	188.7
E	279.9	361.2	198.5	1.819647355	355	286	1.241258741	1	0	0.129	162.7
E	258.4	361.2	224.5	1.608908686	342	316	1.082278481	1	0	0.117	136.7
E	258.4	383.9	237.5	1.616421053	374	251	1.490039841	1	0	0.133	146.4
E	258.4	393.7	221.3	1.779032987	374	374	1	1	0	0.105	172.4
E	258.4	322.1	208.2	1.547070125	273	273	1	0	0	0.109	113.9
E	258.4	377.4	205	1.84097561	345	267	1.292134831	1	0	0.089	172.4
E	258.4	370.9	234.3	1.583013231	342	273	1.252747253	1	0	0.117	136.7
E	258.4	364.4	205	1.777560976	348	299	1.163879599	1	0	0.15	159.4
E	258.4	377.4	224.5	1.681069042	368	254	1.448818898	1	0	0.129	152.9
E	193.8	344.9	156.2	2.208066581	338	286	1.181818182	1	0	0.183	188.7
E	215.3	377.4	172.4	2.189095128	358	244	1.467213115	1	0	0.109	205
E	236.9	370.9	182.2	2.035675082	361	231	1.562770563	1	0	0.132	188.7
E	279.9	357.9	211.5	1.692198582	348	342	1.01754386	1	0	0.154	146.4
E	258.4	380.7	218	1.746330275	355	286	1.241258741	1	0	0.126	162.7
E	258.4	364.4	214.7	1.69725198	342	355	0.963380282	1	0	0.137	149.7
E	236.9	380.7	205	1.857073171	368	345	1.066666667	1	0	0.114	175.7
E	258.4	374.2	214.7	1.742897066	361	273	1.322344322	1	0	0.132	159.4
E	258.4	390.4	205	1.904390244	371	286	1.297202797	1	0	0.132	185.5
E	258.4	374.2	224.5	1.666815145	290	290	1	1	0	0.143	149.7
E	236.9	367.7	208.2	1.766090298	355	264	1.34469697	1	0	0.126	159.4
E	258.4	364.4	224.5	1.623162584	348	280	1.242857143	1	0	0.154	139.9
E	236.9	354.7	205	1.730243902	338	192	1.760416667	0	0	0.126	149.7
E	258.4	374.2	198.5	1.885138539	348	267	1.303370787	0	0	0.114	175.7
E	258.4	359.5	213.1	1.687001408	355	270	1.314814815	0	0	0.109	146.4
E	236.9	348.1	198.5	1.753652393	335	325	1.030769231	1	0	0.132	149.7
E	236.9	322.1	192	1.677604167	316	293	1.078498294	1	0	0.149	130.1
GR(S).DW	1205.9	1495.5	138	10.83695652	147	773	0.190168176	3	0	0.963	1357.4
M	495.3	552.2	404.9	1.363793529	469	451	1.039911308	4	0	2.334	147.2
SC.E	710.6	1730.1	69	25.07391304	124	97	1.278350515	0	0	0.534	1661.1
SC.E	1012.1	1817.6	96.6	18.81573499	1012	1012	1	0	0	0.146	1720.9
SC.E	796.7	2199.5	101.2	21.73418972	796	796	1	0	0	0.194	2098.2
SC.E	775.2	2199.5	82.8	26.56400966	775	775	1	0	0	0.315	2116.7
SC.E	689.1	1483.7	78.1	18.99743918	689	689	1	0	0	0.162	1405.6
SC.E	689.1	2980.4	78.1	38.16133163	689	689	1	0	0	0.692	2902.3
SC.E	882.9	2915.3	58.6	49.74914676	882	882	1	0	0	0.562	2856.7
SC.E	904.4	2980.4	65.1	45.78187404	904	904	1	0	0	0.607	2915.3
SC.E	882.9	2993.4	65.1	45.98156682	882	882	1	0	0	0.736	2928.3
SC.E	107.7	2850.2	65.1	43.78187404	107	107	1	0	0	0.501	2785.2
SC.E	839.8	2863.3	78.1	36.66197183	839	839	1	0	0	0.898	2785.2
M	258.4	308.3	193.3	1.59493016	267	262	1.019083969	0	0	1.893	115
SC	1033.6	3065	84.6	36.22931442	1009	1328	0.759789157	0	0	0.922	2980.4
SC	1313.5	3149.6	91.1	34.57299671	130	163	0.797546012	0	0	0.849	3058.5
SC	1313.5	3110.6	73.6	42.26358696	1767	815	2.16809816	0	0	1.569	3036.9
M	430.7	524.6	358.9	1.461688493	428	419	1.021479714	1	0	1.626	165.7
AGR(S).DW	193.8	4012.4	128.8	31.15217391	138	3466	0.039815349	3	0	1.181	3883.6
WOP	64.6	570.6	46	12.40434783	110	543	0.202578269	1	0	0.404	524.6
WOP	86.1	1039.9	46	22.60652174	153	1008	0.151785714	1	0	0.413	993.9
AGR(S).DW	1335.1	1500.1	138	10.87028986	166	617	0.26904376	1	0	1.343	1362
WOP	86.1	561.4	36.8	15.25543478	92	1482	0.062078273	1	0	0.372	524.6
WOP	193.8	593.6	32.2	18.43478261	78	492	0.158536585	1	0	0.51	561.4
AGR(S).DW	1507.3	1582.9	133.4	11.86581709	170	994	0.171026157	1	0	1.197	1449.4
WOP	473.7	685.6	59.8	11.46488294	69	644	0.107142857	1	0	0.501	625.8
WOP	323	570.6	41.4	13.7826087	97	534	0.18164794	1	0	0.469	529.2
AGR(S).DW	1485.8	1541.5	138	11.17028986	161	1173	0.137254902	3	0	1.181	1403.4
WOP	473.7	570.6	55.2	10.33695652	106	534	0.198501873	1	0	0.429	515.4
WOP	86.1	579.8	64.4	9.00310559	110	561	0.196078431	1	0	0.396	515.4
AGR(S).DS	1335.1	1587.8	143.2	11.08798883	169	696	0.242816092	3	0	1.108	1444.6
P(A)(S)	344.5	3748.3	221.3	16.93764121	338	508	0.665354331	0	30	0.501	3527
BE	344.5	3625.9	147.2	24.63247283	331	368	0.899456522	0	17	3.729	3478.7
AGR(S).DS	409.1	1451.1	84.6	17.15248227	176	729	0.241426612	1	0	0.967	1366.6
AM(S)	559.9	800.4	397	2.016120907	429	768	0.55859375	0	0	0.583	403.5
DGW	624.5	1658	564.1	2.939195178	658	590	1.115254237	0	0	1.695	1093.9
WP	301.5	864.2	193.4	4.468459152	199	852	0.233568075	1	0	0.175	670.8
DW	2519.4	2592.6	1939.9	1.336460642	2478	1976	1.254048583	4	0	0.865	652.7
MODW	1873.4	2230	1710.3	1.303864819	2006	1813	1.106453392	4	0	0.813	519.7
WP	344.5	1015.3	175.3	5.791785511	187	985	0.189847716	0	0	0.139	840
MODW	2454.8	2526.1	1716.3	1.471828934	1765	2170	0.813364055	4	0	0.47	809.8
DW	1830.3	1915.7	1553.1	1.233468547	1915	1547	1.237879767	2	0	0.568	362.6
DGW	1012.1	3118.3	507.6	6.14322301	1414	1378	1.026124819	1	0	1.811	2610.7
NW	3660.6	3940.2	3202.9	1.230197633	3372	3505	0.962054208	2	0	0.797	737.3
UC(S).MODW	710.6	1365.8	646.6	2.112279616	780	1342	0.581222057	4	0	2.788	719.2
C(S)	818.3	912.5	767.5	1.188925081	894	834	1.071942446	0	0	0.271	145
AW	2519.4	2589.6	1546.9	1.674057793	1538	2538	0.605988968	4	0	1.573	1042.7
MODW	2497.9	2581	1931.5	1.33626715	2290	2384	0.96057047	6	0	2.534	649.5
DC(S)	753.7	923	649.5	1.421093149	940	769	1.22236671	0	0	0.257	273.5
W	2476.3	2606.7	2239.2	1.164121115	2308	2407	0.958869963	4	0	1.276	367.5
BE	301.5	2767.8	133	20.81052632	230	236	0.974576271	1	30	2.945	2634.8
AC(S).MODW	2411.7	2659.1	942.8	2.820428511	991	2659	0.372696502	3	0	1.687	1716.3
C(S)	753.7	815.8	695	1.17381295	774	774	1	0	0	0.227	120.8
AW	2540.9	2634.9	2217.9	1.188015691	1294	2550	0.50745098	2	0	1.032	417
P	301.5	1709.3	170.9	10.00175541	188	231	0.813852814	1	30	2.211	1538.4
W(L)	2562.5	2700.7	2273.4	1.187956365	2282	2667	0.855643045	3	0	1.464	427.3
C(S)	753.7	811.9	675.2	1.202458531	778	778	1	0	0	0.186	136.7
UW	2390.2	2538.3	2264.8	1.120761215	2513	2427	1.035434693	1	0	0.668	273.5
MODW(L)	2540.9	2683.2	2223.9	1.206529071	2278	2594	0.878180416	6	0	2.019	459.3
C(H)(S)	839.8	905.9	760.6	1.191033395	855	786	1.08778626	0	0	0.216	145.3
AC(H)	775.2	1145.2	692.3	1.654196158	812	1145	0.709170306	1	0	0.531	452.9
W(L)	2540.9	2675.1	2410.1	1.109953944	2487	2590	0.96023166	4	0	1.582	265
DC(S)	732.1	871.7	666.6	1.307680768	812	667	1.217391304	0	0	0.21	205.1
C(S)	689.1	820.5	658.1	1.246771007	820	778	1.053984576	1	0	0.229	162.4
DGW(L)	387.6	1683.7	196.6	8.564089522	504	376	1.340425532	0	0	2.632	1487.1
UC(S).C(H)	732.1	1196.5	666.6	1.794929493	761	1128	0.67464539	2	0	1.829	529.9
UC(H)	775.2	1076.9	666.6	1.615511551	846	1008	0.839285714	1	0	0.599	410.3
UC(H)	667.5	974.3	615.3	1.583455225	974	949	1.026343519	1	0	0.816	359
MODC	667.5	965.8	521.3	1.852676002	949	590	1.608474576	2	0	1.069	444.5
DGR	409.1	1017	187.3	5.429791778	897	359	2.498607242	0	0	1.322	829.7
DSQ.MODC	689.1	1414.1	519.7	2.720992881	1348	550	2.450909091	3	0	1.11	894.4
GR(S)	150.7	211.5	96.7	2.187176836	163	163	1	0	0	0.17	114.8
NSQ	1055.1	1130.1	912.5	1.238465753	949	985	0.963451777	1	0	0.21	217.6
MODC	753.7	979	513.7	1.905781585	967	538	1.79739777	2	0	0.857	465.3
GR(S)	279.9	332.4	181.3	1.833425262	199	266	0.748120301	1	0	0.192	151.1
DSQ.MODC	689.1	1402	308.2	4.54899416	1148	375	3.061333333	3	0	1.087	1093.8
NSQ	1636.5	2006.4	1426.2	1.406815313	1523	1559	0.976908275	1	0	0.154	580.2
MODC	710.6	1015.3	314.3	3.230353166	979	351	2.789173789	2	0	1.656	701
DGR	172.3	253.8	84.6	3	242	85	2.847058824	0	0	1.075	169.2
GR(S).SQ.MODC	646	1317.4	145	9.085517241	175	447	0.391498881	5	0	1.966	1172.4
