songid,bout_id,time,source,date,CNN_prediction,pulse_type,IPI,center_Freq,peak_Freq,E_peak_Freq,6dB_left_Freq,6dB_right_Freq,E_background,SNR,bandwidth,pulse_type_GMM_proba,totype
6,0,5.359999999999999,boussole,2008-10-15 12:31:23.160000000,0.17530495,A,36.352000000000004,21.13305339442246,21.259064238184777,0.0009734266872356514,19.060481807442105,23.20562498140282,0.00014420724178803568,8.293161782879203,4.145143173960715,0.9999992757363251,AA
6,0,41.712,boussole,2008-10-15 12:31:59.512000000,0.22653297,A,12.512,21.17774104737242,21.333398975893836,0.001076053846246455,19.187692571990713,23.167789522754134,0.0001284745622470899,9.230168575936913,3.9800969507634214,0.9999996559896838,AA
6,0,54.224000000000004,boussole,2008-10-15 12:32:12.024000000,0.17348339,A,,20.711646950233387,20.266542651545866,0.0007968431762304794,18.788479887597326,22.63481401286945,0.0001263790738882095,7.996976893996372,3.8463341252721257,0.9995919580223271,
57,1,5.328000000000003,boussole,2008-10-16 06:30:42.968000000,0.22902158,A,12.896,20.09463067006309,20.22659803021574,0.00019295856706456237,18.496386403306552,21.692874936819628,4.7819152815719264e-05,6.058621876409841,3.196488533513076,0.6829356088675091,AA
57,1,18.224000000000004,boussole,2008-10-16 06:30:55.864000000,0.227448,A,32.896,21.504001020657384,21.470540969343585,0.0002711911306687786,19.693012612939675,23.31498942837509,3.8822503407888795e-05,8.441919450358903,3.6219768154354135,0.9999999990173591,AB
57,1,51.120000000000005,boussole,2008-10-16 06:31:28.760000000,0.2342053,B,23.200000000000003,19.880764902588915,19.987206286782804,0.00033511419309236443,18.2889141940078,21.472615611170028,4.6043045991033796e-05,8.62028775114918,3.1837014171622293,0.7409420125817799,BA
57,1,74.32,boussole,2008-10-16 06:31:51.960000000,0.27938995,A,24.928,20.355316765588388,20.420525756507494,0.00033588765233616885,18.357683828132043,22.352949703044732,4.5543233090337424e-05,8.677701811971485,3.9952658749126897,0.9681902935666851,AA
57,1,99.248,boussole,2008-10-16 06:32:16.888000000,0.39483702,A,,20.9981055629429,20.609489781253384,0.00029205407339038045,18.54471209495378,23.45149903093202,4.264404193723562e-05,8.356049061152543,4.906786935978239,0.9999936977536447,
98,1,5.424000000000007,boussole,2008-10-16 14:31:29.464000000,0.1561238,A,81.85600000000001,20.07490739916892,20.017339641719897,0.00019186918550584382,18.24185031375682,21.907964484581022,3.780803726065656e-05,7.054210996608539,3.6661141708242013,0.6425027014061607,AA
98,1,87.28000000000002,boussole,2008-10-16 14:32:51.320000000,0.36041963,A,15.584000000000001,20.445214773818144,20.40732205196174,0.0003874873219741381,18.819674906845716,22.070754640790568,3.1833412850955115e-05,10.853742958837625,3.2510797339448523,0.988330598242813,AA
98,1,102.86399999999999,boussole,2008-10-16 14:33:06.904000000,0.15234454,A,,20.194963380914487,20.24080746310313,0.00023924597296415398,18.604495214750344,21.78543154707863,3.335367775279717e-05,8.557009078812898,3.1809363323282867,0.8494626272972204,
114,1,5.295999999999999,boussole,2008-10-16 18:00:28.056000000,0.18168001,B,28.448,19.711668324134912,19.748071475579096,0.00017136340443598693,17.73719420553483,21.686142442734994,2.217221740814878e-05,8.881089532127413,3.948948237200163,0.9056989906505774,BB
114,1,33.744,boussole,2008-10-16 18:00:56.504000000,0.6531226,B,48.992000000000004,19.38650084821806,19.770637267463783,0.00031242806042063254,17.54562005523277,21.227381641203348,4.082594614976993e-05,8.838137743010355,3.681761585970577,0.9825386868246597,BA
114,1,82.736,boussole,2008-10-16 18:01:45.496000000,0.15789783,A,87.744,20.028277689506943,20.005395961717173,0.0002619724710854367,18.269544512015564,21.787010866998322,3.617493915343252e-05,8.598478473440878,3.5174663549827585,0.542151657017732,AA
114,1,170.48000000000002,boussole,2008-10-16 18:03:13.240000000,0.20894465,A,,20.010207212541367,19.961416556817287,0.00029683285207134324,18.29775532948764,21.722659095595095,2.941669140036756e-05,10.039181404511323,3.4249037661074553,0.5028500177096399,
127,1,5.4879999999999995,boussole,2008-10-16 19:46:37.208000000,0.17531559,B,15.168000000000001,19.638051356373126,19.69875156933581,0.00016189694921914916,17.298280580511666,21.97782213223459,2.4479437612910224e-05,8.204372288303993,4.679541551722924,0.9386104837973536,BA
127,1,20.656000000000006,boussole,2008-10-16 19:46:52.376000000,0.3495975,A,111.84,20.75777617194592,20.814533107462537,0.00027085934797290925,18.98119777231936,22.534354571572486,3.329489780247745e-05,9.10366142494523,3.553156799253127,0.9997832720104676,AA
127,1,132.49599999999998,boussole,2008-10-16 19:48:44.216000000,0.24479815,A,48.384,20.184010351561227,20.298927346926973,0.0002904503015305163,18.363667037457343,22.004353665665114,3.2550338238832876e-05,9.505163258826673,3.640686628207771,0.8350479344207707,AA
127,1,180.88000000000002,boussole,2008-10-16 19:49:32.600000000,0.30014446,A,15.360000000000001,20.46204786763267,20.395968895328686,0.0002889694200491473,18.42165441199027,22.502441323275065,2.644066779358805e-05,10.38579466706029,4.080786911284793,0.9904057378887432,AA
127,1,196.23999999999998,boussole,2008-10-16 19:49:47.960000000,0.54419106,A,,20.74286661593174,20.705380385290432,0.0003419182970545372,18.889625037450415,22.596108194413063,3.7177603485725246e-05,9.636409506155308,3.7064831569626477,0.9997336565056136,
131,1,5.424000000000007,boussole,2008-10-16 20:31:41.304000000,0.16515644,A,32.287968750000005,21.00210889316721,20.75741284605175,0.0003138882763077627,19.007875162406943,22.996342623927482,2.936822152807529e-05,10.288974477078149,3.988467461520539,0.9999940787028008,AA
