calltype,start_time,end_time,pause,SNR
I38.1,428.69,429.24,0.38,12
I11.4,429.62,430.83,0.29,29
I69,431.12,433.61,22.39,22
I38.1,456,456.58,0.22,16
I39,456.8,457.44,0.26,12
I69,457.7,459.71,88.29,13
I38.1,548,548.7,0.22,14
I11.4,548.92,550.11,0.21,25
I43.9,550.32,552,30.74,18
I43.5,582.74,583.8,2.89,19
I38.1,586.69,587.63,0.32,NA
I11.4,587.95,589.29,142.41,12
I38.1,731.7,732.29,0.43,10
I11.4,732.72,733.82,0.49,33
I69,734.31,735.83,3.06,13
I11.4,738.89,740.07,28.61,27
I11.4,768.68,769.85,19.55,12
I38.1,789.4,789.83,0.44,NA
I11.4,790.27,791.1,13.26,10
I38.1,804.36,804.69,0.49,NA
I11.4,805.18,806.1,11.83,17
I11.4,817.93,818.93,15.07,NA
I38.1,834,834.64,0.36,NA
I11.4,835,836.09,11.04,10
I38.1,847.13,847.63,0.73,19
I11.4,848.36,849.38,0.7,22
I11.4,850.08,851.05,6.69,17
I38.1,857.74,858.4,0.7,24
I11.4,859.1,860.27,4.37,37
I38.1,864.64,865.31,0.34,23
I11.4,865.65,866.76,0.34,41
I69,867.1,868.81,2.09,16
I38.1,870.9,871.5,0.5,11
I11.4,872,873,0.07,27
I11.4,873.07,874.24,-0.55,NA
I69,873.69,875.18,4.95,24
I38.1,880.13,880.5,0.85,31
I11.4,881.35,882.37,0.55,21
I69,882.92,884.12,16.7,15
I38.1,900.82,901.45,0.23,15
I39,901.68,902.16,0.24,16
I69,902.4,903.65,-0.65,12
I38.1,903,903.5,0.21,NA
I39,903.71,904.45,0.55,15
I69,905,906.12,1.61,NA
I38.1,907.73,908.31,0.42,11
I11.4,908.73,909.81,27.25,25
I11.4,937.06,938,7.5,NA
I11.4,945.5,946.44,11,NA
I38.1,957.44,958,0.25,NA
I39,958.25,958.83,0.32,NA
I69,959.15,960.28,0.22,NA
I38.1,960.5,961.1,0.46,NA
I11.4,961.56,962.64,-0.36,22
I11.5,962.28,963.73,15.61,14
I38.1,979.34,980.15,0.35,NA
I11.4,980.5,981.63,2.87,12
I11.4,984.5,985.5,67.58,NA
I39,1053.08,1053.91,2.85,NA
I11.4,1056.76,1057.89,8.11,NA
I39,1066,1066.87,4.02,NA
I11.4,1070.89,1072.11,0.6,NA
I38.1,1072.71,1073.27,0.16,NA
I39,1073.43,1074.14,0.36,NA
I11.4,1074.5,1076.36,-1.55,12
I11.4,1074.81,1076,0.5,12
I11.4,1076.5,1077.65,6.73,20
I11.4,1084.38,1085.42,2.91,NA
I38.1,1088.33,1088.88,0.38,NA
I11.4,1089.26,1090.34,21.31,NA
I11.4,1111.65,1112.72,4.01,NA
I11.4,1116.73,1117.91,2.45,NA
I11.4,1120.36,1121.6,47.77,NA
I11.4,1169.37,1170.66,10.15,NA
I38.1,1180.81,1181.5,0.28,NA
I11.4,1181.78,1182.78,0.46,NA
I69,1183.24,1184.83,4.08,NA
I11.4,1188.91,1190.1,0.4,14
I69,1190.5,1191.79,321.01,13
I11.4,1512.8,1513.87,4.13,27
I11.4,1518,1518.93,14.34,25
I37.2,1533.27,1534.5,2.5,28
I11.5,1537,1538.38,70,24
I37.2,1608.38,1609.5,927.3,26
I11.4,463.8,464.79,4.58,NA
I38.1,469.37,469.87,0.39,NA
I11.4,470.26,471.36,0.64,16
I69,472,473.65,-0.15,NA
I11.4,474.44,475.37,18.94,13
I11.4,494.31,496.12,5.26,11
I69,501.38,503.06,0.94,NA
I11.4,504,505.1,0.4,12
I69,505.5,507.39,38.4,14
I38.1,545.79,546.42,0.33,NA
I11.4,546.75,547.81,0.5,23
I69,548.31,549.58,2.07,12
I38.1,551.65,552.38,0.25,NA
I11.4,552.63,553.82,0.13,16
I69,553.95,556,26.92,11
I11.4,582.92,584,3.14,NA
I38.1,587.14,587.65,0.14,NA
I39,587.79,588.3,0.46,10
I69,588.76,590.56,11.94,11
I38.1,602.5,602.81,0.39,NA
I11.4,603.2,604.19,16.57,10
I38.1,620.76,621.3,0.2,NA
I11.4,621.5,622.5,0.35,21
I69,622.85,624.27,24.11,10
I38.1,648.38,648.9,0.3,NA
I11.4,649.2,650.22,0.35,13
I69,650.57,652.19,88.81,10
I11.4,741,742,29.57,13
I11.4,771.57,773.34,38.58,19
I39,811.92,812.5,0.4,19
I69,812.9,814.6,73.52,20
I38.1,888.12,888.8,0.2,19
I11.4,889,890.27,2.61,34
I69,892.88,894.1,205.19,15
I11.5,1099.29,1101.32,0.49,31
I11.4,1101.81,1103.22,13.64,34
I11.4,1116.86,1118,0.37,27
I69,1118.37,1120.22,22.41,33
I38.1,1142.63,1143.31,0.34,30
I11.4,1143.65,1144.78,42.32,42
I11.4,1187.1,1188.5,6.29,12
I69,1194.79,1196.43,12.19,14
I37.1,1208.62,1209.5,17.15,15
I38.1,1226.65,1227.27,0.45,11
I11.4,1227.72,1228.93,2.96,12
I11.4,1231.89,1233,-0.35,NA
I11.4,1232.65,1233.78,13.59,10
I37.1,1247.37,1248.17,1.15,14
I11.4,1249.32,1250.58,7,22
I37.1,1257.58,1258.43,27.76,15
I37.3,1286.19,1287.26,9.04,24
I37.2,1296.3,1297.67,2.15,25
I37.3,1299.82,1300.76,21.62,25
I11.4,1322.38,1323.55,31.1,18
I11.4,1354.65,1355.7,11.3,24
I37.3,1367,1368.09,0.91,24
I38.1,1369,1369.68,0.47,NA
I11.4,1370.15,1371.33,0.36,33
I69,1371.69,1373.85,18.83,12
I11.4,1392.68,1394.09,-0.7,20
I38.1,1393.39,1394.32,0.18,40
I11.4,1394.5,1396.11,0.25,35
I69,1396.36,1399.86,5.14,28
I11.4,1405,1406.25,9.18,14
I11.4,1415.43,1416.67,1.47,NA
I39,1418.14,1418.66,19.52,NA
I11.4,1438.18,1439.5,13.64,NA
I11.4,1453.14,1454.41,28.34,NA
I11.4,1483.64,1484.87,7.38,20
I11.4,1492.25,1493.42,25.33,12
I11.4,1518.75,1519.91,80.59,14
I11.4,1600.5,1601.69,3.86,NA
I11.4,1605.55,1606.62,38.88,NA
I11.4,1645.5,1646.56,9.54,NA
I11.4,1656.1,1657.18,77.6,10
I38.1,1734.78,1735.37,0.21,20
I11.4,1735.58,1736.65,0.12,24
I69,1736.77,1737.92,13.76,11
I11.4,1751.68,1752.67,12.41,NA
