calltype,start_time,end_time,pause,SNR
I43.2,1706.1,1707.13,1.96,41
I43.2,1709.09,1710.83,10.07,28
I42.2,1720.9,1722.87,7.23,19
I43.1,1730.1,1731,2.08,30
I43.1,1733.08,1733.91,0.24,17
I46,1734.15,1734.59,0.29,27
I43.3,1734.88,1736,1.79,34
I44,1737.79,1738.74,2.76,45
I45,1741.5,1742.27,2.17,18
I44,1744.44,1746,2.6,28
I43.2,1748.6,1749.61,0.08,44
I43.2,1752.78,1753.91,7.25,21
I44,1761.16,1762,1.32,20
I43.1,1763.32,1764.25,0.25,20
I46,1764.5,1764.92,0.83,18
I45,1765.75,1766.93,22.97,26
I43.3,1789.9,1791.34,51.3,27
I43.1,1842.64,1843.56,0.7,20
I43.1,1844.26,1845.29,32.37,29
I44,7.66,8.58,2.56,49
I45,11.14,11.89,0.95,36
I46,12.84,13.22,0.58,32
I45,13.8,15,8.92,41
I44,27.79,28.89,0.24,10
I45,29.13,30.65,4.11,14
I45,34.76,36.5,2.45,19
I44,38.95,39.71,2.09,35
I45,41.8,42.5,6.07,21
I44,48.57,49.5,0.68,33
I45,50.18,51.21,0.79,37
I43.1,52,52.83,31.39,22
I44,84.22,85.18,0.65,42
I45,85.83,87.37,18.07,43
I44,105.44,106.42,0.5,39
I45,106.92,108.14,8.09,36
I43.1,116.23,117.1,0.64,33
I43.2,117.74,118.64,7.36,31
I43.1,126,126.81,0.69,29
I43.2,127.5,128.41,13.09,37
I45,141.5,142.85,2.97,47
I44,145.82,146.75,69.5,45
I45,216.25,217.61,15.64,16
I44,233.25,234.24,13.49,24
I44,247.73,248.5,6.31,NA
I44,270.32,271.77,12.3,14
I45,284.07,285.07,3.34,11
I45,288.41,289.56,5.94,24
I44,295.5,296.32,0.42,28
I45,296.74,297.57,4.12,18
I44,301.69,302.67,0.33,29
I45,303,304.11,4.46,22
I45,308.57,309.27,1.79,27
I47,311.06,312.42,13.68,24
I45,326.1,327.16,4.84,47
I44,332,332.95,-0.08,36
I45,332.87,333.92,0,16
I45,333.92,335.8,1.31,31
I47,337.11,338.42,0.52,34
I45,355.39,356.5,62.11,20
I44,418.61,420,2.1,22
I44,422.1,423.24,1.93,11
I45,427.29,429.23,-0.84,17
I44,428.39,429.32,7.78,10
I43.2,437.1,438.44,0.34,39
I45,438.78,440.9,-0.4,14
I47,440.5,441.91,1.47,31
I47,443.38,444.74,1.26,32
I45,446,447,7.36,31
I43.1,454.36,455.42,0.72,40
I43.1,456.14,457.28,9.72,38
I45,467,468.26,3.47,40
I47,471.73,472.9,-0.11,31
I45,472.79,473.5,15.87,10
I45,489.37,490.58,12.35,24
I45,502.93,504.12,-0.57,32
I44,503.55,504.69,0.89,27
I45,505.58,507.06,-0.27,24
I43.1,506.79,507.69,-0.19,NA
I45,507.5,509.26,-0.09,23
I47,509.17,510.39,0.11,34
I43.1,510.5,511.41,-0.08,NA
I47,511.33,512.58,0.35,51
I43.3,512.93,514.21,-0.35,43
I45,513.86,514.95,-0.27,NA
I43.1,514.68,515.74,0.76,24
I45,516.5,517.5,-0.5,27
I43.1,517,518.11,0.39,37
I45,518.5,519.39,4.86,27
I43.3,524.25,525.5,0.27,35
I47,525.77,527.11,3.12,46
I47,530.23,531.71,10.79,43
I47,542.5,544,10.56,47
I44,554.56,555.26,6.81,25
I47,562.07,563.43,16.3,16
I45,579.73,580.57,1.51,NA
I45,582.08,583.06,55.94,NA
I43.3,639,640.25,0.4,28
I43.3,640.65,641.83,0.84,28
I45,642.67,644.08,13.77,23
I47,657.85,659,34.18,25
I45,693.18,694,13.5,19
I43.3,707.5,708.81,1,19
I43.1,709.81,710.78,1.22,14
I45,712,713.5,104.85,19
I44,818.35,819.5,0.42,25
I45,819.92,820.81,1.55,22
I45,822.36,823.5,43.73,22
I43.2,867.23,868.44,1.27,20
I43.2,869.71,871.09,0.16,23
I45,871.25,872.89,9.79,27
I45,882.68,884.24,3.87,21
I45,888.11,889.5,6.5,35
I45,896,897.16,0.91,25
I43.2,898.07,899,0.74,24
I46,899.74,900.21,10.51,22
I45,910.72,911.5,1.5,13
I47,913,914.28,1.94,32
I47,916.22,917.39,3.75,25
I47,921.14,922.5,9.5,11
I45,932,933.11,15.33,24
I45,948.44,949.66,16.79,36
I44,966.45,967.37,1,40
I45,968.37,969.6,9.81,44
I45,979.41,980.89,14.61,29
I45,995.5,996.71,24.52,37
I44,1021.23,1022.5,0.19,15
I47,1022.69,1024.05,14.04,29
I44,1038.09,1039.07,1.55,21
I44,1040.62,1041.41,4.32,NA
I44,1045.73,1046.5,4.38,NA
I45,1050.88,1051.87,2.06,18
I45,1053.93,1054.62,0.83,20
I45,1055.45,1056.3,18.28,26
I43.3,1074.58,1076.5,1.71,27
I44,1078.21,1079,0.76,31
I45,1079.76,1080.66,15.04,14
I44,1112.29,1113.21,1.85,27
I45,1115.06,1115.71,0.98,NA
I44,1116.69,1117.56,9.61,NA
I44,1127.17,1128.08,0.52,26
I45,1128.6,1130.29,-0.29,16
I47,1130,1131.56,2.37,16
I44,1133.93,1135.24,1.94,20
I46,1137.18,1137.57,0.43,13
I45,1149.81,1150.92,0.63,37
I42.1,1151.55,1153.5,-1.5,45
I44,1152,1153.42,50.08,NA
I45,1203.5,1204.69,2.14,NA
I43.2,1206.83,1208.62,109.25,31
I43.2,1317.87,1319.06,17.44,18
I44,1336.5,1337.39,0.98,18
I45,1338.37,1339.25,18.11,12
I42.3,1357.36,1360.2,3.87,22
I45,1364.07,1365.34,1.37,17
I47,1366.71,1368.12,-0.44,34
I43.2,1367.68,1368.85,23.83,37
I43.2,1392.68,1393.75,0.61,21
I45,1394.36,1395.27,5.34,22
I44,1400.61,1401.45,0.7,38
I45,1402.15,1402.79,0.81,33
I44,1403.6,1404.29,8.95,29
I43.1,1413.24,1414.09,1.16,35
I44,1415.25,1416.06,2.44,38
I44,1418.5,1419.33,0.89,33
I45,1420.22,1421.14,0.45,35
I46,1421.59,1422,4.89,37
I45,1426.89,1427.57,8.11,19
I43.1,1435.68,1436.43,0.68,20
I43.2,1437.11,1438.14,3.19,34
I43.1,1441.33,1442.79,2.71,36
I44,1445.5,1446.59,-0.09,19
I45,1446.5,1447.25,8.31,19
I44,1455.56,1456.41,0.41,47
I45,1456.82,1457.9,2.38,36
I43.2,1460.28,1461.15,6.22,32
I43.1,1467.37,1468.5,10.06,34
I43.1,1478.56,1479.5,1.76,28
I43.1,1481.26,1482.21,0.12,32
I46,1482.33,1482.78,5.42,31
I43.2,1488.2,1489.12,0.2,13
I46,1489.32,1489.85,0.88,35
I45,1490.73,1491.38,2.12,45
I43.1,1493.5,1494.3,4.01,40
I45,1498.31,1499.5,0.34,19
I44,1499.84,1500.84,5.45,37
I43.2,1506.29,1507.24,1.97,48
I43.3,1509.21,1510.45,3.71,38
I45,1514.16,1515.06,1.8,40
I45,1516.86,1517.5,0.36,30
I44,1517.86,1518.67,0.25,38
I45,1518.92,1519.71,5.34,31
I44,1525.05,1525.81,3.19,41
I43.1,1529,1530.24,0.65,35
I45,1530.89,1533.06,11.57,31
I44,1544.63,1545.5,0.72,27
I45,1546.22,1546.89,9.47,18
I44,1556.36,1557.24,0.4,41
I45,1557.64,1559.32,0.3,31
I46,1559.62,1560,0.5,34
I45,1560.5,1561.26,1.51,14
I43.3,1562.77,1564.1,5.4,22
I43.1,1569.5,1570.21,5.29,NA
I44,1575.5,1576.12,5.18,11
I46,1581.3,1581.67,0.83,NA
I45,1582.5,1583.12,12.88,NA
I44,1596,1596.86,0.86,32
I45,1597.72,1598.5,16.84,13
I45,1615.34,1615.95,13.77,12
I43.2,1629.72,1630.75,0.53,16
I44,1631.28,1632.07,1.31,20
I45,1633.38,1634.14,0.36,24
I46,1634.5,1634.83,2.3,23
I43.2,1637.13,1638.09,11.41,22
I43.1,1649.5,1650.85,15.28,35
I45,1666.13,1668.22,5.85,39
I45,1674.07,1675.61,27.68,38
I44,1703.29,1704.5,7.75,33
I44,1712.25,1713.37,14.58,34
I43.2,1727.95,1729.08,15.53,30
I44,1744.61,1745.5,0.64,51
I45,1746.14,1746.72,11.89,27
I43.3,1758.61,1760,1.5,32
I43.2,1761.5,1762.59,17.84,41
I43.3,1780.43,1781.67,0.16,22
I46,1781.83,1782.23,0.33,13
I45,1782.56,1784.06,21.44,25
I43.2,1805.5,1806.72,32.78,29
I73,1839.5,1840.5,11.9,14
I43.3,1852.4,1853.62,1.56,21
I73,18.79,19.81,6.69,29
I45,26.5,28.15,5.14,18
I41.1,33.29,34.5,1.05,15
I45,35.55,36.59,39.58,11
I41.1,76.17,77.7,25.71,29
I45,103.41,105.13,2.95,35
I45,108.08,109.39,8.55,20
I47,117.94,119,2.08,32
I47,121.08,122.43,5.42,41
I45,127.85,129.2,2.47,26
I45,131.67,132.43,6.99,20
I44,139.42,140.16,5.64,22
I45,145.8,147.42,1.14,39
I45,148.56,149.77,8.03,39
I47,157.8,159,15.85,38
I47,174.85,176.14,3.8,43
I45,179.94,181.08,8.81,38
I47,189.89,191.16,4.17,37
I45,195.33,196.5,2.58,26
I47,199.08,199.86,3.51,26
I46,203.37,203.78,0.83,35
I47,204.61,205.71,2.52,38
I47,208.23,209.38,0.79,41
I46,210.17,210.5,0.34,26
I47,210.84,212,3.79,36
I46,215.79,216.18,0.6,27
I47,216.78,218.09,3.36,31
I47,221.45,222.82,4.24,22
I47,227.06,228.14,1.57,22
I47,229.71,230.74,8.13,13
I47,238.87,240.19,2.4,14
I45,242.59,243.88,8.33,13
I46,252.21,252.61,1.24,40
I47,253.85,255.08,9.62,31
I47,264.7,265.94,5.56,30
I47,271.5,272.66,27.78,33
I45,300.44,302.23,19.38,29
I45,321.61,322.82,14.24,19
I44,337.06,337.84,0.56,26
I45,338.4,339.11,5.65,13
I45,344.76,346.17,6.06,33
I45,352.23,353.21,5.87,26
I45,359.08,360.88,4.71,38
I41.1,365.59,366.31,-0.41,20
I44,365.9,366.78,0.8,10
I45,367.58,369.3,12,31
I45,381.3,383.93,1.48,28
I44,385.41,386.65,2.42,22
I46,389.07,389.41,0.19,30
I45,389.6,391.16,2.41,39
I45,393.57,395,-0.42,36
I44,394.58,395.73,23.48,10
I45,419.21,420.36,12.51,36
I43.3,432.87,433.67,2.91,21
I44,436.58,437.29,1.65,15
I45,438.94,440.31,2.44,14
I45,442.75,445.15,9.54,24
I45,454.69,456.19,2.31,10
I45,458.5,459.5,-0.15,16
I43.1,459.35,460.29,2.21,11
I46,462.5,462.9,11.6,11
I46,474.5,475,0.25,17
I43.1,475.25,476.18,3.61,18
I43.1,479.79,480.75,1.75,13
I43.1,482.5,483.37,4.8,10
I45,488.17,490.22,14.28,33
I43.3,504.5,505.4,5.48,16
I43.3,510.88,512.07,-0.19,NA
I45,511.88,513.08,10.07,10
I45,523.15,524.7,-0.39,14
I43.3,524.31,525.44,30.34,11
I43.3,569.72,570.89,0.34,34
I43.3,571.23,572.56,3,34
I45,575.56,577.5,21.91,21
I42.1,599.41,600.93,41.76,12
I44,642.69,643.74,0.95,23
I45,644.69,646.36,51.73,23
I43.2,698.09,699.21,0.29,44
I45,699.5,701.21,21,37
I44,722.21,723.2,140.01,43
I41.1,863.21,864.08,15.82,18
I41.1,879.9,880.64,13.91,21
I41.1,894.55,895.36,9.47,10
I41.1,904.83,905.68,4.59,15
I41.1,910.27,911.05,25.9,14
I41.1,936.95,937.59,0.69,20
I41.1,938.28,939,1.81,23
I41.1,940.81,941.66,2.73,19
I41.1,944.39,945.5,6,NA
I41.1,951.5,952.36,8.49,27
I41.1,960.85,961.71,2.16,24
I41.1,963.87,965,3.5,25
I41.1,968.5,969.43,17.07,26
I71,986.5,988.69,3.13,38
I45,991.82,992.56,17.44,18
I45,1010,1010.88,0.32,16
I50,1011.2,1011.5,1.32,13
I45,1012.82,1013.58,7.56,23
I41.1,1021.14,1022.44,-0.52,20
I46,1021.92,1022.44,1.71,31
I45,1024.15,1025.15,15.95,34
I45,1041.1,1042.94,-0.26,18
I44,1042.68,1044.05,0.28,30
I45,1044.33,1045.59,1.99,25
I45,1047.58,1048.81,-0.56,38
I43.2,1048.25,1049.37,0.56,27
I47,1049.93,1051.34,-0.98,29
I45,1050.36,1052.25,9.85,14
I44,1062.1,1063.22,0.51,20
I45,1063.73,1065.37,1.02,15
I43.2,1066.39,1067.5,0.25,17
I45,1067.75,1069.36,4.43,15
I43.3,1073.79,1074.93,4.49,20
I47,1079.42,1080.63,32.26,25
I43.2,1112.89,1113.9,1.19,NA
I43.3,1115.09,1116.29,28.71,NA
I45,1145,1146,11.12,10
I44,1157.12,1158.21,0.29,34
I45,1158.5,1160.3,4.86,38
I43.2,1165.16,1166.42,6.52,49
I45,1172.94,1174.5,34.57,29
I44,1209.07,1210.34,2.56,38
I45,1212.9,1214.5,2.22,39
I44,1216.72,1217.21,3.06,30
I45,1220.27,1221.3,0.26,23
I46,1221.56,1221.93,6.98,48
I44,1228.91,1229.88,18.9,44
I44,1248.78,1249.6,3.08,46
I43.1,1252.68,1253.5,7.4,22
I45,1260.9,1261.69,0.48,25
I46,1262.17,1262.58,31.24,28
I46,1293.82,1294.25,6.15,21
I65,1300.4,1301,0.25,33
I43.1,1301.25,1302.17,0.69,29
I43.1,1302.86,1303.73,-0.15,19
I43.3,1303.58,1304.95,0,19
I45,1304.95,1305.5,63.37,17
I43.1,1368.87,1369.84,15.52,NA
I46,1385.36,1385.87,0.48,23
I45,1386.35,1387.07,11.13,19
I44,1470.85,1471.8,0.77,16
I45,1472.57,1474.26,3.24,21
I45,1477.5,1479.45,9.16,NA
I45,1488.61,1490.18,1.41,13
I43.3,1491.59,1493,84,16
I43.3,1577,1578.28,0.45,50
I45,1578.73,1580.24,16.1,32
I43.2,1596.34,1597.5,0.65,40
I45,1598.15,1599.85,18.21,35
I43.2,1618.06,1619.12,4.38,35
I45,1623.5,1624.95,13.94,40
I44,1638.89,1640,0.32,39
I45,1640.32,1642.05,49.95,36
I44,1692,1693.17,1.38,37
I43.2,1694.55,1695.5,-0.25,19
I45,1695.25,1696.35,0.31,31
I44,1696.66,1697.39,0.43,33
I45,1697.82,1699.5,6.31,25
I45,1705.81,1707.28,3.56,24
I44,1710.84,1711.63,0.52,15
I45,1712.15,1713.5,-0.19,18
I45,1713.31,1714.92,13.44,15
I43.3,1728.36,1729.43,0,24
I43.3,1729.43,1730.54,-0.04,21
I44,1730.5,1731.23,0.77,20
I45,1732,1733.13,0.37,18
I45,1733.5,1735,12.41,24
I45,1747.41,1749.68,6.32,23
I43.1,1756,1757,1.68,18
I43.1,1758.68,1759.76,0.99,31
I45,1760.75,1762.94,1.23,29
I46,1764.17,1764.5,0,33
I43.1,1764.5,1765.16,-0.05,11
I45,1765.11,1765.73,0.41,25
I45,1766.14,1767.36,2.94,24
I43.3,1770.3,1772.41,33.24,30
I45,1805.65,1806.73,24.42,22
I44,1831.15,1832.32,16.41,17
I43.2,1848.73,1849.83,68.46,NA
I45,9.29,10.33,55.52,20
I44,65.85,67.2,0.39,26
I45,67.59,70.29,41.21,22
I45,111.5,112.58,97.02,15
I43.3,209.6,210.71,2.79,11
I43.2,213.5,214.71,-0.5,11
I45,214.21,216,27.94,27
I43.1,243.94,245,0.69,40
I43.3,245.69,247.11,0.67,44
I43.2,247.78,248.83,6.61,34
I44,255.44,256.25,0.66,38
I45,256.91,257.55,0.36,39
I46,257.91,258.43,11.28,39
I44,269.71,270.5,6,17
I43.3,276.5,277.58,13.54,35
I45,291.12,291.81,-0.1,NA
I44,291.71,292.69,0.76,29
I45,293.45,294.27,0.28,42
I44,294.55,295.56,-0.12,52
I43.2,295.44,296.3,1.07,17
I46,297.37,297.8,21.64,28
I44,319.44,320.39,8.76,49
I44,329.15,329.92,3.08,41
I45,333,333.79,0.3,38
I46,334.09,334.5,0.35,42
I45,334.85,335.62,2.01,26
I44,337.63,338.91,0.33,33
I45,339.24,341.1,2.79,42
I45,343.89,344.95,-0.29,21
I44,344.66,345.59,-0.17,26
I43.1,345.42,346.26,-0.05,11
I45,346.21,347.06,2.83,24
I45,349.89,350.68,5.75,43
I43.1,356.43,357.54,0.57,34
I43.2,358.11,359.34,1.61,39
I44,360.95,361.82,11.05,47
I43.2,372.87,373.84,0.29,18
I46,374.13,374.56,0.51,21
I45,375.07,375.74,6.71,13
I45,382.45,383.18,1.57,28
I45,384.75,385.5,1.21,21
I44,386.71,387.5,1.06,25
I45,388.56,389.5,0.41,22
I46,389.91,390.3,0.9,24
I45,391.2,391.83,2.53,19
I43.1,394.36,395.25,6.84,16
I45,402.09,402.74,2.52,18
I45,405.26,406,1.5,26
I44,407.5,408.3,1.82,43
I45,410.12,411.15,0.69,43
I46,411.84,412.2,9.87,54
I43.2,422.07,423.13,0.46,34
I45,423.59,425.12,15.55,43
I43.2,440.67,442.07,0.7,13
I45,442.77,443.73,71.05,NA
I71,514.78,515.86,28.97,24
I44,544.83,545.82,0.34,43
I45,546.16,547.68,5.69,47
I43.1,553.37,554.43,1.57,41
I45,556,557.07,10.84,26
I43.1,567.91,569.07,1.2,44
I43.2,570.27,572,2.63,51
I45,574.63,575.5,0.32,43
I43.3,575.82,576.91,18.14,41
I43.1,595.05,595.94,0.4,31
I46,596.34,596.77,0.45,30
I45,597.22,598.07,11.77,27
I43.1,609.84,610.76,0.3,35
I46,611.06,611.43,12.91,28
I43.2,624.34,625.33,0.75,26
I45,626.08,627,1.74,34
I45,628.74,629.5,9.24,45
I43.2,638.74,639.85,2.25,34
I45,642.1,643.41,-0.47,15
I43.2,642.94,644,1.69,41
I43.1,645.69,647.09,0.91,36
I44,648,648.84,0.55,34
I45,649.39,650.62,21.81,37
I44,672.43,673.34,0.53,45
I45,673.87,674.7,0.35,31
I44,675.05,675.82,0.47,38
I45,676.29,677,3.83,29
I43.1,680.83,681.76,1.93,17
I45,683.69,684.56,1.04,30
I44,685.6,686.43,3.52,35
I44,689.95,690.66,0.6,38
I45,691.26,692.04,22.22,31
I43.1,714.26,715.31,3.12,NA
I43.1,718.43,719.5,1.15,20
I45,720.65,722.2,60.01,23
I43.1,782.21,783.17,5.94,NA
I45,789.11,790.6,9.54,19
I45,800.14,801.32,7.18,20
I44,808.5,809.36,3.25,40
I44,812.61,813.7,0.17,20
I44,819.2,820,1.39,14
I45,821.39,823.17,36.27,10
I41.1,859.44,860.19,221.56,10
I45,1081.75,1083.58,129.54,NA
I44,1213.12,1214.1,0.83,31
I45,1214.93,1216.5,1,32
I46,1217.5,1217.92,0.75,35
I45,1218.67,1220,6.05,25
I44,1226.05,1227.06,5.75,38
I43.1,1232.81,1233.9,1.54,22
I43.2,1235.44,1237,9.45,25
I44,1246.45,1247.42,0.58,35
I45,1248,1248.86,0.37,36
I46,1249.23,1249.64,0.79,29
I45,1250.43,1251.44,97.7,14
I44,1349.14,1350.3,27.92,42
I45,1378.22,1379.58,5.21,13
I45,1384.79,1385.64,NA,19
I43.2,2709.43,2710.64,9,20
I43.5,2719.64,2720.4,1.1,NA
I43.4,2721.5,2722.68,6.61,12
I43.1,2749.36,2750.66,1.72,NA
I43.1,2752.38,2753.57,1.57,NA
I48.1,2755.14,2756.37,1.13,29
I43.1,2757.5,2758.28,1.72,NA
I43.4,2760,2761.08,0,15
I43.1,2761.08,2762,0.37,NA
I49.1,2762.37,2763.73,0.27,28
I43.3,2764.42,2765.7,3.14,NA
I43.2,2768.84,2769.9,7.1,NA
I43.4,2777,2778.89,4.27,12
I43.4,2783.16,2784.61,5.53,31
I43.4,2791.2,2792.63,0.22,35
I43.5,2792.85,2794,6.63,26
I43.4,2800.63,2801.84,-0.73,18
I43.4,2801.11,2802.56,7.23,13
I43.4,2809.79,2811,-0.17,41
I43.3,2810.83,2812.64,3.75,10
I43.2,2816.39,2817.82,1.03,10
I43.4,2818.85,2820.11,1.14,31
I48.1,2821.25,2822.34,1.03,NA
I49.1,2823.37,2825.25,7.34,22
I43.4,2833.5,2835.21,1.29,38
I43.5,2836.5,2838,4.61,22
I48.1,2842.61,2844.78,16.5,31
I49.1,2861.28,2862.43,4.66,18
I43.4,2867.91,2868.79,3.61,36
I43.4,2872.4,2873.69,0.9,15
I48.1,2874.59,2875.38,0.89,NA
I43.4,2876.27,2877.36,12.64,31
I49.1,2890,2892.07,4.62,21
I43.3,2896.69,2898,3.45,13
I48.1,2901.45,2903,41.37,29
I43.5,2944.37,2945.34,5.05,26
I43.4,2950.39,2951.64,12.96,35
I43.4,2964.6,2966.13,0.14,47
I43.2,2966.27,2967.26,0,15
I43.5,2967.26,2968.69,0.52,26
I43.2,2969.21,2970.26,0.44,18
I43.4,2970.7,2972.11,3.06,31
I48.1,2975.17,2976.68,3.47,18
I43.4,2980.15,2982.61,1.39,45
I48.1,2984,2985.5,-0.15,11
I43.1,2985.35,2986.24,1.88,13
I48.1,2988.12,2989.56,5.74,34
I49.1,2995.3,2997,3.88,26
I49.1,3000.88,3002.84,2.28,19
I43.1,3005.12,3006,1,NA
I43.1,3007,3008,24.67,NA
I48.1,3032.67,3034.5,10.25,30
I43.6,3044.75,3046.59,20.15,23
I43.5,3066.74,3067.9,3.78,26
I43.4,3071.68,3072.84,16.99,32
I43.3,3089.83,3091,-0.5,27
I43.6,3090.5,3091.82,59.37,23
I48.1,3151.19,3152.86,-0.41,11
I49.1,3152.45,3153.57,3.72,22
I43.4,3157.29,3158.69,59.43,37
I48.1,3218.12,3219.82,0,60
I48.1,3219.82,3221.69,1.5,35
I48.1,3223.19,3224.86,-0.41,53
I48.1,3224.45,3226.31,6.02,46
I43.5,3232.33,3233.37,3.13,31
I43.4,3236.5,3237.8,0,55
I43.4,3237.8,3239.13,7.23,31
I43.3,3246.36,3248,8.76,40
I43.5,3256.76,3257.84,0.47,30
I43.5,3258.31,3259.5,10.75,45
I43.4,3270.25,3271.5,16.16,35
I43.3,3287.66,3288.85,-0.54,NA
I43.6,3288.31,3289.77,21.98,32
I43.4,3311.75,3313.06,37.87,20
I43.4,3350.93,3352.43,6.43,41
I43.5,3358.86,3359.89,2.53,15
I43.4,3362.42,3363.2,8.3,35
I43.4,3371.5,3372.83,7.25,28
I43.4,3380.08,3381.32,5.27,10
I43.4,3388.39,3389.57,23.93,16
I48.1,3413.5,3415.36,79.47,39
I11.4,3494.83,3496,14.74,18
I11.4,3510.74,3512.11,8.89,17
I11.4,3521,3522.5,32.88,24
I43.5,3555.38,3556.42,2.45,14
I43.6,3558.87,3560.25,1.02,28
I43.4,3561.27,3562.44,18.11,25
I48.1,3580.55,3582,573.62,40
I50,4155.62,4156.55,1.52,36
I50,4158.07,4158.89,1391.11,33
I43.5,213,213.73,0.94,25
I43.5,214.67,215.67,13.33,23
I43.5,229,229.77,494.85,15
I50,724.62,725.72,2684.47,24
I43.5,3410.19,3411.38,1.62,12
I43.5,3413,3414.11,74.08,13
I48.1,3488.19,3489.39,1.25,22
I48.1,3490.64,3492,4.35,19
I44,3497.5,3498.45,0,15
I48.1,3498.45,3499.63,2.72,26
I48.1,3502.35,3503.6,10.4,23
I48.1,3514,3515.28,13.72,20
I48.1,3529,3530.5,8.18,21
I48.1,3540.8,3541.85,1.4,25
I48.1,3543.25,3544.76,-0.34,23
I44,3544.42,3545.67,2.33,NA
I45,3548,3549.41,1.09,12
I44,3550.5,3551.14,6.35,16
I43.5,3557.49,3558.85,3.23,33
I45,3562.08,3563.16,10.26,NA
I43.5,3573.42,3574.79,1.47,25
I43.5,3576.26,3577.45,50.42,10
I48.1,3627.87,3629,1146.14,22
I43.5,4776.84,4777.61,5.65,24
I43.5,4783.26,4784.29,30.48,12
I43.5,4814.77,4815.72,31.38,23
I48.1,4847.1,4848,3.2,11
I48.1,4851.2,4852.15,0.2,16
I43.5,4852.35,4853.64,5.28,NA
I44,4858.92,4859.77,9.93,26
I44,4869.7,4870.67,1.25,25
I45,4871.92,4873.25,9.48,24
I44,4882.73,4883.89,32.65,36
I44,4916.54,4917.93,-0.29,19
I45,4917.64,4919.28,-0.44,NA
I45,4918.84,4920.59,13.9,19
I48.1,4934.49,4936.13,6.38,30
I43.5,4942.51,4943.77,45.45,34
I48.1,4989.22,4990.77,98.08,45
I43.5,5088.85,5089.84,395.55,40
I43.5,250.39,252.4,192.93,34
I43.5,445.33,446.5,0.41,20
I43.1,446.91,448.1,0,32
I43.5,448.1,449.29,0,24
I43.1,449.29,450.72,4,24
I43.5,454.72,456.15,1.96,24
I43.5,458.11,459.22,7.68,15
I43.5,466.9,468.17,4.71,32
I43.5,472.88,474,-0.11,19
I43.1,473.89,474.9,4.1,14
I43.1,479,480,2.37,17
I43.1,482.37,483.41,1.59,23
I43.5,485,486.38,9.34,21
I43.5,495.72,497.2,1.39,24
I43.1,498.59,499.68,12.66,18
I43.5,512.34,513.62,18.53,23
I43.5,532.15,533.4,0.21,21
I43.5,533.61,535,1.15,22
I43.5,536.15,537.5,6.11,31
I43.5,543.61,544.76,1.36,33
I43.5,546.12,547.31,13.31,24
I43.5,560.62,561.73,48.08,18
I43.5,609.81,611.06,1.94,34
I43.5,613,613.77,0.54,25
I43.5,614.31,615.43,14.48,40
I43.5,629.91,630.81,0.09,30
I43.5,630.9,632.18,0.72,45
I43.5,632.9,633.95,0.22,35
I43.5,634.17,635.26,5.8,26
I43.5,641.06,642.1,19.69,22
I48.1,661.79,662.68,5.32,29
I43.4,668,669.07,655.58,26
I50,1324.65,1325.75,1.25,25
I50,1327,1328.09,89.46,23
I49.1,1417.55,1418.9,233.39,40
I49.1,1652.29,1653.87,2.06,37
I43.5,1655.93,1657.41,1.88,40
I43.5,1659.29,1660.32,-0.32,18
I43.5,1660,1661.41,9.76,34
I43.5,1671.17,1672.3,3.51,34
I43.5,1675.81,1677.43,14.57,35
I43.5,1692,1693.19,1.07,32
I43.5,1694.26,1695.33,55.74,29
I43.5,1751.07,1752,4,24
I43.5,1756,1756.93,0.49,22
I43.5,1757.42,1758.32,175.29,11
I43.5,1933.61,1935.07,0,45
I43.5,1935.07,1936.29,547.5,12
I43.9,2483.79,2486.28,0.55,21
I43.5,2486.83,2488,0.66,25
I43.5,2488.66,2489.77,4.54,26
I43.5,2494.31,2495.17,2.95,13
I43.5,2498.12,2499.09,672.53,NA
I49.1,3171.62,3173.14,7.86,39
I43.5,3181,3181.95,1.49,36
I43.5,3183.44,3184.95,0.46,44
I43.5,3185.41,3186.44,135.77,42
I49.1,3322.21,3323.35,0.13,30
I43.1,3323.48,3325,25.62,13
I43.1,3350.62,3352.08,0.54,23
I43.1,3352.62,3354,1.29,22
I43.1,3355.29,3356.8,48.78,20
I43.1,3405.58,3406.47,8.96,22
I43.1,3415.43,3416.48,1.21,NA
I43.5,3417.69,3419.19,0.1,21
I43.5,3419.76,3421,35.61,24
I43.1,3456.61,3457.77,68.79,23
I43.1,3526.56,3527.84,123.26,12
I43.5,3651.1,3652.76,2.75,38
I43.5,3655.51,3657.39,9.74,39
I43.5,3667.13,3668.33,-0.08,22
I48.1,3668.25,3669.65,-0.26,24
I48.1,3682.56,3684.57,17.7,30
I43.5,3702.27,3703.28,1.04,28
I43.5,3704.32,3705.65,0.35,31
I48.1,3706,3707.82,75.84,26
I48.1,3783.66,3785.8,13.77,25
I48.1,3799.57,3800.44,28.38,18
I44,3828.82,3830.09,0.1,21
I48.1,3830.19,3831.14,3,17
I48.1,3834.14,3835.61,28.67,39
I44,3864.28,3865.29,0.84,21
I48.1,3866.13,3867.68,29.32,19
I43.5,3897,3898.12,1.21,18
I43.5,3899.33,3900.49,10.25,22
I43.4,3910.74,3911.88,1.43,22
I43.4,3913.31,3914.43,0.71,25
I43.4,3915.14,3916.18,19.14,NA
I43.4,3935.32,3936.4,1.16,32
I43.4,3937.56,3938.88,5.9,29
I43.4,3944.78,3946.09,10.91,25
I43.4,3957,3958.29,10.45,34
