GhSelection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
45	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	647.463	647.463473887	663.480579704	50.7	2027.7	16.017	1977.0	Ge112	
46	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	664.906	664.906434821	681.018597646	62.4	2008.2	16.112	1945.8	Ge113	
47	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	682.394	682.394238077	695.939861691	42.9	1977.0	13.546	1934.1	Ge112	
48	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	697.936	697.936058855	711.861910500	117.0	1945.8	13.926	1828.9	Ge15	
49	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	713.078	713.077804449	728.001754676	58.5	1949.7	14.924	1891.3	Ge16	
50	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	728.620	728.619625227	739.218481598	35.1	1965.3	10.599	1930.2	Gd11	
51	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	739.979	739.978937661	748.201368837	74.1	1965.3	8.222	1891.3	Gd13	
52	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	748.677	748.676653876	760.321137333	93.6	1879.6	11.644	1786.0	Gd13	
53	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	760.891	760.890957040	765.928978454	113.1	1762.6	5.038	1649.5	Gd12	
54	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	766.975	766.974605540	774.864337189	105.3	1778.2	7.890	1672.9	Gd11	
55	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	776.100	776.100078290	788.457489306	124.8	1743.1	12.357	1618.3	Gd14	
56	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	790.436	790.436077779	805.360028006	93.6	1770.4	14.924	1676.8	Gd14	
57	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	806.725	806.725147883	822.932367715	109.2	2031.6	16.207	1922.4	Gd22	
