Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
274	Spectrogram 1	1	1201.433324457	1203.035275321	0.0	7903.0	7903.0	1.602	23.4	B
275	Spectrogram 1	1	1204.740019939	1212.225414486	107.0	7736.6	7629.6	7.485	210.9	A1
276	Spectrogram 1	1	1213.743052146	1216.019508636	0.0	7570.2	7570.2	2.276	23.4	B
277	Spectrogram 1	1	1217.958712313	1224.703768581	78.4	7403.8	7325.4	6.745	960.9	A1
278	Spectrogram 1	1	1225.799840225	1227.317477885	0.0	7736.6	7736.6	1.518	23.4	B
279	Spectrogram 1	1	1229.803024424	1236.338990643	86.6	7320.6	7234.0	6.536	187.5	A1
280	Spectrogram 1	1	1236.844869863	1238.868386744	0.0	7154.3	7154.3	2.024	23.4	B
281	Spectrogram 1	1	1242.282600838	1246.205220579	67.7	8152.5	8084.8	3.923	867.2	A1
282	Spectrogram 1	1	1246.709514655	1248.480091925	0.0	7570.2	7570.2	1.771	23.4	B
283	Spectrogram 1	1	1250.496173583	1256.574159447	105.5	7653.4	7547.9	6.078	164.1	A1
284	Spectrogram 1	1	1256.995725464	1258.850615937	0.0	7819.8	7819.8	1.855	23.4	B
285	Spectrogram 1	1	1260.789819614	1265.710232089	67.7	7487.0	7419.3	4.920	257.8	A1
286	Spectrogram 1	1	1265.679985408	1268.209381509	0.0	7903.0	7903.0	2.529	23.4	B
287	Spectrogram 1	1	1270.148585186	1275.979179451	105.5	8069.3	7963.8	5.831	187.5	A1
288	Spectrogram 1	1	1276.219135827	1278.242652707	0.0	7903.0	7903.0	2.024	23.4	B
289	Spectrogram 1	1	1279.844603571	1285.808029069	105.5	8069.3	7963.8	5.963	164.1	A1
290	Spectrogram 1	1	1286.336720229	1288.275923906	0.0	7986.1	7986.1	1.939	23.4	B
291	Spectrogram 1	1	1290.636693600	1296.032738614	0.0	7736.6	7736.6	5.396	140.6	A1
292	Spectrogram 1	1	1296.875870647	1298.983700731	0.0	7487.0	7487.0	2.108	773.4	B
293	Spectrogram 1	1	1301.268450047	1306.487575829	67.7	6904.7	6837.0	5.219	164.1	A1
294	Spectrogram 1	1	1306.824828642	1309.354224743	0.0	7403.8	7403.8	2.529	796.9	B
