Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
64	Spectrogram 1	1	216.295568255	218.467732223	0.0	3489.9	3489.9	632.8	2.172	A1
65	Spectrogram 1	1	222.691384384	224.380845248	0.0	3832.1	3832.1	937.5	1.689	5
66	Spectrogram 1	1	224.803210464	226.070306112	0.0	3695.2	3695.2	820.3	1.267	K
67	Spectrogram 1	1	229.690579392	231.259364481	0.0	3900.5	3900.5	515.6	1.569	O
68	Spectrogram 1	1	233.069501121	235.120989313	0.0	3489.9	3489.9	562.5	2.051	5
69	Spectrogram 1	1	235.483016641	236.931125953	0.0	3626.8	3626.8	562.5	1.448	K
70	Spectrogram 1	1	244.971967190	250.040349783	0.0	3449.3	3449.3	796.9	5.068	A1
71	Spectrogram 1	1	251.247107543	252.574541079	0.0	3518.3	3518.3	796.9	1.327	B
72	Spectrogram 1	1	256.979206903	261.745900056	0.0	3380.3	3380.3	328.1	4.767	A1
73	Spectrogram 1	1	262.952657816	264.461105016	0.0	3794.2	3794.2	679.7	1.508	B
74	Spectrogram 1	1	268.624419288	272.908409337	0.0	3725.2	3725.2	468.8	4.284	A1
75	Spectrogram 1	1	274.356518649	275.804627961	0.0	4001.2	4001.2	562.5	1.448	B
76	Spectrogram 1	1	278.942198137	285.157000602	0.0	3173.4	3173.4	515.6	6.215	A1
77	Spectrogram 1	1	286.122406810	287.872205562	0.0	4208.1	4208.1	468.8	1.750	B
78	Spectrogram 1	1	291.070113627	296.560861435	0.0	3449.3	3449.3	328.1	5.491	A1
79	Spectrogram 1	1	297.646943419	299.457080060	0.0	4553.1	4553.1	867.2	1.810	B
80	Spectrogram 1	1	302.292960796	307.059653948	0.0	3242.3	3242.3	304.7	4.767	A1
81	Spectrogram 1	1	308.085398044	309.292155805	0.0	4622.1	4622.1	960.9	1.207	B
82	Spectrogram 1	1	312.091832768	314.203658848	0.0	3173.4	3173.4	304.7	2.112	A1
83	Spectrogram 1	1	317.196419133	318.282501117	0.0	4139.2	4139.2	867.2	1.086	B
84	Spectrogram 1	1	320.541992265	322.352128906	0.0	5772.8	5772.8	304.7	1.810	21
85	Spectrogram 1	1	324.282941322	325.369023306	0.0	3477.6	3477.6	1031.2	1.086	D2
86	Spectrogram 1	1	327.661863050	328.747945034	0.0	5216.4	5216.4	1710.9	1.086	21
87	Spectrogram 1	1	330.075378570	330.618419562	0.0	3129.8	3129.8	445.3	0.543	D2
88	Spectrogram 1	1	331.583825770	333.333624523	0.0	5911.9	5911.9	890.6	1.750	21
89	Spectrogram 1	1	336.591870475	337.376263019	0.0	3894.9	3894.9	1992.2	0.784	D2
90	Spectrogram 1	1	338.426556804	339.779256327	0.0	5656.9	5656.9	1570.3	1.353	21
91	Spectrogram 1	1	340.909598700	341.271334989	0.0	4590.4	4590.4	656.2	0.362	D2
92	Spectrogram 1	1	342.565321388	344.918499020	0.0	5981.4	5981.4	1710.9	2.353	21
93	Spectrogram 1	1	347.891109074	348.252845363	0.0	5633.7	5633.7	1734.4	0.362	D2
94	Spectrogram 1	1	349.982768984	351.249864632	0.0	5911.9	5911.9	1242.2	1.267	21
95	Spectrogram 1	1	351.672229848	353.120339160	0.0	5216.4	5216.4	398.4	1.448	D2
96	Spectrogram 1	1	353.663380152	355.473516792	0.0	6537.8	6537.8	1757.8	1.810	21
97	Spectrogram 1	1	357.947370201	359.455817401	0.0	5494.6	5494.6	1781.2	1.508	D2
98	Spectrogram 1	1	360.059196281	362.291698137	0.0	6190.1	6190.1	1148.4	2.233	21
99	Spectrogram 1	1	362.641861615	362.967424275	0.0	4868.6	4868.6	1148.4	0.326	D2
100	Spectrogram 1	1	363.739807449	365.851633529	0.0	6398.7	6398.7	1101.6	2.112	21
101	Spectrogram 1	1	368.284947721	368.610510381	0.0	5981.4	5981.4	328.1	0.326	D2
102	Spectrogram 1	1	371.364262215	374.019129288	0.0	3408.0	3408.0	421.9	2.655	5
103	Spectrogram 1	1	375.105211272	375.406900712	0.0	3199.4	3199.4	492.2	0.302	D2
104	Spectrogram 1	1	376.070617480	377.639402568	0.0	3616.7	3616.7	515.6	1.569	5
105	Spectrogram 1	1	378.196522035	378.485911066	0.0	3547.1	3547.1	585.9	0.289	D2
106	Spectrogram 1	1	379.932242312	382.888798825	0.0	3755.8	3755.8	609.4	2.957	5
