Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:45:11.048	2.047605229	4.607111766	0.0	2653.3	2.560	2653.3	66.2	Ja11	
2	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:45:13.948	4.948379304	7.371378826	0.0	2640.2	2.423	2640.2	69.2	Ja11	
3	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:45:16.679	7.678519610	9.999138870	0.0	2644.6	2.321	2644.6	68.1	Ja11	
4	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:45:19.613	10.612661228	28.972854785	175.4	2609.5	18.360	2434.1	70.1	Ec31	
5	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:45:38.897	29.896550218	46.311518807	0.0	2618.3	16.415	2618.3	66.4	Ec22	
6	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:45:56.112	47.111599659	58.305174913	92.1	2600.7	11.194	2508.6	70.7	Ec21	
7	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:46:07.544	58.544062190	68.065426507	87.7	2618.3	9.521	2530.5	68.6	Ec13	
8	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:46:18.194	69.194133906	79.466286807	92.3	2618.2	10.272	2525.9	69.2	Ec21	
9	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:46:28.944	79.944061360	87.349566940	105.4	2600.6	7.406	2495.2	69.6	Ec12	
10	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:46:37.055	88.054849876	97.712721208	111.4	2617.0	9.658	2505.5	74.4	Ec21	
11	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:46:46.986	97.985735239	106.892817987	78.4	2633.5	8.907	2555.1	72.4	Ec	
12	Spectrogram 1	1	2014.09.18_07.45.09.wav	7:46:56.897	107.896904245	119.056352745	45.4	2641.7	11.159	2596.3	73.7	Ec32	
