Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
187	Spectrogram 1	1	604.127351411	607.485560133	80.3	5939.7	5859.4	3.358	93.8	A1
188	Spectrogram 1	1	608.418395889	610.532823603	0.0	4666.9	4666.9	2.114	23.4	B
189	Spectrogram 1	1	613.517898023	617.890806328	80.3	6081.1	6000.8	4.373	117.2	A1
190	Spectrogram 1	1	618.430833005	620.731827870	0.0	5798.3	5798.3	2.301	23.4	B
191	Spectrogram 1	1	622.099986979	626.383236599	85.1	5939.7	5854.6	4.283	140.6	A1
192	Spectrogram 1	1	627.137300062	629.376105877	0.0	5515.4	5515.4	2.239	23.4	B
193	Spectrogram 1	1	630.122374482	630.993021187	0.0	5091.2	5091.2	0.871	23.4	D2
194	Spectrogram 1	1	631.739289792	633.045259851	0.0	5091.2	5091.2	1.306	23.4	F
195	Spectrogram 1	1	633.729339405	634.475608010	0.0	5515.4	5515.4	0.746	23.4	D2
196	Spectrogram 1	1	635.532821867	637.585060531	0.0	6364.0	6364.0	2.052	23.4	F
197	Spectrogram 1	1	640.010433497	640.943269253	0.0	6505.4	6505.4	0.933	23.4	D2
198	Spectrogram 1	1	641.565159757	644.114910823	0.0	5798.3	5798.3	2.550	23.4	F
199	Spectrogram 1	1	644.674612277	645.172124680	0.0	5232.6	5232.6	0.498	23.4	D2
200	Spectrogram 1	1	645.669637084	647.908442898	0.0	5939.7	5939.7	2.239	23.4	F
201	Spectrogram 1	1	650.520383015	651.080084469	0.0	6081.1	6081.1	0.560	23.4	D2
202	Spectrogram 1	1	652.012920225	654.599979167	0.0	5656.9	5656.9	2.587	23.4	F
203	Spectrogram 1	1	655.684079554	657.052238663	0.0	6158.7	6158.7	1.368	23.4	R
204	Spectrogram 1	1	657.674129168	659.228855428	0.0	5885.0	5885.0	1.555	23.4	F
205	Spectrogram 1	1	660.161691184	660.534825486	0.0	5885.0	5885.0	0.373	23.4	D2
206	Spectrogram 1	1	661.716417444	663.022387503	0.0	6295.5	6295.5	1.306	23.4	F
207	Spectrogram 1	1	664.701491864	666.131840023	0.0	6432.4	6432.4	1.430	23.4	R
208	Spectrogram 1	1	666.753730527	672.350745064	106.5	5337.5	5231.0	5.597	117.2	G
209	Spectrogram 1	1	673.843282274	675.522386635	0.0	5200.7	5200.7	1.679	23.4	5
210	Spectrogram 1	1	676.019899038	676.952734794	0.0	4653.2	4653.2	0.933	23.4	K
211	Spectrogram 1	1	677.388058147	682.176615028	133.2	5063.8	4930.6	4.789	421.9	G
212	Spectrogram 1	1	682.798505532	683.855719389	0.0	5200.7	5200.7	1.057	23.4	5
213	Spectrogram 1	1	684.291042742	685.223878498	0.0	5474.4	5474.4	0.933	23.4	K
214	Spectrogram 1	1	689.017410573	693.246266001	53.3	5611.2	5557.9	4.229	351.6	G
215	Spectrogram 1	1	694.863181311	696.417907572	0.0	5474.4	5474.4	1.555	23.4	5
216	Spectrogram 1	1	699.589549142	704.004971721	133.2	4790.1	4656.9	4.415	351.6	G
217	Spectrogram 1	1	704.751240326	706.368155637	0.0	4926.9	4926.9	1.617	23.4	5
218	Spectrogram 1	1	708.917906703	713.457707383	106.5	5200.7	5094.2	4.540	351.6	G
219	Spectrogram 1	1	714.390543139	716.629348954	0.0	5885.0	5885.0	2.239	23.4	5
220	Spectrogram 1	1	719.054721920	722.350741592	106.5	5748.1	5641.6	3.296	328.1	G
221	Spectrogram 1	1	723.097010196	725.273626961	0.0	6021.8	6021.8	2.177	23.4	5
222	Spectrogram 1	1	725.335816011	726.330840818	0.0	6021.8	6021.8	0.995	23.4	K
223	Spectrogram 1	1	728.196512330	731.181586749	0.0	5337.5	5337.5	2.985	23.4	R
224	Spectrogram 1	1	731.616910102	734.539795471	0.0	5120.4	5120.4	2.923	23.4	5
