Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
64	Spectrogram 1	1	104.773427417	107.005570236	143.3	1576.7	2.232	1433.3	328.1	Z
65	Spectrogram 1	1	107.228785929	107.452000211	86.0	1462.0	0.223	1376.0	515.6	19
66	Spectrogram 1	1	107.496643068	108.032357344	114.7	1490.7	0.536	1376.0	328.1	17
67	Spectrogram 1	1	108.850809711	110.949023960	544.7	2465.3	2.098	1920.7	890.6	Z
68	Spectrogram 1	1	111.082952529	111.797238231	57.3	1462.0	0.714	1404.7	281.2	17
69	Spectrogram 1	1	115.699179812	117.929933309	523.8	2514.2	2.231	1990.4	1921.9	Z
70	Spectrogram 1	1	118.290551664	119.006076371	0.0	1571.3	0.716	1571.3	328.1	Y
71	Spectrogram 1	1	120.247722186	120.626529383	34.9	1536.4	0.379	1501.5	328.1	17
72	Spectrogram 1	1	122.236459973	122.341684195	69.8	1536.4	0.105	1466.6	93.8	19
73	Spectrogram 1	1	122.436385994	122.752058659	104.8	1571.3	0.316	1466.6	562.5	17
74	Spectrogram 1	1	124.303671967	126.408156399	628.5	2514.2	2.104	1885.6	890.6	Z
75	Spectrogram 1	1	126.807937211	127.239484822	139.7	1501.5	0.432	1361.8	515.6	17
76	Spectrogram 1	1	128.362996708	128.444841944	174.6	1466.6	0.082	1292.0	750.0	19
77	Spectrogram 1	1	128.504365753	128.935913364	174.6	1501.5	0.432	1326.9	328.1	17
78	Spectrogram 1	1	130.041713181	130.483654912	453.9	2479.2	0.442	2025.3	1125.0	X
79	Spectrogram 1	1	130.704625777	131.188657196	453.9	2479.2	0.484	2025.3	1406.2	X
80	Spectrogram 1	1	131.293881418	131.830524948	279.4	2514.2	0.537	2234.8	1125.0	X
81	Spectrogram 1	1	131.946271592	132.356646056	279.4	2514.2	0.410	2234.8	515.6	X
82	Spectrogram 1	1	132.556572077	132.977468963	523.8	2444.3	0.421	1920.5	984.4	X
83	Spectrogram 1	1	133.556202182	134.029711179	244.4	2514.2	0.474	2269.7	515.6	X
84	Spectrogram 1	1	136.407044306	138.654068077	558.7	2479.2	2.247	1920.5	890.6	Z
85	Spectrogram 1	1	139.189782353	139.755258534	174.6	1536.4	0.565	1361.8	328.1	17
86	Spectrogram 1	1	143.222520378	143.624306086	174.6	1501.5	0.402	1326.9	328.1	17
87	Spectrogram 1	1	144.606448926	146.198710803	628.5	2549.1	1.592	1920.5	1593.8	Z
88	Spectrogram 1	1	146.585615558	146.677301516	209.5	1466.6	0.092	1257.1	656.2	19
89	Spectrogram 1	1	146.736825325	147.019563415	209.5	1466.6	0.283	1257.1	515.6	17
