Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	0.507	0.506779417	24.832191424	192.9	3659.0	24.325	3466.1	71.0	Id41	
2	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	25.876	25.875560811	29.840364484	261.4	3553.2	3.965	3291.8	65.1	Id11	
3	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	30.407	30.406765008	36.875655211	168.0	3603.0	6.469	3435.0	73.4	Id11	
4	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	37.696	37.696066514	42.137839050	336.0	3690.1	4.442	3354.1	75.0	Id11	
5	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	43.092	43.091776775	48.755782022	280.0	3665.2	5.664	3385.2	74.3	Id11	
6	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	50.038	50.037635841	61.186783011	186.7	3627.9	11.149	3441.2	74.1	Id21	
7	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	61.813	61.812804643	66.194956071	37.3	3615.4	4.382	3578.1	78.0	Id11	
8	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	66.720	66.720199627	93.519887609	242.7	3652.8	26.800	3410.1	76.8	Ia6	
9	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	94.678	94.678376519	103.114763281	80.9	3646.5	8.436	3565.6	80.8	Ar11	
10	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	104.397	104.396617100	112.445466661	130.7	3603.0	8.049	3472.3	80.8	Ar11	
11	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	114.025	114.025426019	122.491623335	49.8	3547.0	8.466	3497.2	80.4	Ar11	
12	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	123.511	123.510681536	131.976878853	149.3	3584.3	8.466	3435.0	78.4	Ar11	
13	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	132.722	132.722142701	141.128718909	49.8	3627.9	8.407	3578.1	79.0	Ar11	
14	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	142.142	142.142277743	150.220937858	62.2	3609.2	8.079	3547.0	78.5	Ar11	
15	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	151.054	151.053504589	167.926278113	68.5	3584.3	16.873	3515.9	77.8	Ar31	
16	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	169.003	169.003474422	176.724407890	31.1	3503.4	7.721	3472.3	76.0	Ja31	
17	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	177.499	177.499482292	183.998183049	18.7	3640.3	6.499	3621.7	78.8	Ja41	
18	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	185.288	185.288474192	192.293954366	0.0	3609.2	7.005	3609.2	80.0	La41	
19	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	193.308	193.307513199	201.058257221	0.0	3603.0	7.751	3603.0	80.2	La41	
20	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	202.042	202.042005501	209.673507307	31.1	3627.9	7.632	3596.8	79.3	La41	
21	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	210.686	210.686420691	226.426393166	6.2	3609.2	15.740	3603.0	78.7	Aw31	
22	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	228.304	228.304458063	234.743537712	49.8	3659.0	6.439	3609.2	82.2	La31	
23	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	236.159	236.159081354	242.270244909	43.6	3571.9	6.111	3528.3	81.1	La31	
24	Spectrogram 1	1	HS150622-1120-MUI-PA.wav	243.910	243.909825375	250.438336686	0.0	3627.9	6.529	3627.9	85.3	La31	
