Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
51	Spectrogram 1	1	Guigo1_0117.wav	740.495	740.494619449	744.810762647	24.4	4104.2	4.316	4079.8	Ee11	
52	Spectrogram 1	1	Guigo1_0117.wav	745.259	745.259193110	748.230044921	89.6	4006.5	2.971	3916.9	Ee11	
53	Spectrogram 1	1	Guigo1_0117.wav	750.865	750.864573886	754.452017583	81.4	4030.9	3.587	3949.5	Ee11	
54	Spectrogram 1	1	Guigo1_0117.wav	757.030	757.030492741	760.337667399	8.1	4030.9	3.307	4022.8	Ee11	
55	Spectrogram 1	1	Guigo1_0117.wav	761.066	761.066366900	763.588788249	0.0	3965.8	2.522	3965.8	Ee11	
56	Spectrogram 1	1	Guigo1_0117.wav	765.270	765.270402482	769.866814719	0.0	3957.6	4.596	3957.6	Ee11	
57	Spectrogram 1	1	Guigo1_0117.wav	770.712	770.712387971	804.512834054	187.3	4128.6	33.800	3941.3	Ia6	
58	Spectrogram 1	1	Guigo1_0117.wav	805.826	805.825902274	813.281058707	162.9	4096.1	7.455	3933.2	Be11	
59	Spectrogram 1	1	Guigo1_0117.wav	814.795	814.794511516	822.754152219	57.0	4087.9	7.960	4030.9	Be11	
60	Spectrogram 1	1	Guigo1_0117.wav	824.043	824.043389798	831.162223384	138.4	4096.1	7.119	3957.6	Be11	
61	Spectrogram 1	1	Guigo1_0117.wav	832.676	832.675676194	841.420070205	195.4	4030.9	8.744	3835.5	Be11	
62	Spectrogram 1	1	Guigo1_0117.wav	842.239	842.238704142	850.142291037	138.4	4071.6	7.904	3933.2	Be11	
63	Spectrogram 1	1	Guigo1_0117.wav	851.712	851.711797655	859.503276934	122.1	4087.9	7.791	3965.8	Be11	
64	Spectrogram 1	1	Guigo1_0117.wav	861.465	861.465160206	868.640047600	73.3	4128.6	7.175	4055.3	Be11	
65	Spectrogram 1	1	Guigo1_0117.wav	870.045	870.045226306	877.612490355	130.3	4120.5	7.567	3990.2	Be11	
66	Spectrogram 1	1	Guigo1_0117.wav	878.453	878.453297471	886.300830559	81.4	4006.5	7.848	3925.1	Be11	
67	Spectrogram 1	1	Guigo1_0117.wav	887.534	887.534014330	894.708901724	89.6	4063.5	7.175	3973.9	Be11	
68	Spectrogram 1	1	Guigo1_0117.wav	896.334	896.333839028	903.116349768	154.7	4055.3	6.783	3900.6	Be11	
69	Spectrogram 1	1	Guigo1_0117.wav	904.798	904.797964001	912.757604704	0.0	4047.2	7.960	4047.2	Be11	
70	Spectrogram 1	1	Guigo1_0117.wav	914.611	914.611213872	920.721078919	16.3	4055.3	6.110	4039.1	Be11	
71	Spectrogram 1	1	Guigo1_0117.wav	922.347	922.346639344	928.904934853	97.7	4079.8	6.558	3982.1	Be11	
72	Spectrogram 1	1	Guigo1_0117.wav	930.530	930.530495278	936.696414132	48.9	4112.3	6.166	4063.5	Be11	
73	Spectrogram 1	1	Guigo1_0117.wav	938.434	938.434082173	945.608969567	65.1	4120.5	7.175	4055.3	Be11	
74	Spectrogram 1	1	Guigo1_0117.wav	947.016	947.016116888	952.957820512	65.1	4112.3	5.942	4047.2	Be11	
75	Spectrogram 1	1	Guigo1_0117.wav	955.200	955.199972822	960.973515022	48.9	4096.1	5.774	4047.2	Be11	
76	Spectrogram 1	1	Guigo1_0117.wav	962.879	962.879344486	968.989209533	40.7	4022.8	6.110	3982.1	Be11	
77	Spectrogram 1	1	Guigo1_0117.wav	970.222	970.222393304	976.276204542	0.0	4055.3	6.054	4055.3	Be11	
78	Spectrogram 1	1	Guigo1_0117.wav	977.987	977.986622638	983.704111030	73.3	4063.5	5.717	3990.2	Be11	
79	Spectrogram 1	1	Guigo1_0117.wav	985.666	985.665994302	991.551644118	48.9	4047.2	5.886	3998.3	Be11	
80	Spectrogram 1	1	Guigo1_0117.wav	993.009	993.009043120	999.791553859	40.7	4055.3	6.783	4014.6	Be11	
81	Spectrogram 1	1	Guigo1_0117.wav	1001.514	1001.514094624	1008.464766787	48.9	4120.5	6.951	4071.6	Bf111	
82	Spectrogram 1	1	Guigo1_0117.wav	1009.642	1009.641896750	1016.984945568	81.4	4096.1	7.343	4014.6	Bf111	
83	Spectrogram 1	1	Guigo1_0117.wav	1018.059	1018.058774824	1024.448908909	81.4	4087.9	6.390	4006.5	Be11	
84	Spectrogram 1	1	Guigo1_0117.wav	1026.747	1026.747115028	1033.137249113	0.0	4063.5	6.390	4063.5	Be11	
85	Spectrogram 1	1	Guigo1_0117.wav	1034.707	1034.706755731	1040.928728393	32.6	4039.1	6.222	4006.5	Be11	
86	Spectrogram 1	1	Guigo1_0117.wav	1042.666	1042.666396433	1048.327831018	24.4	4120.5	5.661	4096.1	Be11	
87	Spectrogram 1	1	Guigo1_0117.wav	1050.626	1050.626037136	1057.464601684	0.0	4071.6	6.839	4071.6	Be11	
