Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
64	Spectrogram 1	1	102.714496716	103.460449693	0.0	1498.5	0.746	1498.5	328.1	17
65	Spectrogram 1	1	106.614449528	107.485706047	0.0	1578.8	0.871	1578.8	187.5	17
66	Spectrogram 1	1	110.561952004	111.736254269	241.8	2121.0	1.174	1879.2	937.5	Z
67	Spectrogram 1	1	112.430734103	112.658018412	0.0	1489.9	0.227	1489.9	187.5	19
68	Spectrogram 1	1	112.733779849	113.333557887	0.0	1525.3	0.600	1525.3	328.1	17
69	Spectrogram 1	1	114.305829655	114.495233246	0.0	1525.3	0.189	1525.3	140.6	19
70	Spectrogram 1	1	114.653069572	114.861413522	0.0	1489.9	0.208	1489.9	0.0	18
71	Spectrogram 1	1	115.405095352	115.671766041	24.8	1539.5	0.267	1514.7	187.5	19
72	Spectrogram 1	1	115.745779190	116.487240976	0.0	1578.8	0.741	1578.8	328.1	17
73	Spectrogram 1	1	118.143037768	119.237040872	240.8	2114.0	1.094	1873.2	843.8	Z
74	Spectrogram 1	1	119.938154633	120.178065849	0.0	1632.3	0.240	1632.3	187.5	19
75	Spectrogram 1	1	120.241724262	120.859918777	0.0	1614.0	0.618	1614.0	328.1	17
76	Spectrogram 1	1	121.549432424	121.770403281	0.0	1605.6	0.221	1605.6	140.6	19
77	Spectrogram 1	1	121.832190545	122.097355572	0.0	1600.2	0.265	1600.2	328.1	18
78	Spectrogram 1	1	122.678193252	122.880223749	0.0	1659.1	0.202	1659.1	187.5	19
79	Spectrogram 1	1	122.955985186	123.587330489	74.5	1663.7	0.631	1589.2	328.1	17
80	Spectrogram 1	1	126.500111923	127.843198621	508.4	2194.3	1.343	1685.9	656.2	Z
81	Spectrogram 1	1	128.646388738	128.848419235	0.0	1632.3	0.202	1632.3	140.6	19
82	Spectrogram 1	1	128.911553765	129.707048848	0.0	1645.5	0.795	1645.5	328.1	17
83	Spectrogram 1	1	132.119069350	132.327413300	0.0	1659.1	0.208	1659.1	140.6	19
84	Spectrogram 1	1	132.396861283	133.141848742	0.0	1600.2	0.745	1600.2	328.1	17
85	Spectrogram 1	1	135.704880934	137.181935526	428.2	2247.8	1.477	1819.6	750.0	Z
86	Spectrogram 1	1	137.990350934	138.192381431	0.0	1632.3	0.202	1632.3	187.5	19
87	Spectrogram 1	1	138.250624092	138.949995795	99.3	1738.2	0.699	1638.9	328.1	17
88	Spectrogram 1	1	140.159698861	140.412236982	0.0	1659.1	0.253	1659.1	187.5	19
89	Spectrogram 1	1	140.450117700	141.062522645	49.7	1614.0	0.612	1564.3	187.5	17
90	Spectrogram 1	1	143.125478927	144.129317960	558.7	2234.2	1.004	1675.5	843.8	Z
91	Spectrogram 1	1	144.762749978	144.977407381	0.0	1552.1	0.215	1552.1	187.5	19
92	Spectrogram 1	1	145.040541912	145.678200669	0.0	1532.3	0.638	1532.3	187.5	17
93	Spectrogram 1	1	146.347426691	146.557628777	0.0	1552.1	0.210	1552.1	187.5	19
94	Spectrogram 1	1	146.618970174	146.934642826	0.0	1514.7	0.316	1514.7	328.1	18
95	Spectrogram 1	1	147.401773348	147.629057657	0.0	1525.3	0.227	1525.3	187.5	19
96	Spectrogram 1	1	147.692192188	148.333944343	0.0	1487.0	0.642	1487.0	187.5	17
97	Spectrogram 1	1	150.863803616	152.372718892	535.2	2194.3	1.509	1659.1	890.6	Z
98	Spectrogram 1	1	152.991437290	153.238216924	0.0	1498.5	0.247	1498.5	187.5	19
99	Spectrogram 1	1	153.284111202	154.066979379	0.0	1564.4	0.783	1564.4	328.1	17
100	Spectrogram 1	1	156.579733688	156.775450733	0.0	1578.8	0.196	1578.8	187.5	19
101	Spectrogram 1	1	156.844898716	157.641388862	0.0	1577.6	0.796	1577.6	375.0	17
102	Spectrogram 1	1	160.169044980	161.591249015	508.4	2098.4	1.422	1590.0	750.0	Z
103	Spectrogram 1	1	162.252729994	162.452853921	0.0	1552.1	0.200	1552.1	140.6	19
104	Spectrogram 1	1	162.536835381	163.229991981	0.0	1614.0	0.693	1614.0	375.0	17
105	Spectrogram 1	1	164.609814734	164.843412497	0.0	1525.3	0.234	1525.3	187.5	19
106	Spectrogram 1	1	164.895287824	165.537892331	0.0	1564.4	0.643	1564.4	328.1	17
107	Spectrogram 1	1	167.280175628	168.702269188	508.4	2098.4	1.422	1590.0	843.8	Z
108	Spectrogram 1	1	169.328014998	169.517418589	0.0	1552.1	0.189	1552.1	140.6	19
109	Spectrogram 1	1	169.574239666	170.187227947	0.0	1638.9	0.613	1638.9	375.0	17
110	Spectrogram 1	1	170.944258976	171.114722208	0.0	1498.5	0.170	1498.5	187.5	19
111	Spectrogram 1	1	171.225201593	171.503596901	0.0	1517.5	0.278	1517.5	0.0	18
112	Spectrogram 1	1	171.916530744	172.118561241	0.0	1632.3	0.202	1632.3	187.5	19
113	Spectrogram 1	1	172.188009224	172.775160357	0.0	1614.0	0.587	1614.0	562.5	17
114	Spectrogram 1	1	174.296858011	176.430805138	332.3	2247.8	2.134	1915.5	937.5	Z
115	Spectrogram 1	1	177.226300221	178.037762340	0.0	1605.6	0.811	1605.6	375.0	17
116	Spectrogram 1	1	181.052307087	181.944868958	0.0	1522.5	0.893	1522.5	375.0	17
117	Spectrogram 1	1	184.325033948	185.998587456	472.5	2152.5	1.674	1680.0	843.8	Z
118	Spectrogram 1	1	186.891149327	187.523380652	0.0	1653.7	0.632	1653.7	375.0	17
119	Spectrogram 1	1	189.260820963	189.418657289	0.0	1653.7	0.158	1653.7	187.5	19
120	Spectrogram 1	1	189.488105273	190.226779278	0.0	1638.9	0.739	1638.9	562.5	17
121	Spectrogram 1	1	191.824082897	193.659743515	472.5	2152.5	1.836	1680.0	703.1	Z
122	Spectrogram 1	1	194.313462376	194.515492873	0.0	1630.2	0.202	1630.2	0.0	19
123	Spectrogram 1	1	194.560187681	195.210473344	90.6	1652.8	0.650	1562.2	375.0	17
124	Spectrogram 1	1	195.876718928	196.047182160	0.0	1652.8	0.170	1652.8	0.0	19
125	Spectrogram 1	1	196.122943596	196.369168265	0.0	1630.2	0.246	1630.2	562.5	18
126	Spectrogram 1	1	196.722721635	196.924752132	0.0	1675.5	0.202	1675.5	0.0	19
127	Spectrogram 1	1	196.981573209	197.593978154	22.6	1630.2	0.612	1607.6	375.0	17
128	Spectrogram 1	1	199.320413956	201.233390226	362.3	2105.7	1.913	1743.4	703.1	Z
129	Spectrogram 1	1	201.943631398	202.966410790	45.3	1607.5	1.023	1562.2	562.5	17
130	Spectrogram 1	1	205.946360624	206.666094271	22.6	1494.3	0.720	1471.7	375.0	17
131	Spectrogram 1	1	208.951564270	210.832973276	384.9	2105.7	1.881	1720.8	843.8	Z
132	Spectrogram 1	1	211.540080016	212.436590347	45.3	1630.2	0.897	1584.9	328.1	17
133	Spectrogram 1	1	214.195135315	214.924301969	0.0	1604.7	0.729	1604.7	375.0	17
134	Spectrogram 1	1	216.259168441	217.970477935	348.8	2069.8	1.711	1721.0	750.0	Z
135	Spectrogram 1	1	218.483253437	218.641089770	46.5	1558.1	0.158	1511.6	46.9	19
136	Spectrogram 1	1	218.725269147	218.998852123	46.5	1534.9	0.274	1488.4	375.0	18
137	Spectrogram 1	1	219.324705280	219.577243412	23.3	1651.2	0.253	1627.9	46.9	19
138	Spectrogram 1	1	219.629855523	220.219111164	46.5	1627.9	0.589	1581.4	375.0	17
139	Spectrogram 1	1	220.714422637	220.882781391	186.8	1634.2	0.168	1447.4	187.5	19
140	Spectrogram 1	1	220.945158292	221.239786113	162.8	1674.4	0.295	1511.6	375.0	18
141	Spectrogram 1	1	221.530285815	221.991167887	249.1	1992.5	0.461	1743.4	328.1	X
142	Spectrogram 1	1	222.283354294	222.514847581	490.3	1774.3	0.231	1284.0	562.5	19
143	Spectrogram 1	1	222.579572820	222.977834119	69.8	1767.4	0.398	1697.6	375.0	18
144	Spectrogram 1	1	223.331060903	223.807251371	465.1	2093.0	0.476	1627.9	562.5	X
145	Spectrogram 1	1	224.240524778	224.566719865	162.8	2093.0	0.326	1930.2	515.6	X
