Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
64	Spectrogram 1	1	222.587064150	224.141790410	0.0	6364.0	6364.0	23.4	1.555	5
65	Spectrogram 1	1	224.514924712	225.572138569	0.0	6364.0	6364.0	23.4	1.057	K
66	Spectrogram 1	1	229.365670644	231.231342156	0.0	6788.2	6788.2	23.4	1.866	O
67	Spectrogram 1	1	233.159202719	234.962685181	0.0	6646.8	6646.8	23.4	1.803	5
68	Spectrogram 1	1	237.201490996	244.686421964	105.5	5939.7	5834.2	187.5	7.485	A1
69	Spectrogram 1	1	246.032336153	248.271141968	0.0	5939.7	5939.7	23.4	2.239	B
70	Spectrogram 1	1	250.447758732	255.121287226	124.5	5656.9	5532.4	914.1	4.674	A1
71	Spectrogram 1	1	257.537310479	259.838305344	0.0	4808.3	4808.3	23.4	2.301	B
72	Spectrogram 1	1	263.043046619	267.549747594	162.3	6788.2	6625.9	187.5	4.507	A1
73	Spectrogram 1	1	269.042284804	271.525180551	0.0	5515.4	5515.4	23.4	2.483	B
74	Spectrogram 1	1	273.333329282	278.931879382	143.4	5798.3	5654.9	468.8	5.599	A1
75	Spectrogram 1	1	280.547259130	282.848253995	0.0	5798.3	5798.3	23.4	2.301	B
76	Spectrogram 1	1	284.154224053	289.813427640	282.8	5939.7	5656.9	984.4	5.659	A1
77	Spectrogram 1	1	291.865666304	294.353228320	0.0	5232.6	5232.6	23.4	2.488	B
78	Spectrogram 1	1	298.644272798	300.074620958	0.0	4525.5	4525.5	23.4	1.430	21
79	Spectrogram 1	1	305.174123091	306.371929619	0.0	5939.7	5939.7	23.4	1.198	21
80	Spectrogram 1	1	309.589545670	310.941929338	106.5	4808.3	4701.8	187.5	1.352	21
81	Spectrogram 1	1	317.026017607	318.027666285	319.6	5798.3	5478.7	867.2	1.002	21
82	Spectrogram 1	1	318.917903231	319.415415635	0.0	4949.7	4949.7	23.4	0.498	D2
83	Spectrogram 1	1	320.879771096	322.101523681	239.7	7495.3	7255.6	820.3	1.222	21
84	Spectrogram 1	1	325.385564474	326.007454978	0.0	6222.5	6222.5	23.4	0.622	D2
85	Spectrogram 1	1	327.499992187	328.855862425	53.3	7212.5	7159.2	1734.4	1.356	21
86	Spectrogram 1	1	329.552230851	330.360688506	0.0	6081.1	6081.1	23.4	0.808	D2
87	Spectrogram 1	1	331.749514162	333.196340031	79.9	7212.5	7132.6	890.6	1.447	21
88	Spectrogram 1	1	336.641782597	337.263673102	0.0	7495.3	7495.3	23.4	0.622	D2
89	Spectrogram 1	1	338.808007197	339.813424168	0.0	7919.6	7919.6	1570.3	1.005	21
90	Spectrogram 1	1	340.684070874	341.492528529	0.0	6646.8	6646.8	23.4	0.808	D2
91	Spectrogram 1	1	343.212826816	344.511260288	106.5	8061.0	7954.5	1710.9	1.298	21
92	Spectrogram 1	1	347.338299268	348.395513124	0.0	7636.8	7636.8	257.8	1.057	D2
93	Spectrogram 1	1	349.701483183	351.194020393	0.0	8202.4	8202.4	23.4	1.493	21
94	Spectrogram 1	1	352.064667099	352.437801401	0.0	6929.6	6929.6	257.8	0.373	D2
95	Spectrogram 1	1	353.805960510	355.522011757	106.5	8343.9	8237.4	1757.8	1.716	21
96	Spectrogram 1	1	358.407950240	359.092029795	0.0	7353.9	7353.9	23.4	0.684	D2
97	Spectrogram 1	1	360.374196003	361.746825674	79.9	8343.9	8264.0	1148.4	1.373	21
98	Spectrogram 1	1	362.325860416	363.134318071	0.0	7778.2	7778.2	304.7	0.808	D2
99	Spectrogram 1	1	364.121104023	365.716322288	213.0	7778.2	7565.2	1101.6	1.595	21
