Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power (dB)	Category	Comment
1	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:00:09.786	1.785713170	6.805015052	26.3	2578.8	5.019	2552.5	51.2	Kb11	
2	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:00:17.363	9.362928511	13.899605212	13.2	2530.5	4.537	2517.4	52.0	Kb11	
4	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:00:23.782	15.781843418	21.042457890	0.0	2451.6	5.261	2451.6	53.2	Kb11	
5	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:00:31.214	23.214271204	27.654422869	57.0	2434.1	4.440	2377.0	51.7	Kb11	
6	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:00:38.454	30.453648919	35.762525910	0.0	2429.7	5.309	2429.7	49.6	Kb11	
7	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:00:45.259	37.258663971	42.615803479	26.3	2425.3	5.357	2399.0	51.1	Kb11	
8	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:00:52.402	44.401516649	49.662131121	0.0	2420.9	5.261	2420.9	50.9	Kb11	
9	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:00:59.873	51.873368167	57.471820266	35.1	2434.1	5.598	2399.0	50.7	Kb11	
10	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:01:06.920	58.919695809	64.421622872	17.5	2434.1	5.502	2416.5	49.9	Kb11	
11	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:01:14.207	66.207336042	71.950575695	4.4	2442.8	5.743	2438.4	50.4	Kb11	
12	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:01:21.640	73.639763829	79.045165856	13.2	2464.8	5.405	2451.6	49.8	Kb11	
13	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:01:28.252	80.251728808	85.850180907	17.5	2460.4	5.598	2442.8	51.4	Kb11	
14	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:01:35.153	87.153268896	93.427396248	13.2	2460.4	6.274	2447.2	51.0	Kb11	
15	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:01:42.415	94.415436304	99.531263222	17.5	2451.6	5.116	2434.1	51.3	Kb11	
16	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:01:48.834	100.834351211	105.033190285	0.0	2451.6	4.199	2451.6	52.1	Kb11	
17	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:01:53.371	105.371027912	127.040898537	48.2	2447.2	21.670	2399.0	46.7	Ia3	
18	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:02:15.990	127.989872363	201.686737497	43.9	2390.2	73.697	2346.3	52.6	Eh215	
19	Spectrogram 1	1	2015_10_25_11_00_08.wav	11:03:30.018	202.018434034	209.113024194	70.2	2337.6	7.095	2267.4	50.5	Bl111	
