Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
45	Spectrogram 1	1	Praia do Forte_07out2013.mp3	354.067	354.066973333	357.360531285	0.0	2686.5	3.294	2686.5	Jb11	
46	Spectrogram 1	1	Praia do Forte_07out2013.mp3	358.245	358.245034542	362.009100773	0.0	2695.2	3.764	2695.2	Jb11	
47	Spectrogram 1	1	Praia do Forte_07out2013.mp3	362.849	362.849294128	366.008421144	0.0	2721.4	3.159	2721.4	Jb11	
48	Spectrogram 1	1	Praia do Forte_07out2013.mp3	366.714	366.714183562	369.806095109	0.0	2699.6	3.092	2699.6	Jb11	
49	Spectrogram 1	1	Praia do Forte_07out2013.mp3	370.277	370.276603388	373.637376809	0.0	2695.2	3.361	2695.2	Jb11	
50	Spectrogram 1	1	Praia do Forte_07out2013.mp3	374.209	374.208708291	378.140813193	0.0	2708.3	3.932	2708.3	Jb11	
51	Spectrogram 1	1	Praia do Forte_07out2013.mp3	379.418	379.417907093	385.198437377	0.0	2686.5	5.781	2686.5	Ec11	
52	Spectrogram 1	1	Praia do Forte_07out2013.mp3	385.510	385.509569888	402.279829258	95.9	2669.0	16.770	2573.1	Ec34	
53	Spectrogram 1	1	Praia do Forte_07out2013.mp3	402.650	402.649514334	419.016480893	21.8	2686.5	16.367	2664.7	Ec33	
54	Spectrogram 1	1	Praia do Forte_07out2013.mp3	419.464	419.464083605	439.998409206	61.1	2660.3	20.534	2599.2	Ec35	
