Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	UNIT
303	Spectrogram 1	1	595.077243956	595.456051154	229.3	1490.7	0.379	1261.4	X
304	Spectrogram 1	1	595.683808337	595.999481001	860.0	2522.7	0.316	1662.7	X
305	Spectrogram 1	1	596.188884600	596.494034843	544.7	2494.0	0.305	1949.3	X
306	Spectrogram 1	1	596.872842040	597.072768061	659.3	2522.7	0.200	1863.4	X
307	Spectrogram 1	1	597.493664948	597.798815190	774.0	2436.7	0.305	1662.7	X
308	Spectrogram 1	1	598.072398166	598.251279343	888.7	2522.7	0.179	1634.0	X
309	Spectrogram 1	1	598.651131385	598.819490139	888.7	2494.0	0.168	1605.3	X
310	Spectrogram 1	1	603.990375631	605.716052865	516.0	2465.3	1.726	1949.3	Z
311	Spectrogram 1	1	606.073815218	606.526279371	86.0	1462.0	0.452	1376.0	17
312	Spectrogram 1	1	608.336135982	608.578151691	774.0	2494.0	0.242	1720.0	X
313	Spectrogram 1	1	608.988526156	609.346288509	143.3	1490.7	0.358	1347.4	X
314	Spectrogram 1	1	609.683006018	609.998678683	114.7	1490.7	0.316	1376.0	X
315	Spectrogram 1	1	610.303828925	610.619501590	258.0	1490.7	0.316	1232.7	X
316	Spectrogram 1	1	610.956219099	611.271891763	315.3	1462.0	0.316	1146.7	X
317	Spectrogram 1	1	611.461295362	611.819057716	143.3	1433.3	0.358	1290.0	X
318	Spectrogram 1	1	612.176820069	612.492492734	286.7	1490.7	0.316	1204.0	X
319	Spectrogram 1	1	612.702941177	613.050181108	172.0	1490.7	0.347	1318.7	X
320	Spectrogram 1	1	613.344804409	613.723611606	200.7	1490.7	0.379	1290.0	X
321	Spectrogram 1	1	613.955104894	614.239210292	172.0	1490.7	0.284	1318.7	X
322	Spectrogram 1	1	614.428613891	614.775853822	172.0	1519.3	0.347	1347.3	X
323	Spectrogram 1	1	615.059959220	615.480856107	143.3	1490.7	0.421	1347.4	X
324	Spectrogram 1	1	616.611547329	619.200063179	630.7	2494.0	2.589	1863.3	Z
325	Spectrogram 1	1	621.537168207	622.263215336	172.0	1519.3	0.726	1347.3	17
326	Spectrogram 1	1	624.092989482	626.102772114	716.7	2522.7	2.010	1806.0	Z
327	Spectrogram 1	1	626.345910816	626.777330124	229.3	1490.7	0.431	1261.4	17
328	Spectrogram 1	1	627.398153031	627.703303274	172.0	1519.3	0.305	1347.3	17
329	Spectrogram 1	1	628.692410956	629.102785420	286.7	1462.0	0.410	1175.3	X
330	Spectrogram 1	1	629.481592618	629.902489504	315.3	1490.7	0.421	1175.4	X
331	Spectrogram 1	1	630.176072480	630.628536633	172.0	1490.7	0.452	1318.7	X
332	Spectrogram 1	1	631.300844827	632.521445797	602.0	2494.0	1.221	1892.0	Z
333	Spectrogram 1	1	632.859290130	633.806308124	229.3	1490.7	0.947	1261.4	17
334	Spectrogram 1	1	637.299749220	637.973184238	172.0	1519.3	0.673	1347.3	17
335	Spectrogram 1	1	639.297879091	641.013033903	544.7	2465.3	1.715	1920.6	Z
336	Spectrogram 1	1	641.319310936	641.866476888	229.3	1462.0	0.547	1232.7	17
337	Spectrogram 1	1	642.897674260	643.486929900	286.7	1548.0	0.589	1261.3	17
338	Spectrogram 1	1	643.949916475	644.297156407	286.7	1548.0	0.347	1261.3	17
339	Spectrogram 1	1	644.886412047	645.223129556	258.0	1519.3	0.337	1261.3	17
340	Spectrogram 1	1	646.178642783	648.062156349	487.3	2494.0	1.884	2006.7	Z
341	Spectrogram 1	1	648.285154404	649.147993021	114.7	1519.3	0.863	1404.6	17
342	Spectrogram 1	1	652.542246973	653.257771679	200.7	1519.3	0.716	1318.6	17
343	Spectrogram 1	1	655.121331157	656.331409705	516.0	2494.0	1.210	1978.0	Z
344	Spectrogram 1	1	656.688081302	657.487785386	172.0	1490.7	0.800	1318.7	17
345	Spectrogram 1	1	658.760998467	659.371298952	172.0	1519.3	0.610	1347.3	17
346	Spectrogram 1	1	660.161571370	661.171723897	487.3	2408.0	1.010	1920.7	Z
347	Spectrogram 1	1	661.610465058	662.462781253	172.0	1548.0	0.852	1376.0	17
348	Spectrogram 1	1	663.651814956	664.093756687	200.7	1519.3	0.442	1318.6	17
349	Spectrogram 1	1	664.535698417	664.704057172	200.7	1490.7	0.168	1290.0	19
350	Spectrogram 1	1	664.777714127	665.303835235	143.3	1519.3	0.526	1376.0	19
351	Spectrogram 1	1	666.369799096	667.664057021	573.3	2494.0	1.294	1920.7	Z
352	Spectrogram 1	1	667.958055085	668.673579791	200.7	1404.7	0.716	1204.0	Y
353	Spectrogram 1	1	671.567245884	672.345905124	172.0	1462.0	0.779	1290.0	17
354	Spectrogram 1	1	673.093625592	674.377361095	544.7	2551.3	1.284	2006.6	Z
355	Spectrogram 1	1	674.737803775	675.516463015	200.7	1548.0	0.779	1347.3	Y
356	Spectrogram 1	1	676.200420455	676.295122254	372.7	1519.3	0.095	1146.6	19
357	Spectrogram 1	1	676.358256787	676.915945161	172.0	1490.7	0.558	1318.7	17
358	Spectrogram 1	1	677.631469868	677.768261356	229.3	1519.3	0.137	1290.0	18
359	Spectrogram 1	1	677.799828623	678.231247931	114.7	1490.7	0.431	1376.0	17
360	Spectrogram 1	1	680.041104542	680.440956584	200.7	1490.7	0.400	1290.0	17
361	Spectrogram 1	1	681.322158399	682.227086705	630.7	2465.3	0.905	1834.6	Z
362	Spectrogram 1	1	682.547307679	683.315444497	114.7	1548.0	0.768	1433.3	Y
363	Spectrogram 1	1	686.493215988	687.135083740	114.7	1519.3	0.642	1404.6	17
364	Spectrogram 1	1	688.519492692	689.897929995	573.3	2465.3	1.378	1892.0	Z
365	Spectrogram 1	1	690.710985413	691.710615518	114.7	1519.3	1.000	1404.6	17
366	Spectrogram 1	1	692.057855449	692.552409291	172.0	1490.7	0.495	1318.7	X
367	Spectrogram 1	1	692.825992267	693.194277042	200.7	1519.3	0.368	1318.6	X
368	Spectrogram 1	1	693.436292752	693.794055105	200.7	1519.3	0.358	1318.6	X
369	Spectrogram 1	1	693.909801749	694.278086524	430.0	1548.0	0.368	1118.0	X
370	Spectrogram 1	1	694.730550677	695.109357875	200.7	1548.0	0.379	1347.3	X
371	Spectrogram 1	1	695.488165072	695.919584381	172.0	1490.7	0.431	1318.7	X
372	Spectrogram 1	1	696.298391578	696.740333309	229.3	1576.7	0.442	1347.4	X
373	Spectrogram 1	1	699.452287277	701.156919667	573.3	2494.0	1.705	1920.7	Z
374	Spectrogram 1	1	702.040748354	702.703660950	143.3	1548.0	0.663	1404.7	17
375	Spectrogram 1	1	703.474403787	703.832166140	602.0	2465.3	0.358	1863.3	X
376	Spectrogram 1	1	704.074181850	704.421421781	573.3	2494.0	0.347	1920.7	X
377	Spectrogram 1	1	704.695004757	704.979110155	602.0	2522.7	0.284	1920.7	X
378	Spectrogram 1	1	705.210603443	705.505231263	516.0	2465.3	0.295	1949.3	X
379	Spectrogram 1	1	705.820903928	706.189188703	516.0	2494.0	0.368	1978.0	X
380	Spectrogram 1	1	706.389114724	706.673220122	573.3	2465.3	0.284	1892.0	X
381	Spectrogram 1	1	706.988892787	707.346655140	630.7	2436.7	0.358	1806.0	X
382	Spectrogram 1	1	707.536058739	708.009567736	659.3	2465.3	0.474	1806.0	X
383	Spectrogram 1	1	708.167404069	708.672480332	516.0	2494.0	0.505	1978.0	X
384	Spectrogram 1	1	708.788226976	709.209123862	544.7	2494.0	0.421	1949.3	X
385	Spectrogram 1	1	709.377482617	709.840469191	573.3	2465.3	0.463	1892.0	X
386	Spectrogram 1	1	711.873126779	713.398877992	487.3	2494.0	1.526	2006.7	Z
387	Spectrogram 1	1	715.836103454	716.341179718	143.3	1490.7	0.505	1347.4	17
388	Spectrogram 1	1	717.053467301	717.348095122	745.3	2465.3	0.295	1720.0	X
389	Spectrogram 1	1	717.579588409	717.884738652	630.7	2465.3	0.305	1834.6	Z
390	Spectrogram 1	1	718.074142251	718.452949448	544.7	2494.0	0.379	1949.3	X
391	Spectrogram 1	1	718.663397891	718.979070556	602.0	2465.3	0.316	1863.3	X
392	Spectrogram 1	1	719.252653532	719.599893463	602.0	2436.7	0.347	1834.7	X
393	Spectrogram 1	1	719.747207373	720.136536993	602.0	2436.7	0.389	1834.7	X
394	Spectrogram 1	1	720.283850903	720.631090835	516.0	2494.0	0.347	1978.0	X
395	Spectrogram 1	1	720.767882323	721.104599832	544.7	2494.0	0.337	1949.3	X
396	Spectrogram 1	1	721.357137963	721.662288206	573.3	2465.3	0.305	1892.0	X
397	Spectrogram 1	1	721.967438448	722.262066269	573.3	2494.0	0.295	1920.7	X
398	Spectrogram 1	1	722.504081978	722.914456443	573.3	2494.0	0.410	1920.7	X
399	Spectrogram 1	1	723.093337619	723.472144817	516.0	2465.3	0.379	1949.3	X
400	Spectrogram 1	1	723.651025994	724.050878035	630.7	2494.0	0.400	1863.3	X
401	Spectrogram 1	1	728.015369974	729.656867830	487.3	2522.7	1.641	2035.4	Z
402	Spectrogram 1	1	731.373889306	731.605382594	458.7	2465.3	0.231	2006.6	X
403	Spectrogram 1	1	731.984189791	732.152548546	602.0	2580.0	0.168	1978.0	X
404	Spectrogram 1	1	732.552400588	732.720759342	544.7	2522.7	0.168	1978.0	X
405	Spectrogram 1	1	733.099566540	733.320537405	630.7	2494.0	0.221	1863.3	X
406	Spectrogram 1	1	733.625687648	733.899270624	573.3	2494.0	0.274	1920.7	X
407	Spectrogram 1	1	734.278077821	734.562183219	573.3	2580.0	0.284	2006.7	X
408	Spectrogram 1	1	734.909423151	735.151438860	458.7	2465.3	0.242	2006.6	X
409	Spectrogram 1	1	735.488156369	735.656515124	401.3	2522.7	0.168	2121.4	X
410	Spectrogram 1	1	736.056367166	736.256293187	487.3	2494.0	0.200	2006.7	X
411	Spectrogram 1	1	736.708757339	736.908683360	573.3	2522.7	0.200	1949.4	X
412	Spectrogram 1	1	737.234878447	737.476894157	544.7	2494.0	0.242	1949.3	X
413	Spectrogram 1	1	737.908313465	738.139806753	487.3	2551.3	0.231	2064.0	X
414	Spectrogram 1	1	741.622724650	743.621984859	487.3	2522.7	1.999	2035.4	Z
415	Spectrogram 1	1	745.084601539	745.652812336	143.3	1519.3	0.568	1376.0	17
416	Spectrogram 1	1	746.999682372	747.189085970	544.7	2580.0	0.189	2035.3	X
417	Spectrogram 1	1	747.620505279	747.904610677	602.0	2465.3	0.284	1863.3	X
418	Spectrogram 1	1	748.083491854	748.420209363	602.0	2580.0	0.337	1978.0	X
419	Spectrogram 1	1	748.820061405	749.019987426	544.7	2522.7	0.200	1978.0	X
420	Spectrogram 1	1	749.430361890	749.682900022	573.3	2522.7	0.253	1949.4	X
421	Spectrogram 1	1	749.988050264	750.261633240	573.3	2522.7	0.274	1949.4	X
422	Spectrogram 1	1	750.619395593	750.808799192	602.0	2494.0	0.189	1892.0	X
423	Spectrogram 1	1	751.187606390	751.377009989	487.3	2408.0	0.189	1920.7	X
424	Spectrogram 1	1	751.850518986	752.008355318	602.0	2522.7	0.158	1920.7	X
425	Spectrogram 1	1	752.429250402	752.660743689	659.3	2637.3	0.231	1978.0	X
426	Spectrogram 1	1	753.092162997	753.292089018	487.3	2494.0	0.200	2006.7	X
427	Spectrogram 1	1	753.660373794	753.881344659	544.7	2436.7	0.221	1892.0	X
428	Spectrogram 1	1	754.218062168	754.460077878	573.3	2522.7	0.242	1949.4	X
429	Spectrogram 1	1	757.284951886	759.578839916	114.7	1490.7	2.294	1376.0	Z
430	Spectrogram 1	1	762.388326632	762.840790784	200.7	1576.7	0.452	1376.0	17
431	Spectrogram 1	1	763.966689955	764.313929886	200.7	1490.7	0.347	1290.0	17
432	Spectrogram 1	1	765.555573324	768.207223707	229.3	1548.0	2.652	1318.7	Z
433	Spectrogram 1	1	768.554463638	769.080584746	172.0	1519.3	0.526	1347.3	17
434	Spectrogram 1	1	769.890811252	770.280140872	229.3	1576.7	0.389	1347.4	17
435	Spectrogram 1	1	771.795369662	774.068212848	172.0	1490.7	2.273	1318.7	Z
436	Spectrogram 1	1	775.415082138	775.835979024	143.3	1490.7	0.421	1347.4	17
437	Spectrogram 1	1	778.341942136	779.046944420	143.3	1433.3	0.705	1290.0	Y
438	Spectrogram 1	1	782.074516280	783.463476004	544.7	2436.7	1.389	1892.0	Z
439	Spectrogram 1	1	783.747581403	783.884372891	229.3	1576.7	0.137	1347.4	19
440	Spectrogram 1	1	783.907667599	784.688917586	143.3	1490.7	0.781	1347.4	17
441	Spectrogram 1	1	788.693118757	789.408643463	114.7	1548.0	0.716	1433.3	17
442	Spectrogram 1	1	791.765666027	792.460145889	114.7	1548.0	0.694	1433.3	17
443	Spectrogram 1	1	793.425009217	795.203298561	344.0	2494.0	1.778	2150.0	Z
444	Spectrogram 1	1	795.858886440	796.532321458	57.3	1490.7	0.673	1433.4	Y
445	Spectrogram 1	1	797.889713916	797.994938137	143.3	1462.0	0.105	1318.7	19
446	Spectrogram 1	1	798.015982982	798.478969556	114.7	1490.7	0.463	1376.0	17
447	Spectrogram 1	1	799.341808173	799.447032395	143.3	1462.0	0.105	1318.7	19
448	Spectrogram 1	1	799.489122083	799.994198347	114.7	1490.7	0.505	1376.0	17
449	Spectrogram 1	1	801.251932889	802.851341056	458.7	2522.7	1.599	2064.0	Z
450	Spectrogram 1	1	803.750700739	804.424135757	86.0	1548.0	0.673	1462.0	17
451	Spectrogram 1	1	807.149443095	807.286234583	143.3	1548.0	0.137	1404.7	19
452	Spectrogram 1	1	807.359891538	807.822878113	86.0	1462.0	0.463	1376.0	19
453	Spectrogram 1	1	809.708759733	811.097719457	114.7	1519.3	1.389	1404.6	Z
454	Spectrogram 1	1	811.895054312	812.536922064	86.0	1490.7	0.642	1404.7	Y
455	Spectrogram 1	1	813.747000612	813.915359366	57.3	1462.0	0.168	1404.7	19
456	Spectrogram 1	1	813.936404211	814.325733830	114.7	1433.3	0.389	1318.6	17
457	Spectrogram 1	1	815.243553069	816.906095770	114.7	1490.7	1.663	1376.0	Z
458	Spectrogram 1	1	817.493593716	818.198596001	114.7	1490.7	0.705	1376.0	Y
459	Spectrogram 1	1	821.407933413	822.091890854	86.0	1548.0	0.684	1462.0	17
460	Spectrogram 1	1	824.403587950	825.845159785	57.3	1490.7	1.442	1433.4	Z
461	Spectrogram 1	1	826.447507315	827.194599288	86.0	1576.7	0.747	1490.7	Y
462	Spectrogram 1	1	828.141617282	828.288931192	86.0	1462.0	0.147	1376.0	19
463	Spectrogram 1	1	828.383632992	828.815052300	57.3	1519.3	0.431	1462.0	17
464	Spectrogram 1	1	829.945667304	832.039629313	86.0	1548.0	2.094	1462.0	Z
465	Spectrogram 1	1	832.284953844	832.453312599	86.0	1519.3	0.168	1433.3	19
466	Spectrogram 1	1	832.558536820	833.242494260	57.3	1519.3	0.684	1462.0	17
467	Spectrogram 1	1	836.073025820	836.977954126	86.0	1548.0	0.905	1462.0	Y
468	Spectrogram 1	1	839.226939852	840.752691064	143.3	1519.3	1.526	1376.0	Z
469	Spectrogram 1	1	841.668141792	842.362621654	114.7	1548.0	0.694	1433.3	17
470	Spectrogram 1	1	844.330314598	844.477628508	86.0	1548.0	0.147	1462.0	19
471	Spectrogram 1	1	844.519718196	845.161585948	57.3	1519.3	0.642	1462.0	17
472	Spectrogram 1	1	846.603156379	848.286743924	114.7	1548.0	1.684	1433.3	Z
473	Spectrogram 1	1	848.833909877	849.002268631	143.3	1490.7	0.168	1347.4	19
474	Spectrogram 1	1	849.096970431	849.570479428	114.7	1490.7	0.474	1376.0	17
475	Spectrogram 1	1	850.643766487	850.812125242	114.7	1548.0	0.168	1433.3	19
476	Spectrogram 1	1	850.864737353	851.601306904	86.0	1548.0	0.737	1462.0	17
477	Spectrogram 1	1	854.337136061	855.999678762	172.0	1490.7	1.663	1318.7	Z
478	Spectrogram 1	1	856.778338002	856.957219178	114.7	1490.7	0.179	1376.0	19
479	Spectrogram 1	1	857.030876133	857.535952397	86.0	1490.7	0.505	1404.7	17
480	Spectrogram 1	1	859.524763890	859.672077800	114.7	1548.0	0.147	1433.3	19
481	Spectrogram 1	1	859.693122645	860.103497109	114.7	1490.7	0.410	1376.0	17
482	Spectrogram 1	1	861.923875596	863.554851031	229.3	1548.0	1.631	1318.7	Z
483	Spectrogram 1	1	864.280898159	864.449256914	114.7	1576.7	0.168	1462.0	19
484	Spectrogram 1	1	864.470301758	864.912243489	86.0	1462.0	0.442	1376.0	17
485	Spectrogram 1	1	867.742773616	867.911132371	86.0	1548.0	0.168	1462.0	19
486	Spectrogram 1	1	867.963744481	868.437253479	114.7	1519.3	0.474	1404.6	17
487	Spectrogram 1	1	869.920915003	871.478233482	172.0	1490.7	1.557	1318.7	Z
488	Spectrogram 1	1	872.046444278	872.204280611	86.0	1548.0	0.158	1462.0	19
489	Spectrogram 1	1	872.298981749	872.625176836	57.3	1519.3	0.326	1462.0	17
490	Spectrogram 1	1	873.603762097	873.719508741	114.7	1519.3	0.116	1404.6	19
491	Spectrogram 1	1	873.793165696	874.150928049	57.3	1490.7	0.358	1433.4	17
492	Spectrogram 1	1	875.224215109	876.634219678	229.3	1433.3	1.410	1204.0	Z
493	Spectrogram 1	1	877.268669871	877.384416515	114.7	1519.3	0.116	1404.6	19
494	Spectrogram 1	1	877.468595892	878.036806689	86.0	1490.7	0.568	1404.7	17
495	Spectrogram 1	1	881.361892090	881.498683578	114.7	1519.3	0.137	1404.6	19
496	Spectrogram 1	1	881.530250845	882.151073752	86.0	1490.7	0.621	1404.7	17
497	Spectrogram 1	1	883.848843942	885.448252109	114.7	1462.0	1.599	1347.3	Z
498	Spectrogram 1	1	886.595196124	887.247586298	86.0	1462.0	0.652	1376.0	17
499	Spectrogram 1	1	889.057442909	889.183711975	28.7	1576.7	0.126	1548.0	19
500	Spectrogram 1	1	889.257368930	889.709833083	86.0	1548.0	0.452	1462.0	17
501	Spectrogram 1	1	890.614761388	891.972153846	143.3	1519.3	1.357	1376.0	Z
502	Spectrogram 1	1	892.487752532	892.656111287	57.3	1490.7	0.168	1433.4	19
503	Spectrogram 1	1	892.740290664	893.329546305	86.0	1462.0	0.589	1376.0	17
504	Spectrogram 1	1	894.960520879	895.107834789	57.3	1490.7	0.147	1433.4	19
505	Spectrogram 1	1	895.181491744	895.644478319	86.0	1490.7	0.463	1404.7	17
506	Spectrogram 1	1	896.717765379	898.348740813	114.7	1576.7	1.631	1462.0	Z
507	Spectrogram 1	1	898.916951610	899.695610849	86.0	1548.0	0.779	1462.0	Y
508	Spectrogram 1	1	903.083829149	903.252187903	200.7	1519.3	0.168	1318.6	19
509	Spectrogram 1	1	903.294277592	903.862488388	143.3	1490.7	0.568	1347.4	17
510	Spectrogram 1	1	906.030107352	907.555858565	143.3	1519.3	1.526	1376.0	Z
511	Spectrogram 1	1	908.155636628	908.313472960	114.7	1548.0	0.158	1433.3	19
512	Spectrogram 1	1	908.376607493	908.902728601	86.0	1490.7	0.526	1404.7	17
513	Spectrogram 1	1	909.712953845	909.902357444	86.0	1548.0	0.189	1462.0	19
514	Spectrogram 1	1	909.976014399	910.186462842	86.0	1576.7	0.210	1490.7	17
515	Spectrogram 1	1	912.333036962	913.869310597	143.3	1462.0	1.536	1318.7	Z
516	Spectrogram 1	1	914.553268037	914.732149214	114.7	1490.7	0.179	1376.0	19
517	Spectrogram 1	1	914.763716480	915.331927277	86.0	1462.0	0.568	1376.0	17
518	Spectrogram 1	1	919.420302522	920.083215118	143.3	1519.3	0.663	1376.0	17
519	Spectrogram 1	1	922.219266816	923.755540451	143.3	1576.7	1.536	1433.4	Z
520	Spectrogram 1	1	924.565766669	924.713080580	143.3	1490.7	0.147	1347.4	19
521	Spectrogram 1	1	924.784979409	925.228679265	143.3	1519.3	0.444	1376.0	17
522	Spectrogram 1	1	124.199582012	124.971907283	239.7	1605.8	0.772	1366.1	17
523	Spectrogram 1	1	127.198977690	128.022791312	143.8	1653.7	0.824	1509.9	Y
524	Spectrogram 1	1	131.318045800	131.832929313	119.8	1557.9	0.515	1438.1	17
525	Spectrogram 1	1	131.987394367	132.399301178	119.8	1486.0	0.412	1366.2	17
526	Spectrogram 1	1	132.708231286	133.171626449	143.8	1533.9	0.463	1390.1	17
527	Spectrogram 1	1	136.273998830	137.149300803	143.8	1509.9	0.875	1366.1	17
528	Spectrogram 1	1	138.539486290	139.157346506	287.6	1581.8	0.618	1294.2	17
529	Spectrogram 1	1	140.406908417	141.113903858	119.8	1725.7	0.707	1605.9	20
530	Spectrogram 1	1	143.932195054	144.441903727	215.7	1821.5	0.510	1605.8	17
531	Spectrogram 1	1	145.297486144	145.752583174	48.1	1677.7	0.455	1629.6	20
532	Spectrogram 1	1	146.808408284	147.263505314	96.3	1797.6	0.455	1701.3	20
533	Spectrogram 1	1	150.643797768	151.299137492	143.8	1845.5	0.655	1701.7	17
534	Spectrogram 1	1	152.788722207	153.412647916	192.6	1725.7	0.624	1533.1	17
535	Spectrogram 1	1	157.422673830	158.036433741	144.4	1821.5	0.614	1677.1	17
536	Spectrogram 1	1	159.327742831	159.976088432	95.9	1605.8	0.648	1509.9	20
537	Spectrogram 1	1	163.051704482	163.632494972	95.9	1533.9	0.581	1438.0	20
538	Spectrogram 1	1	164.250355189	164.816727054	143.8	1438.0	0.566	1294.2	20
539	Spectrogram 1	1	168.309908145	168.869809001	143.8	1677.7	0.560	1533.9	20
540	Spectrogram 1	1	169.883713561	170.774878001	119.8	1653.7	0.891	1533.9	17
541	Spectrogram 1	1	171.753156677	172.628458650	143.8	1581.8	0.875	1438.0	Y
542	Spectrogram 1	1	177.519852030	178.292177301	71.9	1629.8	0.772	1557.9	17
543	Spectrogram 1	1	180.145757950	180.403199707	167.8	1677.7	0.257	1509.9	19
544	Spectrogram 1	1	180.454688058	181.021059923	95.9	1581.8	0.566	1485.9	17
545	Spectrogram 1	1	128.965769082	130.385671816	479.3	1821.5	1.420	1342.2	Z
546	Spectrogram 1	1	134.062855818	135.828632295	311.6	1605.8	1.766	1294.2	Z
547	Spectrogram 1	1	142.795231870	143.887464742	335.5	1821.5	1.092	1486.0	Z
548	Spectrogram 1	1	148.875328192	150.422658094	383.5	1749.6	1.547	1366.1	Z
549	Spectrogram 1	1	155.152806679	157.137029730	431.4	1701.7	1.984	1270.3	Z
550	Spectrogram 1	1	161.196495238	162.614811333	287.6	1677.7	1.418	1390.1	Z
551	Spectrogram 1	1	166.017346568	167.419045420	311.6	1677.7	1.402	1366.1	Z
552	Spectrogram 1	1	173.661849218	174.499227754	191.7	1701.7	0.837	1510.0	17
553	Spectrogram 1	1	175.281994645	176.792916785	335.5	1629.8	1.511	1294.3	Z
554	Spectrogram 1	1	182.269168407	183.761886666	167.8	1366.1	1.493	1198.3	Z
555	Spectrogram 1	1	184.107760409	184.672080726	47.9	1509.9	0.564	1462.0	17
556	Spectrogram 1	1	183.925721597	184.125964290	167.8	1414.1	0.200	1246.3	19
557	Spectrogram 1	1	185.070053283	185.215684333	72.2	1781.3	0.146	1709.1	19
558	Spectrogram 1	1	185.270295976	185.980247343	72.2	1661.0	0.710	1588.8	17
559	Spectrogram 1	1	187.272328205	188.910677513	625.9	2359.1	1.638	1733.2	Z
560	Spectrogram 1	1	189.930094860	190.985919970	96.3	1709.1	1.056	1612.8	17
561	Spectrogram 1	1	191.786890743	192.387618823	72.2	1661.0	0.601	1588.8	20
562	Spectrogram 1	1	195.336647577	195.973783419	96.3	1709.1	0.637	1612.8	20
563	Spectrogram 1	1	197.628411924	199.066518539	481.4	1853.5	1.438	1372.1	Z
564	Spectrogram 1	1	199.667246618	200.450013510	96.3	1757.3	0.783	1661.0	Y
565	Spectrogram 1	1	201.250984283	201.342003689	120.4	1733.2	0.091	1612.8	19
566	Spectrogram 1	1	201.433023095	201.906324006	72.2	1733.2	0.473	1661.0	17
567	Spectrogram 1	1	202.525255967	202.725498660	144.4	1829.5	0.200	1685.1	19
568	Spectrogram 1	1	202.780110304	203.162391809	144.4	1781.3	0.382	1636.9	17
569	Spectrogram 1	1	203.544673314	203.799527651	120.4	1781.3	0.255	1660.9	19
570	Spectrogram 1	1	203.799527651	204.236420800	96.3	1636.9	0.437	1540.6	17
571	Spectrogram 1	1	207.072521504	207.218152553	192.6	1685.0	0.146	1492.4	19
572	Spectrogram 1	1	207.290968078	207.837084514	144.4	1468.4	0.546	1324.0	17
573	Spectrogram 1	1	210.658686101	211.386841349	72.2	1853.5	0.728	1781.3	17
574	Spectrogram 1	1	212.861355726	213.407472162	168.5	1661.0	0.546	1492.5	17
575	Spectrogram 1	1	212.661113033	212.788540201	72.2	1709.1	0.127	1636.9	19
576	Spectrogram 1	1	214.536112797	216.647763016	168.5	1829.5	2.112	1661.0	Z
577	Spectrogram 1	1	218.173369890	220.339631753	385.2	1925.8	2.166	1540.6	Z
578	Spectrogram 1	1	222.997398409	223.397883795	216.6	2022.1	0.400	1805.5	20
579	Spectrogram 1	1	224.271670093	224.781378767	192.6	1757.3	0.510	1564.7	20
580	Spectrogram 1	1	226.128465976	228.494970532	337.0	1636.9	2.367	1299.9	Z
581	Spectrogram 1	1	229.221079958	259.962796530	96.3	2383.1	30.742	2286.8	/////
