Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	UNIT
70	Spectrogram 1	1	72.960679253	73.213655439	716.7	2551.3	0.253	1834.6	X
71	Spectrogram 1	1	73.570798290	73.734488764	630.7	2522.7	0.164	1892.0	X
72	Spectrogram 1	1	74.180917327	74.404131609	544.7	2522.7	0.223	1978.0	X
73	Spectrogram 1	1	74.627345891	74.939845885	544.7	2494.0	0.312	1949.3	X
74	Spectrogram 1	1	75.371393497	75.579726827	544.7	2494.0	0.208	1949.3	X
75	Spectrogram 1	1	75.966631582	76.427941098	487.3	2551.3	0.461	2064.0	X
76	Spectrogram 1	1	76.517226810	76.740441092	569.5	2505.7	0.223	1936.2	X
77	Spectrogram 1	1	77.171988704	77.544012507	227.8	2420.3	0.372	2192.5	X
78	Spectrogram 1	1	77.856512501	78.079726783	541.0	2534.2	0.223	1993.2	X
79	Spectrogram 1	1	78.436869634	78.823774389	398.6	2477.2	0.387	2078.6	X
80	Spectrogram 1	1	79.017226767	79.285083905	484.1	2534.2	0.268	2050.1	X
81	Spectrogram 1	1	79.597583900	79.984488655	512.5	2534.2	0.387	2021.7	X
82	Spectrogram 1	1	83.377345830	85.401155319	541.0	2477.2	2.024	1936.2	Z
83	Spectrogram 1	1	88.058212620	88.534403087	229.3	1462.0	0.476	1232.7	17
84	Spectrogram 1	1	90.498688768	91.212974469	200.7	1490.7	0.714	1290.0	17
85	Spectrogram 1	1	91.904133985	94.597586319	512.5	2391.8	2.693	1879.3	Z
86	Spectrogram 1	1	95.773181537	96.115443436	740.3	2505.7	0.342	1765.4	X
87	Spectrogram 1	1	96.427943430	96.680919616	654.9	2505.7	0.253	1850.8	X
88	Spectrogram 1	1	96.948776755	97.216633893	882.7	2448.8	0.268	1566.1	X
89	Spectrogram 1	1	97.633300552	98.035086260	911.2	2505.7	0.402	1594.5	X
90	Spectrogram 1	1	98.183895781	98.615443392	541.0	2534.2	0.432	1993.2	X
91	Spectrogram 1	1	98.823776722	99.032110052	939.6	2505.7	0.208	1566.1	X
92	Spectrogram 1	1	99.344610046	99.657110041	768.8	2448.8	0.312	1680.0	X
93	Spectrogram 1	1	99.999371940	100.311871934	654.9	2477.2	0.312	1822.3	X
94	Spectrogram 1	1	100.609490977	100.907110019	854.2	2505.7	0.298	1651.5	X
95	Spectrogram 1	1	101.174967158	101.427943344	854.2	2505.7	0.253	1651.5	X
96	Spectrogram 1	1	101.740443338	102.008300476	882.7	2534.2	0.268	1651.5	X
97	Spectrogram 1	1	102.291038567	102.692824274	996.6	2477.2	0.402	1480.6	X
98	Spectrogram 1	1	102.901157604	103.288062359	825.7	2505.7	0.387	1680.0	X
99	Spectrogram 1	1	103.464196351	103.724613013	626.4	2505.7	0.260	1879.3	X
100	Spectrogram 1	1	103.970148723	104.223124909	939.6	2505.7	0.253	1566.1	X
101	Spectrogram 1	1	104.595148712	104.848124898	797.3	2534.2	0.253	1736.9	X
102	Spectrogram 1	1	105.160624893	105.488005840	854.2	2534.2	0.327	1680.0	X
103	Spectrogram 1	1	105.621934409	105.964196308	598.0	2477.2	0.342	1879.2	X
104	Spectrogram 1	1	106.380862967	106.812410579	569.5	2534.2	0.432	1964.7	X
105	Spectrogram 1	1	107.214196286	107.705267706	654.9	2505.7	0.491	1850.8	X
106	Spectrogram 1	1	107.973124844	108.404672456	512.5	2505.7	0.432	1993.2	X
107	Spectrogram 1	1	109.238005775	111.812410492	512.5	2477.2	2.574	1964.7	Z
