Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
45	Spectrogram 1	1	Abrolhos_24ago2013.mp3	340.921	340.920603218	346.533094830	52.3	2498.9	5.612	2446.6	Gb11	
46	Spectrogram 1	1	Abrolhos_24ago2013.mp3	346.936	346.936387641	351.204569885	61.1	2503.3	4.268	2442.2	Gb11	
47	Spectrogram 1	1	Abrolhos_24ago2013.mp3	351.608	351.607862696	356.480984156	78.5	2507.7	4.873	2429.2	Gb11	
48	Spectrogram 1	1	Abrolhos_24ago2013.mp3	356.951	356.951492435	363.168923263	69.8	2529.5	6.217	2459.7	Gb11	
49	Spectrogram 1	1	Abrolhos_24ago2013.mp3	363.627	363.627162790	368.533891985	91.6	2581.8	4.907	2490.2	Gb11	
50	Spectrogram 1	1	Abrolhos_24ago2013.mp3	368.904	368.903577061	373.205367040	21.8	2612.3	4.302	2590.5	Gb11	
51	Spectrogram 1	1	Abrolhos_24ago2013.mp3	373.812	373.811970047	378.080152291	4.4	2625.4	4.268	2621.1	Gb11	
52	Spectrogram 1	1	Abrolhos_24ago2013.mp3	378.517	378.517052836	383.289351093	95.9	2625.4	4.772	2529.5	Gb11	
53	Spectrogram 1	1	Abrolhos_24ago2013.mp3	383.757	383.757004304	389.100634043	56.7	2608.0	5.344	2551.3	Gb11	
54	Spectrogram 1	1	Abrolhos_24ago2013.mp3	389.504	389.503926854	394.511479251	78.5	2594.9	5.008	2516.4	Gb11	
56	Spectrogram 1	1	Abrolhos_24ago2013.mp3	394.939	394.938982481	417.758634009	56.7	2590.5	22.820	2533.8	Gb15	
