Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
1	Spectrogram 1	1	20.103437596	22.397845201	568.6	2892.2	2323.6	773.4	2.294	U5
2	Spectrogram 1	1	24.877285679	25.913469759	543.8	2991.1	2447.3	796.9	1.036	U4
3	Spectrogram 1	1	27.985837919	29.355081167	618.0	2916.9	2298.9	984.4	1.369	U4
4	Spectrogram 1	1	29.540114039	31.871528219	321.4	3040.5	2719.1	726.6	2.331	U9
5	Spectrogram 1	1	35.509566358	37.322888498	296.6	3065.2	2768.6	304.7	1.813	U6
6	Spectrogram 1	1	39.284236935	39.987361847	148.3	2941.6	2793.3	562.5	0.703	U3
7	Spectrogram 1	1	42.281769452	44.724203355	321.4	3040.5	2719.1	703.1	2.442	O
8	Spectrogram 1	1	45.390321692	46.574532069	296.6	3040.5	2743.9	609.4	1.184	Q
9	Spectrogram 1	1	47.462689852	48.313841061	247.2	2941.6	2694.4	539.1	0.851	Q
10	Spectrogram 1	1	49.007183736	49.837024369	170.3	2894.6	2724.3	257.8	0.830	33
11	Spectrogram 1	1	49.987904485	52.236537935	197.8	2941.6	2743.8	257.8	2.249	O
12	Spectrogram 1	1	55.789169066	57.195418889	247.2	2991.1	2743.9	515.6	1.406	U6
13	Spectrogram 1	1	60.073561329	62.404975509	222.5	3040.5	2818.0	539.1	2.331	O
14	Spectrogram 1	1	62.923067549	64.366323946	271.9	2941.6	2669.7	539.1	1.443	Q
15	Spectrogram 1	1	65.180468580	66.327672383	222.5	2941.6	2719.1	492.2	1.147	Q
16	Spectrogram 1	1	67.122480403	67.665958596	267.3	2806.4	2539.1	281.2	0.543	33
17	Spectrogram 1	1	67.810886114	69.880303515	271.9	2892.2	2620.3	281.2	2.069	O
18	Spectrogram 1	1	70.620435000	71.989678249	187.3	2991.1	2803.8	398.4	1.369	Q
19	Spectrogram 1	1	72.988855755	73.988033260	187.3	2941.6	2754.3	398.4	0.999	Q
20	Spectrogram 1	1	75.492044566	76.035522759	100.2	2906.6	2806.4	210.9	0.543	33
21	Spectrogram 1	1	76.180450277	78.576848472	80.3	2941.6	2861.3	234.4	2.396	O
22	Spectrogram 1	1	79.158052958	81.304434267	160.6	2966.4	2805.8	351.6	2.146	O
23	Spectrogram 1	1	84.561012804	85.708216607	346.1	2991.1	2645.0	375.0	1.147	Q
24	Spectrogram 1	1	87.779229273	88.298602662	123.3	2988.9	2865.6	210.9	0.519	33
25	Spectrogram 1	1	88.428446009	91.111176452	107.0	3040.5	2933.5	304.7	2.683	O
26	Spectrogram 1	1	91.629268492	93.516603781	187.3	2991.1	2803.8	328.1	1.887	O
27	Spectrogram 1	1	94.441768138	95.329925921	271.9	3114.7	2842.8	328.1	0.888	Q
28	Spectrogram 1	1	96.793937262	97.220565403	0.0	3112.2	3112.2	1898.4	0.427	33
29	Spectrogram 1	1	97.350408750	100.007521229	133.8	3065.2	2931.4	234.4	2.657	O
30	Spectrogram 1	1	100.821665863	103.116073469	98.9	3015.8	2916.9	328.1	2.294	O
31	Spectrogram 1	1	105.891566541	107.149790066	123.6	3040.5	2916.9	257.8	1.258	Q
32	Spectrogram 1	1	109.666722589	110.111899779	0.0	3173.8	3173.8	164.1	0.445	33
33	Spectrogram 1	1	110.186095978	112.994740924	123.6	2991.1	2867.5	234.4	2.809	O
34	Spectrogram 1	1	113.623852687	115.178128807	74.2	2941.6	2867.4	257.8	1.554	O
35	Spectrogram 1	1	116.214312887	117.102470670	98.9	2991.1	2892.2	257.8	0.888	Q
36	Spectrogram 1	1	118.597585217	119.079860507	215.7	3143.0	2927.3	234.4	0.482	33
37	Spectrogram 1	1	119.246801953	121.825057498	133.8	3040.5	2906.7	257.8	2.578	O
38	Spectrogram 1	1	122.530708510	124.936135839	123.6	3065.2	2941.6	257.8	2.405	O
39	Spectrogram 1	1	127.872475323	129.043865584	74.2	3040.5	2966.3	257.8	1.171	Q
40	Spectrogram 1	1	132.004391527	134.668864876	148.3	3040.5	2892.2	257.8	2.664	O
41	Spectrogram 1	1	135.260970064	137.259325076	197.8	2991.1	2793.3	257.8	1.998	O
42	Spectrogram 1	1	137.999058412	138.813203046	123.6	2991.1	2867.5	234.4	0.814	Q
43	Spectrogram 1	1	139.701360829	143.216985386	123.6	2941.6	2818.0	210.9	3.516	25
44	Spectrogram 1	1	143.809090575	145.992478458	123.6	2991.1	2867.5	257.8	2.183	31
45	Spectrogram 1	1	149.250340081	150.175504438	98.9	2966.4	2867.5	257.8	0.925	26
46	Spectrogram 1	1	153.506096124	155.393431412	148.3	2991.1	2842.8	210.9	1.887	25
47	Spectrogram 1	1	156.355602344	158.279944207	247.2	3040.5	2793.3	257.8	1.924	31
48	Spectrogram 1	1	159.763188488	160.836379142	123.6	2916.9	2793.3	234.4	1.073	26
49	Spectrogram 1	1	162.205622390	165.203154908	98.9	2991.1	2892.2	210.9	2.998	25
50	Spectrogram 1	1	165.980292968	168.163680850	49.4	2941.6	2892.2	234.4	2.183	31
51	Spectrogram 1	1	171.434579621	172.396750552	123.6	2966.4	2842.8	234.4	0.962	26
52	Spectrogram 1	1	175.024217326	178.058756418	74.2	2991.1	2916.9	210.9	3.035	25
53	Spectrogram 1	1	178.872901052	180.390170598	24.7	3015.8	2991.1	234.4	1.517	31
54	Spectrogram 1	1	182.677884838	183.640055770	247.2	2941.6	2694.4	257.8	0.962	19
55	Spectrogram 1	1	185.083312167	188.043838109	123.6	2966.4	2842.8	210.9	2.961	25
56	Spectrogram 1	1	188.746963021	190.856337755	148.3	3015.8	2867.5	234.4	2.109	31
57	Spectrogram 1	1	193.742850549	195.038080649	123.6	2916.9	2793.3	234.4	1.295	26
58	Spectrogram 1	1	197.702992219	199.960393251	98.9	3090.0	2991.1	328.1	2.257	25
