Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	UNIT
1	Spectrogram 1	1	0.305791626	2.402648492	0.0	4224.1	4224.1	2.097	21.5	A1
2	Spectrogram 1	1	3.254496594	5.132930870	0.0	4520.5	4520.5	1.878	21.5	A1
3	Spectrogram 1	1	8.889799422	11.532712764	0.0	5224.6	5224.6	2.643	344.5	O
4	Spectrogram 1	1	13.726401640	15.664465383	0.0	4594.7	4594.7	1.938	21.5	A1
5	Spectrogram 1	1	16.735014879	18.544077910	0.0	4298.2	4298.2	1.809	21.5	A1
6	Spectrogram 1	1	19.466761869	20.555769115	0.0	4075.9	4075.9	1.089	21.5	A1
7	Spectrogram 1	1	23.589639744	26.997032152	0.0	4699.0	4699.0	3.407	323.0	O
8	Spectrogram 1	1	28.744412873	30.404424559	0.0	4705.8	4705.8	1.660	21.5	A1
9	Spectrogram 1	1	31.540222028	33.637078894	0.0	4335.3	4335.3	2.097	21.5	A1
10	Spectrogram 1	1	33.895606689	35.215426807	0.0	3853.6	3853.6	1.320	21.5	A1
11	Spectrogram 1	1	38.267637807	41.762399251	135.2	5070.9	4935.7	3.495	323.0	O
12	Spectrogram 1	1	43.493189175	45.052315117	34.3	3853.9	3819.6	1.559	43.1	A1
13	Spectrogram 1	1	46.158663926	47.714389336	34.3	4261.2	4226.9	1.556	43.1	A1
14	Spectrogram 1	1	48.447424917	49.610661383	0.0	3921.5	3921.5	1.163	64.6	A1
15	Spectrogram 1	1	51.984576473	55.828814061	33.8	4935.7	4901.9	3.844	344.5	O
16	Spectrogram 1	1	58.040343028	59.079382000	0.0	4056.7	4056.7	1.039	21.5	A1
17	Spectrogram 1	1	60.173385104	61.155142288	0.0	3955.3	3955.3	0.982	64.6	A1
18	Spectrogram 1	1	61.982739213	62.684133710	0.0	3718.6	3718.6	0.701	21.5	U
19	Spectrogram 1	1	63.403985957	64.123838205	0.0	3820.1	3820.1	0.720	64.6	U
20	Spectrogram 1	1	64.779064085	65.359901725	0.0	3517.5	3517.5	0.581	64.6	D2
21	Spectrogram 1	1	68.322586222	71.031026341	0.0	4699.0	4699.0	2.708	344.5	O
22	Spectrogram 1	1	73.169362403	74.103691291	0.0	3955.3	3955.3	0.934	64.6	I
23	Spectrogram 1	1	75.195969544	75.934279541	0.0	3786.3	3786.3	0.738	21.5	D2
24	Spectrogram 1	1	76.801793788	77.573303028	0.0	4022.9	4022.9	0.772	64.6	D2
25	Spectrogram 1	1	77.922779172	78.702942031	0.0	3955.3	3955.3	0.780	64.6	D2
26	Spectrogram 1	1	79.293590028	79.958069026	0.0	3786.3	3786.3	0.664	64.6	D2
27	Spectrogram 1	1	82.203861940	86.747051817	0.0	5138.5	5138.5	4.543	344.5	O
28	Spectrogram 1	1	88.185418854	88.849897852	0.0	4225.7	4225.7	0.664	21.5	D2
29	Spectrogram 1	1	89.920447348	90.603384095	33.8	4022.9	3989.1	0.683	64.6	D2
30	Spectrogram 1	1	91.544729342	92.024630840	0.0	2570.7	2570.7	0.480	21.5	D2
31	Spectrogram 1	1	92.947518336	93.372046585	0.0	3583.4	3583.4	0.425	64.6	D2
32	Spectrogram 1	1	94.165729832	94.608715830	0.0	3955.3	3955.3	0.443	43.1	D2
33	Spectrogram 1	1	97.668181328	99.765038194	0.0	4766.6	4766.6	2.097	21.5	P
34	Spectrogram 1	1	100.551359519	102.910323493	0.0	4834.2	4834.2	2.359	21.5	P
35	Spectrogram 1	1	104.723423240	105.018747239	0.0	4022.9	4022.9	0.295	21.5	D2
36	Spectrogram 1	1	106.310789734	106.698402483	0.0	3583.4	3583.4	0.388	366.1	D2
37	Spectrogram 1	1	111.306950346	113.316438176	0.0	4732.8	4732.8	2.009	21.5	P
38	Spectrogram 1	1	114.364866609	116.199616367	202.8	4732.8	4530.0	1.835	452.2	P
39	Spectrogram 1	1	118.410183681	118.760880929	0.0	4428.6	4428.6	0.351	344.5	D2
40	Spectrogram 1	1	120.016007925	120.366705173	0.0	3887.7	3887.7	0.351	193.8	D2
41	Spectrogram 1	1	121.344965920	121.677205418	0.0	3921.5	3921.5	0.332	452.2	D2
42	Spectrogram 1	1	125.722841301	128.256543347	33.8	4901.9	4868.1	2.534	495.3	P
43	Spectrogram 1	1	128.518650456	131.751304791	0.0	5239.9	5239.9	3.233	452.2	P
44	Spectrogram 1	1	132.740999382	134.051534923	0.0	3786.3	3786.3	1.311	21.5	D2
45	Spectrogram 1	1	134.313642032	135.973653717	0.0	3989.1	3989.1	1.660	430.7	D2
46	Spectrogram 1	1	138.915565750	141.798743941	0.0	5104.7	5104.7	2.883	21.5	P
47	Spectrogram 1	1	142.322958158	144.856660204	0.0	5172.3	5172.3	2.534	495.3	P
48	Spectrogram 1	1	146.542144068	146.892841316	0.0	3989.1	3989.1	0.351	409.1	D2
49	Spectrogram 1	1	148.111052812	148.443292311	0.0	4225.7	4225.7	0.332	452.2	D2
50	Spectrogram 1	1	152.224294430	155.806424910	0.0	5611.8	5611.8	3.582	387.6	O
51	Spectrogram 1	1	157.615762994	159.230431854	0.0	4665.2	4665.2	1.615	21.5	A1
52	Spectrogram 1	1	160.116403850	162.405164842	52.5	4732.8	4680.3	2.289	172.3	C
53	Spectrogram 1	1	166.989661529	170.047577792	0.0	5578.0	5578.0	3.058	366.1	O
54	Spectrogram 1	1	171.969696586	173.885885299	78.7	4327.2	4248.5	1.916	366.1	A1
55	Spectrogram 1	1	174.661110796	177.023702787	131.2	4428.6	4297.4	2.363	366.1	C
56	Spectrogram 1	1	180.085390470	184.366473239	67.6	5307.5	5239.9	4.281	344.5	O
57	Spectrogram 1	1	185.920338253	187.581535747	52.5	4022.9	3970.4	1.661	1162.8	A1
58	Spectrogram 1	1	188.652085243	191.088508234	472.5	4124.3	3651.8	2.436	1119.7	A1
59	Spectrogram 1	1	191.716071732	193.598762225	393.7	4225.7	3832.0	1.883	1205.9	A1
