Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	UNIT
1	Spectrogram 1	1	0.000000000	2.511859788	474.3	6851.5	6377.2	2.512	1033.6	O
2	Spectrogram 1	1	3.320023371	6.574519966	0.0	5165.0	5165.0	3.254	107.7	A1
3	Spectrogram 1	1	7.142418700	10.069281409	0.0	5692.0	5692.0	2.927	21.5	A1
4	Spectrogram 1	1	13.760623184	16.075902640	0.0	5797.4	5797.4	2.315	344.5	O
5	Spectrogram 1	1	18.587762428	20.924884143	0.0	4637.9	4637.9	2.337	107.7	A1
6	Spectrogram 1	1	21.514625137	24.113853961	0.0	4269.0	4269.0	2.599	21.5	A1
7	Spectrogram 1	1	27.783353476	30.579162631	0.0	4637.9	4637.9	2.796	366.1	O
8	Spectrogram 1	1	32.544965943	35.515513170	0.0	3689.3	3689.3	2.971	21.5	A1
9	Spectrogram 1	1	35.733935760	38.355006843	0.0	3636.5	3636.5	2.621	107.7	A1
10	Spectrogram 1	1	38.922905578	40.495548227	0.0	3531.1	3531.1	1.573	172.3	A3
11	Spectrogram 1	1	41.238185034	41.994940900	0.0	3267.6	3267.6	0.757	279.9	V
12	Spectrogram 1	1	44.732946478	47.004541416	0.0	5323.1	5323.1	2.272	366.1	O
13	Spectrogram 1	1	49.541157977	51.550645807	65.0	3478.4	3413.4	2.009	172.3	A3
14	Spectrogram 1	1	52.074860023	54.215401408	105.4	3425.7	3320.3	2.141	193.8	A3
15	Spectrogram 1	1	54.521193034	55.919097611	0.0	3531.1	3531.1	1.398	172.3	V
16	Spectrogram 1	1	56.137520201	56.816546898	52.7	3162.2	3109.5	0.679	193.8	V
17	Spectrogram 1	1	60.112811344	62.733882426	0.0	4479.8	4479.8	2.621	366.1	O
18	Spectrogram 1	1	64.306525076	66.927596158	74.2	4005.5	3931.3	2.621	193.8	A3
19	Spectrogram 1	1	67.320756821	69.242875615	0.0	3583.8	3583.8	1.922	172.3	A3
20	Spectrogram 1	1	69.926190999	70.902887301	52.7	3636.5	3583.8	0.977	193.8	V
21	Spectrogram 1	1	71.208678927	72.052405007	0.0	3636.5	3636.5	0.844	344.5	V
22	Spectrogram 1	1	75.289493242	78.915308240	0.0	5270.4	5270.4	3.626	366.1	O
23	Spectrogram 1	1	80.487950890	82.366385166	0.0	3636.5	3636.5	1.878	21.5	A3
24	Spectrogram 1	1	83.021652936	84.943771730	0.0	3742.0	3742.0	1.922	193.8	A3
25	Spectrogram 1	1	85.599039501	86.865435171	0.0	3583.8	3583.8	1.266	215.3	V
26	Spectrogram 1	1	89.705384197	93.505937267	0.0	4954.1	4954.1	3.801	387.6	O
27	Spectrogram 1	1	95.602794133	97.699650999	0.0	3531.1	3531.1	2.097	107.7	A3
28	Spectrogram 1	1	98.354918770	99.776126920	0.0	3267.6	3267.6	1.421	215.3	V
29	Spectrogram 1	1	100.277037564	101.543888587	0.0	4163.6	4163.6	1.267	193.8	V
30	Spectrogram 1	1	104.524321444	108.019082887	0.0	5722.6	5722.6	3.495	452.2	E
31	Spectrogram 1	1	108.237505478	111.076999150	0.0	5722.6	5722.6	2.839	473.7	E
32	Spectrogram 1	1	112.169112102	113.304909571	0.0	4801.7	4801.7	1.136	193.8	D2
33	Spectrogram 1	1	114.003861859	114.659129630	0.0	4999.1	4999.1	0.655	215.3	D2
34	Spectrogram 1	1	117.848099447	120.600224084	0.0	6117.3	6117.3	2.752	473.7	E
35	Spectrogram 1	1	120.862331192	124.007616492	0.0	6380.4	6380.4	3.145	452.2	E
36	Spectrogram 1	1	124.904604856	125.865664253	0.0	5920.0	5920.0	0.961	279.9	D2
37	Spectrogram 1	1	126.477247506	127.700414011	0.0	4604.4	4604.4	1.223	301.5	D2
38	Spectrogram 1	1	130.845699310	133.292032321	0.0	5262.2	5262.2	2.446	473.7	E
39	Spectrogram 1	1	133.554139429	136.437317620	0.0	5985.7	5985.7	2.883	473.7	E
40	Spectrogram 1	1	137.694626426	138.399490311	0.0	5393.7	5393.7	0.705	215.3	D2
41	Spectrogram 1	1	139.145757738	140.194186172	0.0	5328.0	5328.0	1.048	193.8	D2
42	Spectrogram 1	1	140.106817135	141.242614605	65.8	4867.5	4801.7	1.136	279.9	D2
43	Spectrogram 1	1	144.650007012	146.921601950	0.0	5196.4	5196.4	2.272	473.7	E
44	Spectrogram 1	1	147.271078095	149.804780141	0.0	5722.6	5722.6	2.534	452.2	E
45	Spectrogram 1	1	150.591101466	151.726898935	0.0	4670.2	4670.2	1.136	258.4	D2
46	Spectrogram 1	1	151.989006044	153.124803513	0.0	4670.2	4670.2	1.136	236.9	D2
47	Spectrogram 1	1	153.386910621	154.260600982	0.0	4407.1	4407.1	0.874	279.9	D2
48	Spectrogram 1	1	154.260600982	155.221660379	0.0	4275.5	4275.5	0.961	430.7	D2
49	Spectrogram 1	1	158.017469534	160.289064472	0.0	5525.3	5525.3	2.272	452.2	E
50	Spectrogram 1	1	160.813278689	162.910135555	0.0	5854.2	5854.2	2.097	452.2	E
51	Spectrogram 1	1	164.220671096	165.356468565	0.0	4341.3	4341.3	1.136	279.9	D2
52	Spectrogram 1	1	165.618575674	166.841742179	197.3	4538.6	4341.3	1.223	301.5	D2
53	Spectrogram 1	1	166.841742179	168.152277720	0.0	4341.3	4341.3	1.311	323.0	D2
